Age,AgeLower,AgeUpper,CO2,CO2Low1s,CO2High1s,QualityFlag,Source,Site,Latitude,Longitude,doi,Notes
0.866025,,,275.505396,178.003665,386.097992,0,Da2019,Luochuan,35.76,109.42,https://doi.org/10.1038/s41467-019-12357-5,Quality flag denotes samples where either Sz was adjusted by Foster et al substantially and the resulting values might not be reasonable or the calculated values are physically impossible
0.9363758,,,303.018232,208.742464,401.844584,0,Da2019,Luochuan,35.76,109.42,https://doi.org/10.1038/s41467-019-12357-5,
0.94040093,,,216.846556,137.362978,302.8495,0,Da2019,Luochuan,35.76,109.42,https://doi.org/10.1038/s41467-019-12357-5,
0.95,,,244.166746,153.016272,403.08595,0,Da2015,LingtaiBaoji,35,107.5,https://doi.org/10.1016/j.epsl.2015.05.053,
0.95471249,,,271.304908,185.346776,364.798298,0,Da2019,Luochuan,35.76,109.42,https://doi.org/10.1038/s41467-019-12357-5,
0.95672505,,,257.24384,171.442166,352.549731,0,Da2019,Luochuan,35.76,109.42,https://doi.org/10.1038/s41467-019-12357-5,
1.01606602,,,301.682579,204.402289,416.144777,0,Da2019,Luochuan,35.76,109.42,https://doi.org/10.1038/s41467-019-12357-5,
1.01868854,,,225.039234,135.304118,324.776377,0,Da2019,Luochuan,35.76,109.42,https://doi.org/10.1038/s41467-019-12357-5,
1.02393357,,,275.90742,180.855351,378.805569,0,Da2019,Luochuan,35.76,109.42,https://doi.org/10.1038/s41467-019-12357-5,
1.02786735,,,316.924364,214.39235,433.219179,0,Da2019,Luochuan,35.76,109.42,https://doi.org/10.1038/s41467-019-12357-5,
1.02939715,,,273.660305,179.417443,385.736496,0,Da2019,Luochuan,35.76,109.42,https://doi.org/10.1038/s41467-019-12357-5,
1.05905344,,,315.03556,226.746123,413.563987,0,Da2019,Luochuan,35.76,109.42,https://doi.org/10.1038/s41467-019-12357-5,
1.06745344,,,245.486865,176.293675,318.899118,0,Da2019,Luochuan,35.76,109.42,https://doi.org/10.1038/s41467-019-12357-5,
1.07,,,213.84778,134.015752,353.033479,0,Da2015,LingtaiBaoji,35,107.5,https://doi.org/10.1016/j.epsl.2015.05.053,
1.07165344,,,242.539774,172.92745,317.400016,0,Da2019,Luochuan,35.76,109.42,https://doi.org/10.1038/s41467-019-12357-5,
1.16,,,334.666483,209.731335,552.488656,0,Da2015,LingtaiBaoji,35,107.5,https://doi.org/10.1016/j.epsl.2015.05.053,
1.16807417,,,211.680376,120.859745,326.271514,0,Da2019,Luochuan,35.76,109.42,https://doi.org/10.1038/s41467-019-12357-5,
