AgeDescription,Age,AgeLower,AgeUpper,CO2,CO2Low1s,CO2High1s,Source,Site,Latitude,Longitude,Notes,doi
Quaternary,0.1,0.3,0,282.539456,209.1791357,372.4723307,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Quaternary,0.5,1,0,247.9830947,182.9010105,326.6182135,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Quaternary,0.8,1,0.5,282.9169019,208.2326683,373.9831852,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Pliocene,1.8,2,1.5,274.5163895,204.0390445,361.1773168,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Pliocene,2.1,2.3,2,306.7872361,227.4044062,404.300006,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Pliocene,2.3,2.5,2,344.1607706,254.0772974,455.8214244,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Pliocene,2.7,3,2.5,298.4662443,221.1739628,392.5634747,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Pliocene,3.2,3.5,3,340.3334215,253.52148,446.0001888,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Pliocene,3.8,4,3.5,350.4537749,260.0610195,461.6610446,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Pliocene,4,4.2,3.8,363.7251316,268.739423,480.864565,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Pliocene/Miocene,5,5.2,4.8,352.7848629,262.311012,462.0509681,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Upper Miocene,5.5,5.6,5.4,376.4378263,278.7689879,496.4040066,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Upper Miocene,6,6.2,5.8,374.4187874,276.8492599,492.9918353,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Upper Miocene,6.25,6.5,6,379.3738781,281.5292916,499.8255045,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Upper Miocene,7.25,7.5,7,351.2336071,262.1326518,461.5457715,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Upper Miocene,7.75,8,7.5,368.6000608,273.4723416,485.7325064,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
"U Miocene, Cenozoic",8,11.62,5.333,319.8854109,236.2862978,421.619139,Unpublished data from Hayes et al 1995,Antelope San Joaquin CA,,,,https://doi.org/10.1126/sciadv.aat4556
Upper Miocene,8.25,8.5,8,359.8041319,268.4232413,473.6841857,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Upper Miocene,9.25,9.5,9,352.1201547,261.4767092,461.6214518,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Upper Miocene,9.3,9.5,9,364.3001932,271.0234427,476.371005,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Upper Miocene,10.5,10.7,10.2,370.7947197,274.8566757,487.8261086,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
"Middle-Upper Miocene, Cenozoic",11,14,7,398.1622694,296.5542133,521.2832483,Witkowski2018,Namerica,,,,https://doi.org/10.1126/sciadv.aat4556
"Middle-Upper Miocene, Cenozoic",11,14,7,415.0595994,307.0698767,544.9951671,Witkowski2018,Namerica,,,,https://doi.org/10.1126/sciadv.aat4556
"Miocene, Cenozoic",11.1,11.1,11.1,314.7693981,233.6294165,413.6240438,Schouten et al. 1997a,Monterey Formation,,,,
"Miocene, Cenozoic",11.3,11.3,11.3,315.3244145,234.4548661,414.249544,Schouten et al. 1997a,Monterey Formation,,,,
Middle Miocene,12,12.2,11.8,400.9504093,295.9267887,531.0197443,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Middle Miocene,12.5,12.7,12.2,391.9601681,290.5125307,517.2311792,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
Middle Miocene,13,13.2,12.8,404.3109532,299.364042,535.4662564,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
"Miocene, Cenozoic",13.1,13.1,13.1,314.4982862,233.9363764,412.6923412,Schouten et al. 1997a,Monterey Formation,,,,
"Miocene, Cenozoic",13.5,13.6,13.4,457.6157938,331.4597347,624.5107097,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
Middle Miocene,13.9,14.1,13.7,420.2578879,309.6689495,557.295481,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
"Miocene, Cenozoic",14,23,5.3,378.3479878,281.5070186,495.7816875,Witkowski2018,Europe,,,,https://doi.org/10.1126/sciadv.aat4556
"Miocene, Cenozoic",14.3,14.5,14.2,515.9907515,370.6285707,713.3142675,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",14.5,14.6,14.4,467.3371289,336.4371993,644.5875691,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",14.5,14.6,14.4,473.9019243,339.4501339,654.004027,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
"Miocene, Cenozoic",14.6,14.7,14.7,366.2109512,271.3866188,482.6502375,Schouten et al. 1997a,Monterey Formation,,,,
"Miocene, Cenozoic",14.7,14.6,14.6,377.9195862,279.9346717,500.2435122,Schouten et al. 1997a,Monterey Formation,,,,
Middle Miocene,14.8,15,14.5,363.8663495,269.1985365,478.3652212,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
"Miocene, Cenozoic",14.8,14.9,14.7,432.9068471,312.9787277,591.4407248,Pagani et al. 2000 (estimated),ODP608,42.8367,-23.0875,,
Middle Miocene,15,15.2,14.8,445.5128967,327.560884,593.222648,Witkowski2018,DSDP467,33.8495,-120.7578,,https://doi.org/10.1126/sciadv.aat4556
"Miocene, Cenozoic",15,15,15,388.148505,287.8949539,513.8165873,Schouten et al. 1997a,Monterey Formation,,,,
"Miocene, Cenozoic",15,23.03,5.333,381.2501026,281.7123195,502.9503137,Curiale et al. 1985 (in Hughes et al. 1995),Monterey Santa Maria,,,,
