AgeDescription,Age,AgeLower,AgeUpper,CO2, CO2Low1s, CO2High1s,Source,Site,Latitude,Longitude,Notes,doi
OAE2; well constrained section (all during Cenomanian),93.868,,,436.2,305.34,719.73,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),93.936,,,431.05,301.735,711.2325,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),93.955,,,369.65,258.755,609.9225,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),94.012,,,465.85,326.095,768.6525,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),94.033,,,424.9,297.43,701.085,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),94.046,,,485.3,339.71,800.745,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),94.066,,,507.85,355.495,837.9525,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),94.09,,,446.45,312.515,736.6425,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),94.09,,,396.25,277.375,653.8125,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),94.09,,,448.45,313.915,739.9425,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),94.1,,,360.4,252.28,594.66,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),94.14,,,456.65,319.655,753.4725,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),94.21,,,444.35,311.045,733.1775,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),94.28,,,409.55,286.685,675.7575,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),94.31,,,384,268.8,633.6,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),94.37,,,380.9,266.63,628.485,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
OAE2; well constrained section (all during Cenomanian),94.52,,,365.55,255.885,603.1575,Barclay2010,Dakota Formation,,,,https://doi.org/10.1038/ngeo757
Middle Jurassic,168.4,168.3,167.7,815.8260234,543.8840156,1087.768031,"Beerling and Royer, 2002",Beerling02b,,,,https://doi.org/10.1146/annurev.earth.30.091201.141413
Middle Jurassic,168.8,168.3,167.7,879.2410714,586.1607143,1172.321429,"Beerling et al., 1998",Ravenscar Group,,,,https://doi.org/10.1093/jxb/49.326.1603
Lower Jurassic (Hettangian),200.41,201.36,199.46,863.8157895,575.877193,1151.754386,"Beerling et al., 1998",Ravenscar Group,,,,https://doi.org/10.1093/jxb/49.326.1603
Upper Triassic (Rhaetian),203.55,205.74,201.36,757.5,505,1010,"Beerling et al., 1998",Ravenscar Group,,,,https://doi.org/10.1093/jxb/49.326.1603
Upper Triassic (Rhaetian),203.55,205.74,201.36,834.5338983,556.3559322,1112.711864,"Beerling et al., 1998",Ravenscar Group,,,,https://doi.org/10.1093/jxb/49.326.1603
"early Paleocene (Kvacek et al., 1994); Basilika site",63.8,66,61.6,366.855,337.1372,570.699,"Beerling et al., 2002 (updated by Beerling et al., 2009)",Basilika,,,,https://doi.org/10.1073/pnas.122573099
"radiometric dating (Raynolds et al., 2001, p. 21); DMNH 2360",64.13,64.34,63.92,330.324,321.3395,401.106,"Beerling et al., 2002 (updated by Beerling et al., 2009)",Dawson Formation,,,,https://doi.org/10.1073/pnas.122573099
"Puercan (Wing et al., 1995); LJH 7659",65.375,66,64.75,343.159,329.3347,541.0156,"Beerling et al., 2002 (updated by Beerling et al., 2009)",Fort Union Formation,,,,https://doi.org/10.1073/pnas.122573099
"Puercan (Wing et al., 1995); LJH 7423",65.375,66,64.75,469.53,370.011,641.916,"Beerling et al., 2002 (updated by Beerling et al., 2009)",Fort Union Formation,,,,https://doi.org/10.1073/pnas.122573099
"35.2 m below the KTB; HCIIa floral zone; ~0.5 Myrs before KTB (Hicks et al., 2002); DMNH 566",66.5,67,66,538.646,399.7317,686.8136,"Beerling et al., 2002 (updated by Beerling et al., 2009)",Hell Creek Formation,,,,https://doi.org/10.1073/pnas.122573099
Kazanian,270.55,272.3,268.8,343,240.1,565.95,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Kazanian,270.55,272.3,268.8,266,186.2,438.9,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Kazanian,270.55,272.3,268.8,290,203,478.5,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Kazanian,270.55,272.3,268.8,326,228.2,537.9,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Kazanian,270.55,272.3,268.8,342,239.4,564.3,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,348,243.6,574.2,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,351,245.7,579.15,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,336,235.2,554.4,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,308,215.6,508.2,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,350,245,577.5,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,366,256.2,603.9,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,368,257.6,607.2,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,358,250.6,590.7,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,303,212.1,499.95,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,367,256.9,605.55,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,350,245,577.5,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,401,280.7,661.65,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,287,200.9,473.55,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,311,217.7,513.15,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,284,198.8,468.6,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Westphalian,313.5,319,308,325,227.5,536.25,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Namurian,324,329,319,385,269.5,635.25,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Namurian,324,329,319,392,274.4,646.8,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
Namurian,324,329,319,359,251.3,592.35,"Beerling, 2002",Beerling02,,,,https://doi.org/10.1073/pnas.202304999
middle to late Rhaetian,203.55,205.74,201.36,2200,1650,2750,"Bonis et al., 2010",Wustenwelsberg Quarry,,,,https://doi.org/10.1016/j.palaeo.2010.05.034
Early Cretaceous (Valanginian-Hauterivian),132.1,137.7,126.5,1448.161765,965.4411765,1930.882353,"Chen et al., 2001",Huolinhe Formation,,,,https://doi.org/10.2307/3558342
early Middle Jurassic,172.2,174.7,170.3,1893.75,1262.5,2525,"Chen et al., 2001",Yima Formation,,,,https://doi.org/10.2307/3558342
Early Jurassic,188.03,201.36,174.7,734.8880597,489.9253731,979.8507463,"Chen et al., 2001",Dzungaria Formation,,,,https://doi.org/10.2307/3558342
radiometric dating,38.4,40.9,35.9,634,353,,"Doria et al., 2011",Giraffe Pipe,,,,https://doi.org/10.2475/01.2011.03
radiometric dating,112.6,115.2,110,856.4166667,570.8333333,1142,"Du et al, 2016",Hanxia Section,,,,https://doi.org/10.1016/j.cretres.2015.07.020
radiometric dating,112.6,115.2,110,846.0833333,564.1666667,1128,"Du et al, 2016",Hanxia Section,,,,https://doi.org/10.1016/j.cretres.2015.07.020
"biostratigraphy (late Aptian - early Albian); also, radiometric constraint from same formation of 115 +/- 4.5 Ma",116.2,121.4,111,795.5,531,1060,"Du et al, 2016",Hanxia Section,,,,https://doi.org/10.1016/j.cretres.2015.07.020
radiometric dating,120.95,125.1,116.8,823.5833333,549.1666667,1098,"Du et al, 2016",Hanxia Section,,,,https://doi.org/10.1016/j.cretres.2015.07.020
radiometric dating,120.95,123,119,839.0833333,559.1666667,1119,"Du et al, 2016",Hanxia Section,,,,https://doi.org/10.1016/j.cretres.2015.07.020
NP23 zone,30.75,32,29.5,671,503,839,"Erdei et al., 2012",Hungary,,,,
Miocene to Pliocene,12.81,23.04,2.58,434,339.705499,560.0714465,"Franks et al., 2014",PoleKunzmann,,,,https://doi.org/10.1002/2014GL060457
Oligocene to early Miocene [Hill 1990 material],24.945,33.9,15.99,389,282.8225742,549.1214892,"Franks et al., 2014",Hill1990,,,,https://doi.org/10.1002/2014GL060457
middle to late Eocene [Greenwood 1987 material],40.85,47.8,33.9,356,260.9662411,486.3580852,"Franks et al., 2014",Greenwood87,,,,https://doi.org/10.1002/2014GL060457
late Early Eocene to basal Middle Eocene (upper P7 to basal P10) [Carpenter et al 2004 material],48,52,44,636.3960006,575.5157355,708.4251583,"Franks et al., 2014",Carpenter04,,,,https://doi.org/10.1002/2014GL060457
Albian,106.85,113.2,100.5,828,651.0114454,1070.418958,"Franks et al., 2014",Srinivasan95,,,,https://doi.org/10.1002/2014GL060457
Albian,106.85,113.2,100.5,662,523.401952,860.8642206,"Franks et al., 2014",Cantrill92,,,,https://doi.org/10.1002/2014GL060457
latest Albian to earliest Cenomanian [Pole 2000 material] and lower to middle Albian [Gomez 2002 material],106.85,113.2,100.5,734,579.6960635,948.0829258,"Franks et al., 2014",Pole2000,,,,https://doi.org/10.1002/2014GL060457
early Hauterivian to early Barremian [Villar de Seoane 2001 material],131.075,132.6,129.55,513,369.9127663,736.2145153,"Franks et al., 2014",deSeoane01,,,,https://doi.org/10.1002/2014GL060457
Late Triassic [Bomfleur and Kerp 2010 material],219.18,237,201.36,889,685.248742,1202.621917,"Franks et al., 2014",Bomfleur10,,,,https://doi.org/10.1002/2014GL060457
Carnian to early Norian,226.76,237,216.52,615,441.3656761,877.3833768,"Franks et al., 2014",Franks14,,,,https://doi.org/10.1002/2014GL060457
overlap between Artinskian and Leonardian [Krings et al 2005 material]  / late early Permian [Yao et al 2000 material],277.15,282,272.3,498,363.5124236,706.7245905,"Franks et al., 2014",Yao2000,,,,https://doi.org/10.1002/2014GL060457
Upper Carboniferous [Thomas 1965 material] and Bolsovian [Shute and Cleal 2002 material],311.05,323.2,298.9,340,236.81033,488.0181711,"Franks et al., 2014",Thomas65,,,,https://doi.org/10.1002/2014GL060457
Westphalian A & B [Thomas 1967 material] and Lower Coal Measures (Langsettian) [Hamshaw Thomas 1912 material],316.5,318,315,388,272.1263262,566.5354987,"Franks et al., 2014",Thomas67,,,,https://doi.org/10.1002/2014GL060457
Lower Coal Measures (Langsettian) [Graham 1935 material],317.5,318,317,332,239.3051726,470.5402899,"Franks et al., 2014",Graham35,,,,https://doi.org/10.1002/2014GL060457
Pragian [Edwards et al 1998 material],411.45,412.4,410.5,1548,1091.630805,2540.329186,"Franks et al., 2014",Edwards98,,,,https://doi.org/10.1002/2014GL060457
late Early Eocene,49.9,52,47.8,658.5,439,878,"Greenwood et al., 2003",Greenwood03,,,,https://doi.org/10.1016/S0031-0182(03)00465-6
"radiometric dating (Mertz & Renne, 2005)",47.4,48,46.8,943,853,1033,"Grein et al., 2011",Messel Formation,,,,
[multiple arguments],24,25.25,23,434,257,611,"Grein et al., 2013 (updates Roth-Nebelsick et al., 2004, 2012)",SaxonyStyria,,,,https://doi.org/10.1016/j.palaeo.2012.12.025
[multiple arguments],27,27.1,26.3,394.5,273,516,"Grein et al., 2013 (updates Roth-Nebelsick et al., 2004, 2012)",SaxonyStyria,,,,https://doi.org/10.1016/j.palaeo.2012.12.025
[multiple arguments],17.4,17.6,17.2,402,238,566,"Grein et al., 2013 (updates Roth-Nebelsick et al., 2004)",SaxonyStyria,,,,https://doi.org/10.1016/j.palaeo.2012.12.025
[multiple arguments],25,25.25,23,453,287,619,"Grein et al., 2013 (updates Roth-Nebelsick et al., 2004)",SaxonyStyria,,,,https://doi.org/10.1016/j.palaeo.2012.12.025
