Time,ISOBENbinned_d18Ocount,ISOBENbinned_d18O,ISOBENbinned_d18Ointerp,ISOBENd18oLOESSsmooth,ISOBENd18oLOESSsmoothLongTerm
0,1,3.52,3.52,3.498,4.6201019
0.002,1,3.57,3.57,3.523,4.6183863
0.004,2,3.535,3.535,3.65,4.6166787
0.006,3,3.807,3.807,3.877,4.6149797
0.008,3,3.96,3.96,4.18,4.6132889
0.01,2,4.925,4.925,4.6,4.6116071
0.012,2,4.82,4.82,4.994,4.6099334
0.014,3,5.353,5.353,5.206,4.6082687
0.016,3,5.33,5.33,5.312,4.6066127
0.018,3,5.277,5.277,5.28,4.6049647
0.02,4,5.165,5.165,5.19,4.6033258
0.022,2,5.05,5.05,5.094,4.6016955
0.024,3,5.023,5.023,5.001,4.6000738
0.026,4,4.923,4.923,4.964,4.5984612
0.028,2,4.93,4.93,4.938,4.5968571
0.03,2,4.975,4.975,4.903,4.5952621
0.032,4,4.832,4.832,4.867,4.5936756
0.034,4,4.837,4.837,4.817,4.5920982
0.036,2,4.735,4.735,4.772,4.5905294
0.038,2,4.755,4.755,4.762,4.5889697
0.04,3,4.76,4.76,4.752,4.587419
0.042,4,4.81,4.81,4.747,4.5858769
0.044,4,4.675,4.675,4.736,4.5843444
0.046,4,4.722,4.722,4.725,4.5828204
0.048,2,4.73,4.73,4.719,4.581306
0.05,3,4.73,4.73,4.714,4.5798001
0.052,4,4.73,4.73,4.694,4.5783038
0.054,4,4.628,4.628,4.686,4.5768166
0.056,3,4.72,4.72,4.72,4.5753384
0.058,3,4.74,4.74,4.772,4.5738692
0.06,3,4.877,4.877,4.855,4.5724096
0.062,5,4.942,4.942,4.925,4.5709591
0.064,2,4.91,4.91,4.928,4.5695181
0.066,2,4.97,4.97,4.889,4.5680861
0.068,2,4.775,4.775,4.791,4.5666637
0.07,5,4.628,4.628,4.673,4.5652504
0.072,3,4.53,4.53,4.561,4.5638466
0.074,2,4.53,4.53,4.467,4.5624523
0.076,3,4.37,4.37,4.385,4.5610676
0.078,2,4.3,4.3,4.299,4.5596924
0.08,2,4.21,4.21,4.231,4.5583262
0.082,2,4.24,4.24,4.195,4.5569701
0.084,4,4.157,4.157,4.202,4.5556235
0.086,1,4.24,4.24,4.305,4.5542865
0.088,3,4.377,4.377,4.417,4.552959
0.09,1,4.68,4.68,4.482,4.551641
0.092,0,,4.512,4.517,4.550333
0.094,2,4.345,4.345,4.478,4.5490346
0.096,3,4.463,4.463,4.41,4.5477457
0.098,2,4.345,4.345,4.354,4.5464668
0.1,1,4.34,4.34,4.291,4.545198
0.102,4,4.225,4.225,4.193,4.5439386
0.104,1,4.01,4.01,4.112,4.5426893
0.106,3,4.12,4.12,4.1,4.5414495
0.108,2,4.1,4.1,4.13,4.5402203
0.11,3,4.25,4.25,4.236,4.5390005
0.112,3,4.317,4.317,4.349,4.5377908
0.114,2,4.5,4.5,4.427,4.5365911
0.116,3,4.44,4.44,4.462,4.5354013
0.118,1,4.37,4.37,4.389,4.5342216
0.12,3,4.377,4.377,4.259,4.5330524
0.122,2,4.01,4.01,4.043,4.5318928
0.124,4,3.83,3.83,3.83,4.5307436
0.126,3,3.717,3.717,3.662,4.5296044
0.128,4,3.512,3.512,3.623,4.5284758
0.13,4,3.728,3.728,3.929,4.5273571
0.132,3,4.257,4.257,4.338,4.5262489
0.134,3,5.097,5.097,4.78,4.5251503
0.136,2,5.225,5.225,5.167,4.5240612
0.138,1,5.2,5.2,5.299,4.5229816
0.14,1,5.3,5.3,5.28,4.5219111
0.142,3,5.147,5.147,5.188,4.5208497
0.144,1,5.19,5.19,5.112,4.5197978
0.146,3,4.93,4.93,5.027,4.5187545
0.148,4,4.957,4.957,4.963,4.5177202
0.15,2,5.01,5.01,4.918,4.516695
0.152,1,4.73,4.73,4.917,4.5156789
0.154,2,5.065,5.065,4.92,4.5146713
0.156,3,4.947,4.947,4.901,4.5136719
0.158,2,4.78,4.78,4.877,4.5126815
0.16,2,4.85,4.85,4.84,4.5116997
0.162,3,4.803,4.803,4.8,4.5107265
0.164,1,4.8,4.8,4.768,4.5097613
0.166,0,,4.747,4.74,4.5088048
0.168,3,4.693,4.693,4.71,4.5078559
0.17,2,4.66,4.66,4.694,4.5069156
