Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,5.4046717582797,10.7127795060378,20.7739053873011,30.4557893876308,33.6300571005527
87.5,5.40467809832223,10.71277397119,20.7739178455046,30.455783443557,33.6300605281638
85,5.39181041560559,10.4690063436208,20.2785305646964,29.8178333875427,32.7276708082214
82.5,5.32683463867296,10.1149588353677,19.6433442149003,28.9393944658882,31.4096966443511
80,3.95737784672231,8.7320465909197,17.5981370331074,26.4331689943941,29.1899991244384
77.5,4.49475034844443,9.29261646153594,17.8188012791439,26.4877610919005,29.0208583681456
75,4.54881773915334,9.2682339713753,17.3931900390711,25.8701760045114,28.2024563212554
72.5,4.80307005879888,9.45106211306385,17.3766408052199,25.9429665537094,28.1042483032513
70,5.2528860054937,9.7367111084089,17.43966068218,25.9930480180581,27.8915228370524
67.5,6.47343742689876,10.8581105398846,18.0698323421074,26.4376074290048,28.2524144106796
65,7.77271624400315,11.9676467976201,19.0254769870581,27.0981949397693,28.8076512932694
62.5,9.02155674109593,13.0091940872806,20.1868036309438,27.8575221058724,29.3957317317013
60,10.4223817609764,14.3004119401261,21.4604915025977,28.7781627000276,30.1626293428188
57.5,12.0565969171793,15.8154568884255,22.9995541205211,30.1523325408478,31.4853889167108
55,13.7302497440387,17.3781840073461,24.5660818460418,31.5334974877151,32.9242235428873
52.5,15.4132211219308,18.9506230700115,25.9697223360956,32.7788777798316,34.1795679284938
50,17.1376643489509,20.545799705179,27.4058426756928,34.1450688292889,35.7107912089847
47.5,18.6565249191766,21.7619656667417,28.559412613335,35.0646997232457,36.4944968482932
45,20.5264099551814,23.4135032873101,29.8787543259658,36.0851329506523,37.3186856759503
42.5,22.0117799992829,24.757174416566,30.8830719218234,36.7531933641819,37.8416659078421
40,23.1200326676256,25.7999970091844,31.7019325953781,37.2278083812737,38.2073684449666
37.5,24.4696965414711,26.9944575596133,32.6948721108548,37.8820984875244,38.7349102053523
35,25.5552700662693,27.9730186052138,33.4236304367309,38.3284745260519,39.0892392914192
32.5,26.624086159816,28.8885750218844,34.1619352262304,38.6989554232708,39.4422984730041
30,27.087938074683,29.1427225055014,34.0327185693436,38.1911750019342,38.8573782179992
27.5,27.8005851097874,29.6387776776057,34.2147371804466,37.9276417034455,38.4922192299118
25,28.3276572978569,30.0719194168685,34.6465811705622,38.1859205324437,38.7608679627441
22.5,28.6615561005871,30.348888335313,34.9529546430244,38.4299443810472,38.97671315897
20,29.2144929422262,30.8161413922002,35.2444397523386,38.5963617461095,39.1235654390001
17.5,29.6164835067082,31.2156513130136,35.4356307142506,38.6829454841406,39.1971747322825
15,30.3934421049887,32.1153702379535,36.9990574846777,40.4655864520938,41.016839084687
12.5,30.8872246100186,32.6138100608888,38.0779159016164,41.7426950201935,42.3177299819253
10,31.3240115326513,33.1224783376704,39.0084218454708,42.8245424783807,43.4176092478884
7.5,31.6344041797292,33.4190553145509,39.7743623005474,43.7865074981248,44.4284709363014
5,31.574245158691,33.434348496295,40.1427094332737,44.343162187069,45.0867437029234
2.5,31.6003392896359,33.355993927857,40.6353019203632,44.9700269822206,45.9554768804909
0,31.1802815689511,32.8832147177094,40.7241090909099,45.2104905902773,46.0556162999597
-2.5,31.6112760650792,33.3056040214344,40.9235550420917,45.3596157628772,46.1290434320175
-5,32.020275568229,33.6296483367042,40.8929915401576,45.1453275160858,45.884449269373
-7.5,32.0259742393612,33.5912564629048,40.4840299823693,44.4750232729637,45.3780171783433
-10,31.928409935463,33.5127547899042,40.2487961108347,44.1410886962673,45.0285884323283
-12.5,31.8809170092556,33.4549035601774,40.0387792853724,43.8794076186334,44.7402093892594
-15,31.7625574394189,33.3304970741275,39.9412562137572,43.8365162363503,44.5318454944881
-17.5,31.4136496026643,33.3491072956225,39.4038413920685,43.2631956668652,43.9715653762287
-20,31.2049111240802,33.0569894175844,38.8003331692452,42.5799618239348,43.3205427520746
-22.5,30.7621100510973,32.5497393375008,38.0614945351533,41.8233224432047,42.4999377802004
-25,30.0163583996521,31.7089281630303,36.9903460455662,40.6769286083274,41.3050172557815
-27.5,29.1605719205821,30.7746533368412,35.7925001919638,39.3370827093259,39.9781299585405
-30,28.2202287652188,29.8033517223714,34.806302833608,38.1262478848457,38.8089878861766
-32.5,27.1637427060407,28.7250034437972,33.5983365331676,36.8427695778334,37.5566559927187
-35,26.0825291387393,27.6547443558006,32.4484812794057,35.7735633069611,36.4484143031876
-37.5,24.9437625739466,26.5484546349626,31.2753387177564,34.6389190478308,35.3324643109126
-40,23.7191834843773,25.3730189455445,29.9641863256317,33.3415705618743,34.0351763421254
-42.5,22.2148364139049,23.9934088071034,28.327498469367,31.6794011459631,32.4267158349605
-45,20.6612788501241,22.5393218588124,26.8135244706864,30.0230223035001,30.8351484579293
-47.5,19.2706687339095,21.3510137657315,25.6745262437947,28.5363994125659,29.351096174168
-50,18.1244849870389,20.2902913289383,24.7697418993363,27.2717635972917,28.089535442535
-52.5,17.0700837706336,19.3713866258445,23.9645187793525,26.3589094906692,27.2490164063972
-55,15.9145393739824,18.342239439395,23.0740645539792,25.4780697892591,26.3764626485051
-57.5,14.683967172502,17.2139538698568,22.1070367312019,24.7292257479986,25.6983111259374
-60,13.617883143705,16.3523232893194,21.4640976008583,24.5065585067055,25.4904968135104
-62.5,12.8102896778106,15.5976467720683,20.8697779035618,24.0930149379503,25.1292056465407
-65,12.1343590013317,15.0186354864284,20.4704562474762,23.9617862919224,25.0234622090433
-67.5,11.312604369132,14.2424552261571,19.9103622211684,23.6765136451587,24.8930752178587
-70,10.8025187051574,13.8443268881183,19.8129586375424,23.7666798063683,25.1260838044672
-72.5,10.2503922590202,13.3583380279553,19.9173510844326,24.038524412063,25.5420001919878
-75,9.64175453778398,12.9616854013701,19.8531969742173,24.0639438131852,25.6619188753601
-77.5,9.17358568042456,12.6636179850856,20.251196945007,24.6016763167844,25.9118877419569
-80,7.21287294181679,10.536596587419,18.50131586422,22.7531652380811,23.863024596142
-82.5,9.89725546888317,13.4065207694352,22.2895739930451,27.208484792794,28.3421250253723
-85,10.3986872755978,14.1767112495667,24.0900878917757,29.2663740594459,30.1908118621972
-87.5,10.4393551658732,14.3931275415927,25.3061556193821,30.9653109662898,32.2792937224067
-90,10.4393538487541,14.3931576533623,25.3061464998266,30.9653110076756,32.2792863286451
