Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-9.27469254355528,-6.39901684088743,-2.51572411452099,0.732075265655334,4.62715710753395
87.5,-9.27470314095103,-6.39901470627827,-2.51570311196958,0.732072803618798,4.62716511020501
85,-8.30501918299848,-5.55307136956657,-1.97898751415925,1.04603591719838,4.61862871880038
82.5,-7.71607205680258,-5.06173588893058,-1.7319156354163,1.14056226657027,4.45241225910201
80,-7.18816705080946,-4.65815450871639,-1.38325790282558,1.29250194126134,4.33114388811761
77.5,-6.29668349816787,-3.76884054477614,-0.531484002783795,2.12843116400269,4.89759596059885
75,-5.00669704307547,-2.58603456576101,0.634863563913962,3.425090682011,5.9489029392852
72.5,-3.68205738209137,-1.20386411514619,1.95328608687649,4.68313933678615,7.03041477972681
70,-2.61331032783423,0.0340329225463575,2.87085079076041,5.30218983391317,7.44666063763669
67.5,-1.00212386124587,1.71965644146461,4.30103599892459,6.55357722016287,8.63725029062766
65,0.659322673808711,3.35680153755398,5.81649036947129,7.93341602827424,9.97344100385219
62.5,2.67061839951889,5.37876107459878,7.69111178628835,9.74919631112792,11.5717763011702
60,5.09038447842804,7.95508327868765,10.1230785467652,11.9239208357578,13.4150641830378
57.5,7.00979234848012,9.8016661422637,11.6735728658154,13.357911834852,14.7782591076369
55,8.69040806554179,11.285493612364,13.0418684784667,14.7481910186518,16.240017114071
52.5,10.1075992998656,12.6375989816681,14.3006419428608,15.9608434838616,17.3379853731916
50,11.6512766304822,14.0944231179282,15.6040480363118,17.1887168393536,18.5761517413699
47.5,13.6587972548777,15.6756347395346,17.1477511055467,18.4990077164651,20.0164090290569
45,16.0010756338855,17.3008941153969,18.6535577792169,19.9002872108105,21.4706318058785
42.5,16.6628565953861,17.471042370719,19.1425028206095,20.7711994187443,22.2545129271197
40,16.0471363117058,17.2859253470454,19.6064561036546,21.8113566377772,23.1440766727111
37.5,18.8362070748605,19.790965763561,21.9032117068053,23.7378614778426,25.2468869142415
35,18.9594672424765,20.3867771632241,22.7641594459857,24.7420344945773,26.0017143068
32.5,21.178676036264,22.3230059822361,24.5282006343998,26.2620596584044,27.6845330272051
30,22.1908350642019,23.371154525688,25.6188528284031,27.316448213982,28.6680122386527
27.5,20.5054664184303,22.4914186878626,25.2324364512931,27.246823885199,28.3580941118895
25,23.3877863672352,24.423312647547,26.4982386561422,28.2491294647477,29.7121892577808
22.5,25.3246059358193,25.8766234182012,27.8491136161339,29.4701616414395,31.0456807334137
20,26.2138357591442,26.7811424876005,28.8933871567725,30.7490267441766,32.3066079351094
17.5,27.6899169778512,29.0269157360171,30.708499908746,32.772515435459,34.3943563367192
15,28.0714152234165,28.6983435407729,31.0605319923347,32.9158481855154,34.7038642615253
12.5,27.9699435596637,28.7185377116467,31.1136125218584,33.0377473105307,34.7895088352535
10,28.2219467566973,29.0104718158771,31.4512023025335,33.3579164544185,35.0841524681262
7.5,28.5894413734954,29.3372068667687,31.8665928420654,33.866083399097,35.515079281938
5,29.2189292828059,29.9934233971917,32.2994748032538,34.1998507757375,35.8308363121575
2.5,29.0749854219433,29.8160476634504,32.1914289720061,34.0488805312843,35.6966882827785
0,28.6463268058927,29.4324821207131,32.0488361518115,33.9998494430848,35.7157863443537
-2.5,29.0171416589027,29.7802807854919,32.4139841988065,34.500001002356,36.1798138970334
-5,29.2667129160049,30.0504575403927,32.5746904579273,34.6221218338515,36.2998951905645
-7.5,28.9487370574194,29.6332377479568,32.1485092104269,34.1321167224716,35.7117254153442
-10,28.7497825655348,29.3874627458995,31.6597184242813,33.5249777863118,35.0853633743666
-12.5,28.2173878622328,28.8163356614576,30.9666737644457,32.6719951663136,34.1310236612508
-15,27.682364785187,28.2415856195385,30.3497431336861,32.0007126522781,33.4464264263405
-17.5,27.2299646068107,27.8142055956341,29.7916268366567,31.3722586696149,32.8250691227354
-20,26.6210296294719,27.1868082986124,29.0420872165257,30.4780181754814,31.8880768332387
-22.5,25.9475252540645,26.484731915352,28.3604820202257,29.7475380320611,31.2064072056721
-25,25.4623117784727,25.9748663727765,27.8515279600746,29.2890221180843,30.6323248060372
-27.5,24.6688297942407,25.19615082828,27.0318569921223,28.5213671997206,29.7899327867797
-30,23.9838366109671,24.5982099742497,26.3321798159565,27.778144532317,29.1186104886047
-32.5,22.9599306243559,23.5745388214945,25.2584298764883,26.6717159816191,27.9583934898245
-35,21.9924539452577,22.7152220889107,24.2461880040033,25.5469481640863,26.8132064640474
-37.5,20.7091320791818,21.4832644150556,22.8848714163938,24.1390225727634,25.251053206903
-40,19.4790372524538,20.4232497029826,21.6330278147655,22.7927094953257,23.8127857820891
-42.5,17.7937668056904,18.5930894982918,19.7530261193725,20.898625492084,21.758328513626
-45,16.5524308829116,17.5005424046623,18.4096500896517,19.3128909143591,20.0606823372456
-47.5,14.9766543222058,16.1412931514295,17.3092069629529,18.1054028340402,18.6806315439276
-50,13.5553193591374,14.6081961858868,16.1354953104356,17.0041488361004,17.510836052417
-52.5,12.1282610820083,13.2087685177657,14.6648862436701,15.7320338768394,16.2952529197
-55,10.7291881638958,11.8778436817928,13.4826096020116,14.6301915943153,15.2834285734226
-57.5,9.22204985004342,10.5023118499384,12.1547659326586,13.5404389390523,14.3257351339692
-60,7.59112378511149,8.98653528707341,10.801581976377,12.3393587802205,13.2300551722879
-62.5,5.1476946098077,7.1409050280057,9.20657241666743,11.2821753704172,12.3896591116546
-65,0.385366990095405,4.38496291884233,7.48934675147899,10.6835381081694,12.2978070298442
