Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-16.4311212983515,-12.739737520184,-7.25863693683633,-0.718117399645064,4.27666095252823
87.5,-16.4311202764303,-12.7397439449591,-7.25864134979505,-0.718129096567172,4.27665190417589
85,-15.8634251306569,-12.2086849305431,-6.85388425555556,-0.690826116819153,4.6622304956049
82.5,-14.8695111435969,-11.2503978846457,-6.19717289832247,-0.525800685557273,5.04729809632494
80,-14.0154572218766,-10.4052901212401,-5.55335138157846,-0.237596669934138,5.57160141865532
77.5,-13.1675256695971,-9.58218444523775,-4.95215245843201,0.132655902847625,5.95066247814005
75,-12.4754107885281,-8.91917712256529,-4.46964624518424,0.501245449583559,6.26472132170816
72.5,-11.1944323608573,-7.65633675362447,-3.29351859239561,1.58438375147378,7.39676084738279
70,-9.45163614330544,-5.99701924345507,-1.76860811514055,2.93214165283479,8.71696219873475
67.5,-7.57466326707759,-4.25428787553631,-0.355363610800904,4.06213175867747,9.60842165502813
65,-6.01980025876216,-2.87900645539951,0.820582607728658,5.03294870925198,10.3091962343005
62.5,-4.32791928701047,-1.33514544078918,2.17858699214531,6.3008275675263,11.1776796701513
60,-2.4389800375212,0.439464153908603,3.80344013349675,7.77413277659145,12.3716402966404
57.5,-0.463209523617681,2.27629176167066,5.4130182614284,9.18265852740373,13.4664101102044
55,1.57403232758894,4.15102565484826,7.08979013361086,10.662091263099,14.5939904906404
52.5,3.63675180101794,6.04250635609869,8.8176368232411,12.2265165330664,15.8247563357684
50,6.16492013791668,8.41472462859831,11.0103921832049,14.2551609481516,17.541560550608
47.5,8.89177493595374,11.0239153640923,13.3477707258329,16.4305754019306,19.3504173031323
45,11.1879229482608,13.1023440145663,15.1412323269129,17.9940160572157,20.5321448452243
42.5,13.3163829927448,14.9316244669959,16.8533047770909,19.4348246945168,21.610824154867
40,15.6700224337683,17.046821026454,18.8602727065674,21.2015868829573,23.1011113518879
37.5,17.7464642162189,18.9210631756763,20.6554379907265,22.7301098120407,24.4033168149235
35,19.2278505255051,20.222245457654,21.9036239308671,23.7245316026601,25.244444842923
32.5,20.4133945961052,21.3012077652287,22.9449275523337,24.6166124975012,26.0473571894636
30,21.6067470489838,22.4568554736265,24.0444287835227,25.6443493369361,26.985282219185
27.5,22.5506295093885,23.3910721165223,24.9200686741472,26.466530942746,27.7495468512859
25,23.5685814945681,24.3877643971515,25.8976041475418,27.438501714141,28.6941743303717
22.5,24.2818759377264,25.0962110594571,26.5762532572364,28.097736611451,29.3429914335083
20,25.0269917623671,25.7883623440668,27.2153875883231,28.6874593955169,29.886071738143
17.5,25.4614620853214,26.2089506377513,27.6050223647305,29.0885950743813,30.2675287608209
15,25.7640883490435,26.5121366736473,27.8858769877939,29.2948543846684,30.4375521151847
12.5,26.3102970363199,27.1056611895404,28.6030256788798,30.1093130106035,31.3076880678307
