Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,5.96018146619815,9.18369212575988,13.0240245693223,16.6321736968093,19.2641295880429
87.5,5.96017132028857,9.18368990458095,13.0240161422573,16.6321472744212,19.264129634319
85,6.07473171408859,9.21860627619961,12.7697154131846,16.2402701603881,18.8110025616104
82.5,6.46595162950966,9.26275760111901,13.0508329214903,16.4903671548784,18.94179946316
80,6.03340137327789,8.89645436789459,12.4084585120422,15.8356829012717,18.1365834856666
77.5,6.00608531925596,8.55793997763493,11.9972998115707,15.1421950212819,17.2217752380457
75,5.88177346414807,8.25161729395449,11.6106383229995,14.6012469733543,16.5690979714215
72.5,6.26786982962395,8.7665762178781,11.9593579073964,14.7706157153592,16.522026872012
70,7.59162311707617,9.8998474972272,13.1189617369461,15.8332768285467,17.4521843455783
67.5,8.57811801724742,10.8173419395408,13.9303737988423,16.4867078895811,17.9371729327591
65,9.93260971183324,12.0838856005743,15.0173882791282,17.4996976200995,18.8953310950097
62.5,11.2422128037951,13.2888382129955,16.1128596624889,18.3901385540209,19.6818304353312
60,12.4518676558445,14.3945608719816,17.1060483995283,19.2737622551733,20.514521049022
57.5,13.8470901066321,15.5686072173495,18.1973242741245,20.2263401441523,21.5224964008717
55,15.1737397128172,16.7983263583947,19.3049124582162,21.2476055941894,22.5637418771237
52.5,16.2818382109277,17.9600999153994,20.3136032479621,22.2150955446942,23.540019313903
50,17.3449977095538,19.0950423900795,21.1605647440829,22.9846909295917,24.3550000180015
47.5,18.3671047985378,20.3159113055491,22.2756922900949,24.088352167339,25.5000775447988
45,19.6138243133956,21.4214997011438,23.2309037946047,25.0586325474701,26.5139153936137
42.5,20.9620659846909,22.7451099831853,24.6499408501631,26.3235661112707,27.7338320452349
40,22.670955804437,24.2322016324977,26.1002728478953,27.7127499339764,29.0810816920017
37.5,23.4475406592203,24.9500955045113,26.9067866465854,28.4753553357466,29.6880791734804
35,24.9821700727828,26.3105558507482,28.2070404709876,29.7266612354894,30.8631404089196
32.5,26.137036365384,27.2975500364015,29.161896467417,30.6391529328751,31.6402793559631
30,27.2795594413468,28.3484559436748,30.2963495076004,31.7877693287867,32.7788447969977
27.5,28.2393507483414,29.2201743327928,31.1761847764894,32.6744763355929,33.5923871849989
25,29.185761146711,30.1627275764681,32.1621486511775,33.7647066063058,34.663059377103
22.5,29.8056812643539,30.791288064408,32.8447121148466,34.5154359871763,35.3849766305758
20,30.343925879986,31.3676868781595,33.6944467686297,35.4453003472671,36.402786304839
17.5,31.0196087038867,32.0326546837431,34.4649008154847,36.2034424538973,37.2674225709267
15,31.5633309295877,32.6056461078641,35.165608413863,36.901972123352,38.0290393278993
12.5,31.9301957814903,33.0353758669799,35.782680978883,37.6374305954452,38.8156714511108
10,32.0711705494962,33.2864665005559,36.1736104870007,38.1171540789337,39.2947607366044
7.5,32.4952287637574,33.6921437182238,36.6621574459538,38.6292349091783,39.874483018146
5,32.3011122880307,33.6050508026173,36.630637657355,38.6311471344126,39.9139805093869
2.5,32.0190640404755,33.4023617058321,36.4934966969209,38.512511293813,39.8654854624007
0,31.825316879714,33.3285259666093,36.5411751931724,38.6488013126724,40.0427789912715
-2.5,32.2940332015791,33.7187065172338,36.854487497973,38.9417153281281,40.3264036295479
-5,32.7617571603456,34.0427741446528,36.9870271426301,38.9874699876519,40.2940445274277
-7.5,32.3439766985552,33.5953970418433,36.3556446469283,38.3306952721732,39.4808365595625
-10,32.2960274023909,33.4594450675465,36.2733736492477,38.3259127022128,39.5190603799205
-12.5,31.9555860237537,33.1260810010227,35.9624217164571,38.0921853555714,39.2568430579954
-15,31.6395158108912,32.7567450912702,35.5353559020777,37.7293717422761,38.8755302573511
-17.5,31.0544753597072,32.176897577181,34.9610151356318,37.2026003935749,38.3281688881293
-20,30.4365233884728,31.5563138298621,34.2587320376065,36.4851694260038,37.5826923758454
-22.5,29.6111776471929,30.7454883287748,33.3748557313562,35.5720037455108,36.6371874023535
-25,28.8072821760466,29.9487717737707,32.4886143774277,34.7346680248033,35.7506987350068
-27.5,28.0339221928358,29.1687457078264,31.649837159173,33.8699356881031,34.8927399928382
-30,27.1267894156322,28.2599920238709,30.529530316811,32.6345150556943,33.5966526283259
-32.5,25.8600086151433,27.0495272311204,29.4090544430037,31.5438888212324,32.544678968007
-35,24.6177000458272,25.8484498937131,28.1525117651635,30.2716160407335,31.3003113857633
-37.5,23.3355656388634,24.7238823553538,26.8977774807289,28.9936314647369,30.0349678135035
-40,22.4378848726726,23.9011090826097,25.7613326077101,27.6723161033246,28.6939696076231
-42.5,21.1882133966072,22.7632775601537,24.4406040625493,26.3161880679375,27.2941259060373
-45,20.0775876652337,21.6526405942965,23.1397663173845,24.9397356315629,25.8301386295662
-47.5,18.8379294264821,20.5936160367357,22.1380554279783,23.885511948818,24.6103300341595
-50,17.9393598476996,19.583440285793,21.0077100375985,22.7112604542333,23.4239634366461
-52.5,16.7968515167871,18.4816052035177,20.0690945308016,21.8102024816449,22.5054432623478
-55,15.732183019363,17.406743636378,19.1185100394137,20.9518740940752,21.629272463943
-57.5,14.7726616322834,16.4598418941438,18.3005266492784,20.2054153301535,20.903911572755
-60,13.9305722680732,15.6469541404494,17.6441449256687,19.607878169745,20.3611515408046
-62.5,13.1772575977838,15.0345733019154,17.2664379356817,19.4502945672556,20.2696700871623
-65,12.2330658948486,14.2870720405431,17.0076005791518,19.4219542013715,20.2958372172869
-67.5,11.1637964716075,13.2690819539644,16.5842936862961,18.9941750380533,19.9984575911754
-70,9.91400925100021,12.3030634433202,15.6821597184558,18.3383387893738,19.4628107790446
-72.5,8.20456175367315,10.8933107461261,14.0224188271272,16.6448045334303,17.8623181183372
-75,6.42204046606444,9.41313888347514,12.4022955308457,14.9762322940295,16.234726092822
-77.5,5.45137100766098,8.26895148681725,11.4625183654482,13.9775307283863,15.3454054192624
-80,3.33631882488035,5.98584851459641,9.45734336923754,11.9743196821697,13.3227156735858
-82.5,-1.10579859216716,2.46692756307244,5.66782576184603,9.02057130517516,10.4769807831432
-85,-2.49019129210504,2.07720905166688,6.22001297025081,10.0742945429887,11.7444335409381
-87.5,-5.22479697981264,0.286712080504422,4.38586328919648,8.43478989210379,10.3676093461773
-90,-5.22480086877206,0.286719961494549,4.38586045596654,8.43479986728852,10.3676123837211
