Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-21.3988884248361,-16.9008276169215,-8.26492090656895,-2.63850715591699,0.302845207080082
87.5,-21.3988893334538,-16.900832523034,-8.26491405123854,-2.63850724502289,0.302846475262994
85,-19.9724468268244,-15.7292898217733,-7.5093715858619,-2.23374639653394,0.573269803518478
82.5,-17.9131421992071,-13.9308107692405,-6.38868356305876,-1.49021601376056,1.09086360353635
80,-15.7219189388454,-11.7717014998478,-5.12795997567368,-0.590232078006112,1.82780354818709
77.5,-13.517211590204,-9.84431006661194,-4.06388957669241,0.0672398300817321,2.50462705619196
75,-11.6235105083826,-8.34166991325448,-3.22820067296004,0.629703771318954,2.94172867305483
72.5,-9.99668075370013,-6.8488000062852,-2.26426119361832,1.36281642083642,3.60007064140931
70,-8.59646161953129,-5.47733683234484,-1.18935357554806,2.2750525892756,4.47322280500053
67.5,-7.2167259876772,-4.21101062518713,-0.0346282839216974,3.32595812241436,5.48810998772515
65,-5.86370936002389,-2.7663330450075,1.13016816467965,4.38056413206427,6.47855224897816
62.5,-4.51962399557842,-1.55606156139439,2.19508498563525,5.36215598686672,7.39763231261102
60,-3.11520745256511,-0.28689801647721,3.28909203504859,6.42254245482962,8.37809177904678
57.5,-1.62599938074891,1.04887891458412,4.38840929227667,7.45784917157726,9.38538741029692
55,-0.26592150363663,2.24144558517359,5.37926211510237,8.38301344557402,10.2215593184374
52.5,1.55778047046503,3.91184524235651,6.85509508145894,9.70857074295363,11.3683028298141
50,3.51354338804812,5.66122294648478,8.35840614949782,10.9672566719522,12.4995699785912
47.5,5.42158560427372,7.33244987407889,9.81642713767492,12.1158376865822,13.4198771553161
45,7.58999592906356,9.36144691485703,11.595490433936,13.6042448597253,14.6850469455716
42.5,9.70562634201138,11.3548910768948,13.3901418618001,15.1261921454474,16.0373574250388
40,11.5196510457921,12.8675907041863,14.8505309619234,16.4559722757774,17.2515331691926
37.5,13.6695154928271,14.6671461263426,16.5825462163586,18.0986345721177,18.8831785521934
35,15.1983595877779,16.2391181399714,18.0560023399537,19.5583408885256,20.3920096387966
32.5,16.8775156656736,17.8836754602589,19.6211916650724,21.1461315656096,21.978591686392
30,18.3743439440406,19.329240768647,21.0134603423496,22.5358268672939,23.325015840549
27.5,19.8221994138542,20.7194830123519,22.399406309098,23.8897706753641,24.6584824271977
25,20.9223964259169,21.8018736608932,23.444752950869,24.8910209321041,25.6292579493106
22.5,22.0056060450555,22.8662228613311,24.4322463055754,25.8039286174203,26.490133638735
20,22.7178384263305,23.6060287376273,25.1056395291928,26.4016244414419,27.025738287223
17.5,23.1956884867211,24.1404652278831,25.658602681457,26.8908038966752,27.5390449876298
15,23.5055224333426,24.50002550629,26.0268599176224,27.2197791213907,27.8829762500169
12.5,23.6685631196946,24.7589353307052,26.3040294840797,27.5682369308489,28.2737676824934
10,24.0081528994871,25.1535675927455,26.7909845831867,28.0904192466543,28.8296553276734
7.5,24.1845110844896,25.3102336798096,27.0165990651415,28.2907216267594,29.049803255777
5,24.1104274409459,25.3227005305254,27.0764159368725,28.4061286524319,29.1784609905629
2.5,24.0074218230841,25.1794010583106,27.0008977632011,28.3465429747702,29.1179529277501
0,23.5658182462548,24.8282341441658,26.6802877156833,28.0554632986051,28.8200135244429
-2.5,24.117415713365,25.2782689218327,27.0575886348646,28.3690924872379,29.1240532219875
-5,24.6326870566681,25.7203643033447,27.3996659649188,28.6745372537699,29.3926186977871
-7.5,24.9035537558241,25.961947534453,27.5606630832952,28.8103445947905,29.5285714028125
-10,24.9407654416347,25.8852627677258,27.4034334839049,28.6553457701739,29.3719126763571
-12.5,24.8458028161405,25.7251308720489,27.1803409265205,28.4262692612558,29.1249987248128
-15,24.7514948001406,25.62497139228,27.040906723694,28.2622964056564,28.9399004441556
-17.5,24.6290194840808,25.4848402759693,26.8619299004915,28.0744804822162,28.7415305657651
-20,24.3327330513501,25.1637756806422,26.4654387622238,27.6195599311379,28.2550803771654
