Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-28.9269628443831,-27.8133401532891,-23.9412198337621,-19.3129157947509,-16.9301299841469
87.5,-28.9269643518401,-27.8133364761603,-23.9412266330599,-19.3129449011784,-16.9301364509428
85,-27.5578713206804,-26.4030915198085,-23.0459152066913,-18.9142818358315,-16.5091573689395
82.5,-26.0176578234649,-25.0223650418754,-22.1924139312655,-18.668996814192,-16.5870352670024
80,-25.1969059498947,-24.0314690370285,-21.7258392465009,-18.8867442161068,-17.4859118512085
77.5,-24.4192095928932,-23.1482821413646,-21.0970980652125,-18.7431516142323,-17.4988005851867
75,-22.8699821893451,-21.5382382079446,-19.6626977818341,-17.7194833081448,-16.5540948174007
72.5,-20.0665948368613,-18.8902692238593,-17.2731187029803,-15.5932669196242,-14.8037838974784
70,-18.0292396223163,-17.2120796100942,-15.8033919907379,-14.3372103915801,-13.692679968554
67.5,-15.8754253620092,-15.3920534282387,-14.1368416032513,-12.7809055555479,-12.0314354945972
65,-13.1615138699888,-12.8080437786834,-11.7768485066152,-10.58270042511,-9.8858493436993
62.5,-10.7000045388429,-10.3617321431553,-9.38284820275482,-8.27210355288366,-7.60418350729789
60,-8.11130025430431,-7.69527122056821,-6.86551049000772,-6.04240981029927,-5.45377758553733
57.5,-5.69444054356881,-5.24790048935805,-4.37769380461182,-3.691778690097,-3.28625431890146
55,-3.66827947827826,-3.18532856349961,-2.27021964174389,-1.56708259840982,-1.18140817474644
52.5,-1.91752226954892,-1.40317407973694,-0.426545422352904,0.335849812145565,0.69292126847838
50,-0.277048605218273,0.153864075821958,0.977174892281287,1.69483615492265,2.01181872156853
47.5,1.66796180705361,2.02454441778323,2.78798908704173,3.50642489990264,3.79995413441574
45,3.98471370738273,4.33463399658891,5.02851151870842,5.78820444266745,6.17411700744942
42.5,6.15762176792776,6.42714153889129,7.13624706180694,7.93128767516138,8.36816108063906
40,8.26983495475178,8.73433739754656,9.6069756774225,10.4666742585849,11.0164847319318
37.5,9.87820167407669,10.5253485133576,11.4739807988252,12.4279799369062,12.9051370584194
35,11.0307515311417,11.7646810072185,13.0581238579814,14.045570084696,14.4045529439585
32.5,13.3807337736708,13.9748541473987,15.0833780196903,16.0327400227355,16.5706924482365
30,15.0383852222875,15.7198115789306,16.9111501433824,18.0058647035713,18.6245265915302
27.5,16.9124477029004,17.7525058225642,18.8223425428159,20.122775341033,20.8006358964936
25,19.0261221595158,19.7264362910132,20.7513608416545,21.7206979713986,22.3909040334343
22.5,20.1275863696486,20.9706386755658,22.1052782781398,23.1147858134589,23.7297028342619
20,20.8584854738587,21.9326207632954,22.9748409024338,23.9123778075845,24.4114543351907
17.5,21.9292266246606,22.8029903754224,23.7067177471253,24.8538298313361,25.2033629213027
15,22.435002040032,23.1276988920768,23.9949095599627,25.1727395119562,25.5078112755694
12.5,22.9827656263823,23.6497972341894,24.487509590236,25.7353806491679,26.073828439839
10,23.1881408817698,23.9673076910703,24.7898389298284,25.959100598293,26.3793015590364
7.5,23.3194987502443,24.0948196899594,24.9092974520998,26.1783242081816,26.647824432221
5,23.5052876772902,24.1372091611467,24.9394385560974,26.2148421256747,26.6644061226581
2.5,23.3121179083763,24.0516889756948,24.9024350483693,26.1823567423864,26.6112692916374
0,23.1600022474972,23.8491770613775,24.693679449718,26.09621562566,26.5517077021437
-2.5,23.3638678076782,23.9158346046072,24.7926410254054,26.12774866594,26.6366168479915
-5,23.5669495192709,24.1463278139136,24.9430222647821,26.1841284442316,26.6113827899447
-7.5,23.3886218377005,23.9125250202099,24.6914380671165,25.9141216924844,26.3158446816199
-10,22.8884164307151,23.5642883671265,24.2419790052416,25.3779624239098,25.7609380814847
-12.5,22.3902680085317,22.952841468762,23.6228884858759,24.796229043899,25.1056876607272
-15,21.7685613804543,22.3910817503873,23.145488133593,24.3552742326842,24.733242925972
-17.5,21.3382561650918,21.7860839894888,22.5873066262094,23.7841189092894,24.1653083459076
-20,20.574706124655,21.1162481208535,21.9958016226559,23.1460539322564,23.638960154387
-22.5,19.9306370181176,20.3702813537483,21.2201348318931,22.4917513635342,22.9263829564845
-25,19.0889256223664,19.5249386569176,20.395563381138,21.6305705030848,22.1207727154847
-27.5,17.9111990818255,18.5247477303849,19.3678694587688,20.4852878427948,21.1569669243656
-30,17.0138292327827,17.4981460682155,18.3148164018943,19.3556096846979,19.9984527126726
-32.5,15.9482214944469,16.2986991046715,17.1306047309862,18.144938813126,18.7677787015142
-35,14.8258856969575,15.1001726889537,15.8918266659015,16.8611828882834,17.374978228513
-37.5,13.1985594052624,13.4847549646783,14.277690663495,15.2152070067424,15.5841206525337
-40,11.3808349800399,11.6858441018069,12.3859025947627,13.2151944696686,13.5837240280836
-42.5,9.17562577772396,9.53118839062682,10.1267172862658,10.8850720928581,11.1327911108371
-45,7.09780554503997,7.43796925474541,8.02752493853921,8.69485911061848,8.95424125413444
-47.5,5.06899374943331,5.35094432716336,5.87286083187771,6.55643334833224,6.91438767732093
-50,3.27680053679953,3.54504716851786,4.0694145462736,4.81239725852301,5.30581065525262
