Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-10.9796428278102,-6.91267867035549,3.57755985141893,17.5747706867001,25.8724503710123
87.5,-10.9796365499233,-6.91268223362929,3.57754982109427,17.5747579508857,25.8724423420636
85,-10.3841589911339,-6.38974859104822,3.73003543634261,17.3581065698819,25.4981673458036
82.5,-9.60083148552196,-5.69853303580899,4.04602407201951,17.1997644861961,25.1222952896325
80,-8.71508784294991,-4.90873993017836,4.41791881624024,17.0168810248316,24.7326038626728
77.5,-7.68392904364616,-3.91234020217838,4.86767090801904,16.7672583211113,24.209133918035
75,-6.46140959471377,-2.80879807496754,5.48014115631824,16.6483965406401,23.8049747688759
72.5,-5.0365397366662,-1.5320437052522,6.22864451985079,16.5325604408824,23.322391314287
70,-3.43384028927195,-0.0542079135212086,7.03956538264916,16.4952308544283,22.8817020894443
67.5,-1.93239912986636,1.22541200155313,7.71931064822739,16.3208842885797,22.1772379159256
65,-0.422938143513869,2.49306262163253,8.35045833845081,16.0388561056255,21.2530713960193
62.5,1.33304790155186,3.86128591835379,9.10270661953843,15.9210190270699,20.5184749296497
60,2.97685040243227,5.23262932675175,9.93832373683249,16.1180226411525,20.0983419419867
57.5,4.62954937883303,6.69325762371633,10.9180508578476,16.5568294088459,20.1321342432719
55,6.08990994071794,8.05545707023904,11.9996840614794,17.2092606565326,20.5263193475592
52.5,7.64599411573126,9.50949108719023,13.159851875075,17.9979907682337,21.1034338513796
50,9.16731915503921,10.9194118282289,14.3653488322068,18.8904147347722,21.8198536683719
47.5,10.8210436439255,12.499333036341,15.7784798649657,20.0112618589557,22.8125360145481
45,12.621597125368,14.2562312889759,17.3822682689928,21.3590490927042,24.036238939326
42.5,14.2759938726326,15.7698191357592,18.5562274757847,22.0441965462624,24.4194538104001
40,15.399266559943,16.683059326538,19.0851491824637,21.9697798450828,23.9462456870579
37.5,17.5465517207939,18.8221213721215,20.9393473368725,23.4218692292973,25.3197828880403
35,19.8427869416724,21.0150709132438,22.9232400801724,25.061715257333,26.7788942536958
32.5,21.4211151772069,22.4403382494842,24.1124594479164,25.9072636306637,27.2638342822183
30,22.8627837394828,23.7869830338189,25.2809366619315,26.816877205974,28.0050547778966
27.5,24.2584984575055,25.1242304010773,26.5063716804762,27.8506690933593,28.9300513818932
25,25.4444612160519,26.2108873458411,27.5064029858253,28.7831053007951,29.6657856837689
22.5,26.4122932993243,27.1065214323925,28.3293445653379,29.6663350008625,30.362465238881
20,27.2523971912387,27.8935458438166,29.0145370226921,30.4882347593228,31.0139346612338
17.5,27.878233753397,28.4780111672626,29.5295743532014,31.1466055927995,31.548247212564
15,28.3216458288666,28.8965742395082,30.016949440848,31.6765641867897,32.0476611041797
12.5,28.6284900193495,29.1761479465396,30.4169587411626,32.0918676082509,32.4998538571665
10,28.8067204978322,29.3489934493807,30.6809689931325,32.3985732599219,32.8383791838184
7.5,28.6636826916215,29.2300020245633,30.5767949559253,32.3327346725006,32.7784192124542
5,28.4865833140358,29.0804707334877,30.3582231500971,32.1761090769451,32.5817743672889
2.5,27.9156272602447,28.4936543761143,29.8423979872267,31.6506200314461,32.103376672315
0,27.1071097373938,27.6890819836788,29.2479760804417,31.0584726361637,31.5842145321608
-2.5,27.7508474303796,28.4110875893073,29.7460255505814,31.6841897075197,32.1128421437399
