Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-7.30457429041407,-4.97775420108374,-0.992206393286693,6.54469763655782,9.54638766956418
87.5,-7.30458088372595,-4.97775966526104,-0.992210513258038,6.54469718806976,9.54637462792264
85,-6.60994964281813,-4.29816258838525,-0.386860848446736,7.39015757482389,10.4478136563877
82.5,-5.52672858113006,-3.12238654433765,0.717064577207592,8.82828677259586,12.0174617040584
80,-5.12158771122007,-2.58355755941385,1.28526168872712,9.60973271186318,12.7707033524786
77.5,-4.33736003977624,-1.75300689784039,1.85054894121138,10.3896991628003,13.387842604218
75,-3.42670117888566,-0.880953503655242,2.52763399652043,10.9796872273985,13.9895818133388
72.5,-2.15667236144379,0.365049575684748,3.69032994497021,11.9585826872216,14.9035353875387
70,-0.63257483677737,1.89850806427638,5.28095867184201,13.4184093851511,16.5570960918977
67.5,0.947437126143283,3.48090225885403,6.80733745441607,14.6013892672896,17.8337087888485
65,2.32405763207931,4.62637797863328,7.7013454175092,15.3313277927384,18.5270019966705
62.5,3.58572726965857,5.83167184678401,8.80390755206104,16.17662414248,19.2330282206587
60,4.9444144762738,7.06656198353899,9.91806358032184,17.1149470958345,20.0321803534789
57.5,6.64942934358198,8.73816232546707,11.6332936031901,18.4719468314481,21.2700965320513
55,8.59833191605523,10.5619445719944,13.3151624199528,20.0165928472005,22.7505553951518
52.5,10.6423830018487,12.4404810079888,15.0747942560214,21.5672878158179,24.2899073780715
50,12.419152753864,14.0811565127647,16.6554478177315,22.8385777923245,25.6286335176292
47.5,14.553531473801,16.2077405423674,18.8788762320509,24.4921404813229,27.6888355853055
45,16.6023884658532,18.1752447395955,20.8192253141456,25.985258823605,29.3066071708852
42.5,18.53718372538,19.9654930149186,22.4836787951005,27.3048925722611,30.650951620282
40,19.5459540563417,20.719501989432,23.2827573395632,27.8553869052327,31.1080689675756
37.5,21.0788607774478,22.4144480949128,24.6134950079473,28.4685280453715,31.4373010995361
35,22.3325532742233,23.5150356889591,25.5833720984295,29.1464400536211,32.0057432102516
32.5,23.433336102818,24.5888809003066,26.6748161105997,30.1065649324897,32.9805566228686
30,24.5611966676749,25.7317317196446,27.7519984267724,30.98019959282,33.7866334947913
27.5,25.5558451155404,26.5197297712557,28.5646495164829,31.739657866585,34.4030883046081
25,26.3740885493979,27.3322981103934,29.3459875441214,32.4280860179499,35.081881952754
22.5,27.0132122778552,27.9578309711301,29.9143945994902,32.8974792205664,35.4738445407074
20,27.6683323837453,28.6661193828836,30.6162738817978,33.4665273255583,36.014302881311
17.5,28.0989936940666,29.0441199804673,31.0381148835414,33.8393026875036,36.3803662297209
15,28.4697269931555,29.453186295048,31.5148875516775,34.2649024447078,36.8513566760454
12.5,28.8053881267446,29.8257999470123,31.9693589705042,34.7874328733952,37.4640953024431
10,28.9295212114844,30.0336157395888,32.2941016253272,35.1589218022396,37.9476570909088
7.5,28.7618656381004,29.9437331831284,32.3544473989071,35.1682687844581,37.9778620812218
5,28.6118525021172,29.8189737726209,32.2344683123255,35.2403296719014,38.1296084929517
2.5,28.3118582341227,29.5791999312497,32.058479360669,35.2330385706652,38.1910611973279
0,27.9798361977201,29.2890656251161,31.8678124005553,35.1977458109009,38.295367197931
-2.5,28.5021188755561,29.7789163816167,32.2534977782092,35.3571355918727,38.3631979856648
-5,28.7563379494196,29.9680194692988,32.2176155053039,35.1551316232249,37.9350148602487
-7.5,28.7535276059011,29.8694804331309,31.9523528459188,34.7936589948209,37.3707849237469
-10,28.574284044848,29.6544330178902,31.6757359318414,34.3482556676214,36.8305920387049
-12.5,28.4365455958659,29.4076672609961,31.3032978957929,33.9442394867719,36.3254444108665
-15,28.189708454757,29.143597518949,30.9791399299988,33.5780990877528,35.9148984302505
-17.5,27.8912405028492,28.8118573110921,30.6640606549605,33.2279368885227,35.5965434767314
-20,27.3723775198141,28.2686837113023,30.1347474315853,32.7079894212403,35.1166959191526
-22.5,26.7224505247248,27.602526328454,29.4786965913761,32.1032956393325,34.5265269396887
-25,26.0275411109209,26.8873146316464,28.773166773637,31.5371628106397,34.0423528274443
-27.5,25.4934307579568,26.4146200030184,28.368077977467,31.2474772547604,33.8527551590308
-30,24.8660629242298,25.8259259145678,27.8102872143746,30.8050836944327,33.5123925657648
-32.5,24.0176109771524,25.0818519038079,27.0877300084491,30.243380391259,33.020990782414
-35,22.8861918970006,23.920922256442,25.9635223720998,29.4257979776956,32.2628809565627
-37.5,21.7463344038298,22.874002075742,24.9363018287223,28.6758476832457,31.5795187687738
-40,20.1820252410992,21.3583722785024,23.5021655489533,27.545270045615,30.337102897716
-42.5,18.7812859430407,20.0339556488715,22.1560779763595,26.7012722179262,29.2803712607985
-45,17.2121174703534,18.530475651563,20.7218347556822,25.7727774345228,28.0921566641333
-47.5,15.6499234296523,17.1917207833773,19.3986206069034,24.8080081995203,27.0564785673438
-50,13.9386397679883,15.5688219803237,17.7739834637919,23.3585328996525,25.562766290302
