Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-10.7468903401262,-3.0275359158923,5.99375336738711,20.6820353091319,32.9040265985194
87.5,-10.7468952532905,-3.02754207424607,5.99375165649997,20.6820296429961,32.9040228316871
85,-10.1869104452128,-2.49295527243161,6.35092841956051,20.7764897947091,32.9160595542168
82.5,-9.15845271924108,-1.70902656911292,6.8921721946381,21.2269178839063,33.3891417421745
80,-7.81617428209518,-0.677602726911626,7.92742790929075,21.9102687307666,33.9489821811636
77.5,-5.95132308173013,0.46185403300543,9.84244588435522,22.472487397191,34.1224005330467
75,-3.68917958652689,1.64252470948389,12.4709067584222,23.3042058335181,34.4083529842751
72.5,-1.27029292829092,3.15552392365666,14.9537306746954,24.3474483187804,34.7770940047478
70,0.930562575113471,4.60183193046767,16.9527115415991,25.4155700718169,35.2552206554758
67.5,2.66256023723153,6.13580578427075,18.5175658860123,26.1679392406717,35.207944322645
65,4.16399314269214,7.49376298530075,19.3363082791244,26.5800929017905,34.8226982742079
62.5,5.15925436398334,8.67269640353838,19.3659301117731,26.3189525792341,33.971935950995
60,6.1588978081246,9.65656371457095,19.2219190047013,25.8327906357836,32.7371296590674
57.5,7.06967636402487,10.4657110948042,18.9750268020802,25.0516221775927,31.3415764200425
55,7.93832229771603,11.1869005017919,18.6711597119195,24.3089251636664,29.9644523822135
52.5,8.89760217445037,11.8417385091465,18.5616338914406,23.6404336997969,28.8172005210051
50,9.84836850622343,12.5865833232436,18.6362257273794,23.2394018854515,27.9649239584175
47.5,11.0487015831113,13.485629914757,18.9697622338342,23.2199720700221,27.4402836210754
45,12.3546614015348,14.5420155711595,19.5601451028507,23.4710850092213,27.1575834080537
42.5,13.8549078297843,15.6574121397454,20.3365161052156,23.789129354023,27.0164734445949
40,15.3630662618019,16.9404789831627,21.272797723086,24.3490144889132,27.2037779018746
37.5,17.0346579438275,18.4991444607498,22.4490116225059,25.30899643078,27.8886629704228
35,18.9476509693622,20.2872097224266,23.7612441181772,26.3987374406352,28.6130919628504
32.5,20.8312800387431,22.0074753308924,25.0362321935734,27.6469014085715,29.4329529876591
30,22.4490409498236,23.5193068188591,26.2874176847411,28.7476678779224,30.3432886204178
27.5,23.8269045477423,24.8057772322284,27.346568445849,29.693038082002,31.0545938232831
25,25.2324750185083,26.1100305405155,28.4811017849157,30.8113956757492,31.8900626206932
22.5,26.5063458983051,27.3145120920128,29.4430116008316,31.9301159754736,32.7592605428943
20,27.6671933856669,28.4452973228303,30.0699337166353,33.1585731397919,33.7266690529098
17.5,28.4917891633343,29.1660082431055,30.8853731558733,33.993681550583,34.4406329974236
15,28.9263134954197,29.7001034090837,31.6259153188037,34.642551048559,35.0861078248294
12.5,30.2233007888299,30.9247767803186,32.3709802056641,35.9642132700918,36.3339175938107
10,30.7145618562749,31.4818163865646,32.9183103009447,36.629426724309,37.030464501219
7.5,30.9475226941667,31.7574448650679,33.2702642705683,37.1619097002381,37.6283903861943
5,30.9350136267934,31.7478756879863,33.2822568333893,37.2426891741484,37.7129331865301
2.5,30.7339336696408,31.5549584362893,33.1362223678089,37.2500807557944,37.7325471449444
0,30.4955219313103,31.3363312229503,32.9731907265178,37.1860210773036,37.6909873801166
-2.5,30.9515184856298,31.7692128135515,33.3689449829389,37.532123759027,38.0096936015095
-5,31.2526732760682,32.1059079299534,33.7613751460391,37.8646598759524,38.3604289274481
-7.5,31.2651892554129,32.175528905236,33.9091775345308,37.8978240661929,38.4216051535657
-10,31.1077864726068,32.054858631453,33.8175702717843,37.7308905523387,38.2735665109216
-12.5,31.0303374225386,31.9859978386822,33.7786847612429,37.7351272640752,38.2761375515969
-15,30.9801692030263,31.9624020240659,33.8568062266689,37.9213313038586,38.507446881734
-17.5,30.6583238530477,31.6591660652404,33.6586828337913,37.8049752730705,38.4175678538658
-20,30.4222010579862,31.3778218743891,33.5978700503178,37.8795599139287,38.5517951823776
-22.5,29.7773969971457,30.7584619837502,33.2045943074854,37.5216104445738,38.2437020627787
-25,29.2517110029637,30.231405653211,32.829673341294,37.2931565007165,38.0642646117071
-27.5,28.5939982513071,29.6071367639677,32.3069893081854,36.978787664086,37.7744548481379
-30,27.9272279632626,28.9866123047144,31.775641395619,36.8918542171926,37.7231786815249
-32.5,27.277924895494,28.3682570916206,31.1193604761706,36.4181171432213,37.2622874165211
-35,26.1021045848447,27.2769753066442,29.9878607737112,35.5904242770712,36.4293599665912
-37.5,25.3256806523478,26.5415654615292,29.2305208207436,35.2828930878014,36.1354691153086
-40,23.9018713833554,25.296193693643,27.9638944910465,34.4907826359002,35.349434704168
-42.5,22.7050559880498,24.2790719280867,26.8633418477328,33.8618244432401,34.7018279000229
-45,21.6503311663309,23.4622796868813,26.0304166926826,33.6225196825232,34.4914435624385
-47.5,20.4750087707701,22.5176331717309,25.1558777448567,33.2687913561212,34.1341521401097
-50,19.1269158792559,21.4052481882048,24.1424821075536,32.9044337346778,33.7542155193887
-52.5,17.6882062711527,20.1695088220465,23.1657555423027,32.2698439459574,33.0987709937546
-55,15.6971695910449,18.4062090343546,21.8479098360789,30.9522984030671,31.9266681016808
-57.5,14.1766376869839,17.0608938058471,20.5829710278188,30.1939747542772,31.1456523405081
-60,12.881369598486,15.8245498472444,19.6264170546618,29.4069495947118,30.2918878156091
-62.5,11.1377086895276,14.138797076471,18.210066011767,28.0526111613178,28.9857688677903
