Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-47.5872884044522,-24.3082579604836,-11.0148862164806,4.9210545949081,15.1388491830128
87.5,-47.587298183828,-24.308257468655,-11.0148871126415,4.92104978558334,15.1388455278691
85,-46.3014126183203,-23.5050860628015,-10.3367066890163,5.23915973196238,15.4313886237794
82.5,-44.529320088915,-22.4132285389606,-9.43370914179996,5.69069866772842,15.8884846400178
80,-42.5542888771776,-21.3069583958298,-8.39847323975527,6.06720848856301,16.3296297437546
77.5,-39.4586455473189,-19.8204352812387,-7.199391561929,6.29868439792061,16.4611868161588
75,-36.3217231201361,-18.2449449438441,-5.86510981765277,6.69389808997457,16.7446252885696
72.5,-33.0358014165022,-16.5647678627527,-4.35787151550911,7.25134915981817,17.1985387117616
70,-29.5187822089536,-14.5984685849772,-2.77852321931374,7.97778877127672,17.6515603854756
67.5,-25.8864816604602,-12.3584414339729,-1.13197640782323,8.81969343779593,18.0098786636404
65,-22.3369820436942,-10.0463595494169,0.513028682279995,9.65274128663081,18.2535936017783
62.5,-18.8749545539183,-7.65867493413644,2.09208565708031,10.4998481370871,18.3418957182451
60,-15.5629762714463,-5.34910689118037,3.53425837230945,11.2619861891744,18.3930202924237
57.5,-12.5374998465289,-3.14415383719046,4.92629827004069,11.9994059306269,18.4761421937075
55,-9.70188605923602,-1.01990990289386,6.30239903925009,12.8136143112648,18.7135202292082
52.5,-6.8870094171615,1.06383609054041,7.69731814723961,13.6571454799201,19.0171252279632
50,-3.93425309488909,3.19527086494728,9.14345197471551,14.5259137701616,19.3612828931521
47.5,-1.13924301957072,5.30900279543781,10.6433169608591,15.4651931134463,19.7743575389677
45,1.80095538988111,7.46073617478317,12.2953350256852,16.5672875618307,20.4648352069388
42.5,4.54690404728584,9.46690942809957,13.9359959298074,17.7549956650223,21.4104190522673
40,6.76901881431331,11.1207020538941,15.3376226513299,18.7433740404977,21.9056571871331
37.5,10.6348537354349,13.6022580169583,17.055018538671,20.3071160559616,22.9318510302718
35,13.5821178497277,16.2777973296507,19.3602728389442,22.4161094174157,24.6956269608709
