Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-9.64809737169566,-8.23642441702996,-6.06939961432874,-3.92936036071348,-2.58169526875443
87.5,-9.64805289012874,-8.23640355976575,-6.06939987092261,-3.92935545087417,-2.58167098691792
85,-8.98858223538068,-7.728018856345,-5.67010761095744,-3.5637608535756,-2.50085341031346
82.5,-8.71182878503777,-7.29439595583644,-5.49340428333262,-3.47956077506902,-2.53857826332908
80,-8.20546897409368,-6.8395399559168,-5.19434501995943,-3.26670571353054,-2.35513011281116
77.5,-6.97855372626094,-5.94005328537996,-4.33659167004326,-2.5570038604968,-1.67311443407148
75,-5.00247476759469,-4.10616688950558,-2.51656626547638,-0.898054103750899,0.0269313481065859
72.5,-2.90858655179025,-2.14356810521913,-0.613551480090971,0.911313608131809,1.77162240254261
70,-1.53977636008879,-0.749997927049102,0.652260671706187,2.01922143925004,2.83935635136592
67.5,-0.207786496606686,0.506711575551272,1.88269748319252,3.30049212827347,4.11143521407612
65,1.46854521967085,2.11309143811878,3.36252208304268,4.73240982098406,5.5709279861223
62.5,3.40305224879677,4.01685585289244,5.06464812891157,6.32649124328602,7.09723041024125
60,6.08621125100166,6.6088835744278,7.53037534135589,8.60603261352836,9.3439513705829
57.5,7.75720199816863,8.29590678906767,9.08758016105258,10.1157787388946,10.7631869067187
55,9.18987485441698,9.67334245070823,10.4674787529181,11.5239558003878,12.2327076002936
52.5,10.3391033642398,10.7930072093874,11.58272862343,12.6200717723788,13.3395788422594
50,11.2409201910338,11.7129468286278,12.6101798768117,13.7159402744186,14.5341268244338
47.5,11.9475928326655,12.5417122770943,13.832203989554,15.1038435252579,15.9944968105543
45,12.5791000176771,13.5218445361055,15.2156461036383,16.695535971921,17.604927326222
42.5,13.3549283614703,14.4131629929381,16.17342369866,17.6949350094685,18.708753371298
40,14.8879022992004,16.0092835664126,18.1623508720643,19.8733224437977,20.8245939616262
37.5,15.9870550192972,17.0853342447831,19.3184778530403,21.0096657075899,21.796792959213
35,15.8569079967944,17.3833658838394,20.1723754784487,22.2254191188736,22.9649274146888
32.5,17.4784337649288,18.8702211358801,21.6421325597062,23.5804917096418,24.3126216889276
30,18.8485070226364,20.1135990312901,22.8299323316322,24.7470878373572,25.4460369746733
27.5,20.8668869101395,21.7914014189148,24.2970597839058,26.0192285127706,26.7141380420608
25,22.943885177186,23.55540732672,25.6857983312426,27.1811223471836,27.8831923685578
22.5,25.4274762923082,25.9555773320972,27.4590029957898,28.9042538780839,29.4345302188273
20,26.7464824468912,27.2276538885391,28.5440808604766,30.0010734990733,30.5217243866614
17.5,27.269808778942,27.8157856294154,29.0319828626676,30.5476913789219,31.1472372751559
