Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-4.83257847121004,0.70066248180919,9.56805262627518,19.8978501297323,29.7777553525594
87.5,-4.83258710976241,0.70065455398657,9.56804977765113,19.8978497286335,29.7777461293528
85,-4.46256365662326,0.996965235999755,9.66273588780936,19.7524609762185,29.3088880122196
82.5,-3.88950427301874,1.40432960386629,9.45792183481719,19.1170079478734,28.6843139099064
80,-3.16294739668251,2.05327499878642,9.61582114422997,18.9928181974852,28.6591364998233
77.5,-2.64096594444639,2.47243515512214,9.58576629161615,18.6981182021598,28.55097455948
75,-1.84647794310231,3.12286472355156,10.0318487116094,19.076778997399,28.7931799133272
72.5,-0.875694267098735,3.92009433139167,10.61845958258,19.3887657142472,28.722531138087
70,0.572783448649053,5.29039083805533,11.8959609232795,20.6310872809102,29.6759369321596
67.5,2.32558623582503,7.00460029804026,13.5081348004719,22.1880359234533,31.1432238548997
65,3.94428490354437,8.44512215503061,14.9231331202905,23.3681295820023,32.0164596855364
62.5,5.77499075274772,10.0711510877215,16.4679250746253,24.6577768598687,32.9527595817609
60,7.37995703025517,11.5093102582347,17.7063967481302,25.5432761815705,33.6894433847913
57.5,9.20880006455493,13.2280131345029,19.2546458821037,26.7837314937499,34.8159740903541
55,10.6935472286111,14.6094332285824,20.3971447689282,27.6678873447196,35.531886400101
52.5,12.50209166668,16.330466827531,21.9829954854994,29.051469475318,36.6820552503054
50,14.2586476452078,17.9953597845087,23.341877789257,30.1784372624295,37.4865360791385
47.5,16.3552845833995,19.9978588464483,25.0388804427845,31.7200728727218,38.8015414784695
45,18.6652432307887,22.1079659265297,26.7032231667734,33.1398705819112,39.8930451298048
42.5,20.3898964912476,23.4550433750526,27.425267420195,33.4379001171698,39.667507768474
40,21.5865427706318,24.2694845009209,27.7746708169699,33.4503330828415,39.2228647106339
37.5,23.0053575844747,25.3639668031677,28.5277070202855,33.8098594575958,39.1082670226608
35,24.3266373632692,26.4229734782679,29.3528599825103,34.3985514836216,39.3368650584879
32.5,25.3486507770763,27.2364910637905,30.0024652471332,34.7575278554728,39.1331408517511
30,26.1227424077482,27.8585781088205,30.4829393040914,34.9594979981701,39.0023856291259
27.5,26.9559055196513,28.5248390068801,31.049150811024,35.2915197421975,38.9448162284925
25,27.724240234797,29.2202359692122,31.765631698182,35.921146141691,39.3223702597408
22.5,28.5396020061824,29.9829838798793,32.5821634822401,36.6843118479276,40.0782399153094
20,29.1835580739294,30.5969228781654,33.1981172372624,37.0639293582251,40.3563032501929
17.5,29.7335802345409,31.1637128246099,33.7157390074048,37.4739892169595,40.7524192070339
15,30.2852519614679,31.6535840465307,34.2401875174304,38.0773830404537,41.3413235813994
12.5,30.6422240899797,31.9845215764018,34.6419184075277,38.6426181891906,41.9418940539607
10,31.3377505059649,32.7009566102963,35.5273660387993,39.7228074931909,43.1563129193011
7.5,31.7148351888157,33.1030258504199,35.9537388951349,40.1865126054344,43.5881679825004
5,31.7209957708788,33.1806980335109,36.2796912695144,40.8076543231657,44.5332700094963
2.5,31.9982647633318,33.5411911682309,36.8635763741344,41.6584484308225,45.5980875586222
0,31.5619421161323,33.1284170595756,36.5604287325031,41.5584138132419,45.5238421782903
-2.5,31.8643984451831,33.4144889147234,36.7214070203835,41.5200787326056,45.3979456149741
-5,32.0835010383819,33.56484932961,36.7615408749707,41.36193964314,45.113575975527
-7.5,31.9633827518452,33.3734304221792,36.4578962929022,40.8788095928315,44.5082507569068
-10,31.7067942605734,33.06811437307,36.0880486831893,40.3705329769355,43.9109831250626
-12.5,31.4624449041417,32.8084584489672,35.7895715791279,40.0313685960554,43.5954226704064
-15,31.1550089995003,32.5156709311614,35.4896373852581,39.7746252665798,43.2493559150289
-17.5,30.7836553033865,32.1493580280738,35.1135516585359,39.3876756882593,42.7548907354862
-20,30.2336240662003,31.6250453442906,34.4923413807434,38.732639984858,41.8759274718866
-22.5,29.4911769374528,30.8873401801747,33.6887413641576,37.8753545076589,40.9116939982676
-25,28.6995337395905,30.1098729915513,32.9120635048866,37.0949719444232,40.1521872628049
-27.5,27.7704276340652,29.2244916435454,32.008018145714,36.1984300003438,39.3156538160968
-30,26.8626728012727,28.38490888478,31.2419922978111,35.5504878741998,38.7449805716044
-32.5,25.9185388202653,27.5066873063775,30.4481166195639,34.8558953312659,38.1184500401548
-35,24.6695395769959,26.4441808044017,29.5194797483823,34.0154675239899,37.5346082720059
-37.5,23.3751029910794,25.3283912610185,28.5339129596282,33.0146010572642,36.686446787758
-40,21.8149369394798,23.9289430700765,27.3752538507001,31.8655360702443,35.8355921868584
-42.5,20.2710572557751,22.4447077961362,26.173843835404,30.6377852468368,35.0600973345655
-45,18.5313103319031,20.7156452482993,24.727491057069,29.2512851553684,33.9453854999144
-47.5,16.6335775190495,18.9211443580813,23.4880399882717,28.447783846024,33.1372758914183
-50,14.6955958710674,16.9991992736238,22.0583123832057,28.0663724508467,31.919432180622
-52.5,13.189080421525,15.5090104128197,20.6090488077267,26.9825422914582,30.7199134996485
-55,11.7903315996057,14.1307832611892,19.3935979004137,26.187478198224,29.916037054828
-57.5,10.5200960531797,12.9168105926824,18.2552005934834,25.3464614194808,29.1792138912292
-60,9.03695839740972,11.4928067612336,16.9593105388119,24.3712487272394,28.2268422252857
-62.5,7.70031848431384,10.2105129769523,15.7492332181023,23.2946529424963,27.2028682941955
-65,6.44800662756955,9.00220880106601,14.5314066324272,22.073751175827,26.063814308102
-67.5,5.12772327832931,7.77174415425369,13.4464610292113,20.754282397803,25.1376462261852
-70,3.74775413190814,6.4624986815762,12.0388149166913,19.0104551253636,23.8968606573067
-72.5,0.660584282713478,3.10783782064476,7.77065432098856,13.9133138679858,18.838889254076
-75,-0.176411358910328,2.59941217451669,7.26122128234067,12.9566389187876,18.5646484944063
-77.5,-1.43366795116021,1.58178820872902,6.47987706496134,12.3071414995803,18.4312783408302
-80,-4.23056438930387,-0.837395920071037,4.92624749724057,11.5497575663067,18.2697579849807
-82.5,-12.5515289264477,-9.67888760945349,-4.82305105751985,1.14448072538967,6.53449645083336
