Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,12.887876885115,16.7224194331688,23.6683617395239,31.0971867710528,34.6322754351666
87.5,12.8878708247381,16.7224030462606,23.668353387251,31.0971816081816,34.6322497274405
85,13.1872619257356,16.592124626117,23.1223605910217,30.3141441245363,33.3463849475631
82.5,13.2330787342911,16.0903706844183,22.1674378324538,28.9247083406019,31.7554016415604
80,13.3006814450645,15.3907063129043,20.8599170633195,27.3137265643515,29.8706962151941
77.5,13.6137592150276,15.3049025795388,19.9448379626947,26.3317398144047,28.9943992463393
75,13.6539181644425,15.2481939415354,19.467014495631,25.9815454732505,28.2926336830071
72.5,14.0912875298688,15.7885796565896,19.3475074345225,26.2598617084477,28.4551678911348
70,14.2944223803761,16.2374119940827,19.4000394845158,26.1756110769389,28.1698593425947
67.5,14.6827109566229,16.6670171404209,19.9244665972816,26.200786249843,28.0314747009234
65,15.6694296053232,17.5389817373681,20.7326630181746,26.9801976359126,28.6392829386062
62.5,17.1072592610851,18.8680776081574,21.828986601358,27.9375452379046,29.2735889263174
60,18.3386837191539,20.1474150076929,22.9934887566916,28.9783141296177,30.3193047521748
57.5,19.5921879461323,21.3732826891808,24.1226943497594,29.9550776380954,31.3083049379105
55,20.9519089322704,22.5718453549385,25.1308197615114,30.9830592160177,32.5864033567738
52.5,22.221610379491,23.746082777863,26.6149745314203,31.9168615572154,33.7762567189585
50,23.426656038281,24.8114400892205,27.7848997871963,32.6020637118841,34.5595864418379
47.5,24.4489518660289,25.7921877154118,28.8757533190767,33.342730579686,35.5322010177433
45,25.3405251779068,26.9337108500726,29.8135550097501,34.6074939753183,36.8557264751018
42.5,26.2211954017005,27.7549338592794,30.5029015560067,35.0930437999868,37.3161623559297
40,27.1057196255976,28.6524770469253,31.1670073050302,35.4849315076321,37.5788805849232
37.5,27.9113335386525,29.4474848210548,31.993776670007,36.1118711391291,37.7078085179444
35,28.2968330711108,29.7506885175537,32.4906875822446,36.4014079939211,37.6510530051077
32.5,28.9773385399007,30.3084837959322,33.1978352349988,36.9130937725222,37.9542922381172
30,29.9078479402606,31.2292889464035,33.7310467043943,37.1813808099251,38.1141054758692
27.5,31.0988166828058,32.3664494139151,34.8511240346745,38.3306509453837,39.3697585235196
25,31.8429168144149,33.0985568073082,35.4931751940997,38.9042624105281,39.825202139157
22.5,33.2802204798773,34.5642741601387,36.6237125344537,39.9980867717913,41.246931072925
20,34.5130783939388,35.8405788982235,37.6079040616811,41.0606480945869,42.3491180676144
17.5,35.3871078906066,36.7948363536103,38.4801981207286,41.9359783441918,43.1133568682387
15,35.850535605623,37.2691098425142,38.8809988211623,42.2656243688594,43.1579545927753
12.5,36.2331149458902,37.6968982514404,39.2866935705554,42.8372343610679,43.6352114270371
10,36.4788536843066,38.0476453678422,39.8271752362322,43.4574143730379,44.5238427551987
7.5,37.0678679929158,38.6341542387082,40.5385964968646,44.3230354686636,45.4318926916023
5,37.3032477887558,38.8470118858335,40.6115403425725,44.4206642250074,45.5481213634005
2.5,37.1923697004927,38.6511670538367,40.2772084306515,44.0043633128169,44.7966904350788
0,37.3146172157456,38.7937157529223,40.5406399914121,44.4644126458475,45.1559214629252
-2.5,37.0165864378152,38.6000356171116,40.2301857423158,44.1120520185482,44.7723183603377
-5,36.9501488096783,38.4704634253099,39.9929660903306,43.7762231421482,44.4180655962001
-7.5,37.1527428054256,38.5500069394113,39.9703520541255,43.5948995229425,44.3517758269509
-10,36.7992214841883,37.8873927710351,39.2066894625892,42.367246654565,43.1604387962227
-12.5,36.3478624647779,37.3503705254826,38.6190208759527,41.5888555810252,42.5283288783156
-15,35.9696297883619,36.8050234490133,37.9749455617132,40.7630238011338,41.6609474877566
-17.5,35.4376400542222,36.3715219829648,37.6550908161349,40.2248449932785,41.3164686448639
-20,34.8371782263978,35.6957423003217,37.0484806318766,39.4439065744283,40.5660642945299
-22.5,34.4173197413647,35.157929190926,36.452378095808,38.899587338351,40.0319357718654
-25,33.7663010982117,34.4819874770827,35.8460791770543,38.261927734335,39.5203360298981
