Period,Epoch,Stage,UpperAge,LowerAge,AverageAge,GMST_05,GMST_16,GMST_50,GMST_84,GMST_95,CO2_05,CO2_16,CO2_50,CO2_84,CO2_95
Quaternary,Holocene,Holocene,0,0.0117,0.00585,12.9719647274712,13.5843459813925,13.9931819745315,14.3453519380146,14.543009664622,255.549717827739,263.203981408627,275.911765700506,289.479361521014,297.801246011895
Quaternary,Pleistocene,Upper Pleistocene,0.0117,0.129,0.07035,10.5227783619766,10.9219261708202,11.4427075570232,12.1086812441503,12.5578430944063,224.556172361709,230.871261844714,239.663497878163,248.764635321466,255.588136106725
Quaternary,Pleistocene,Chibanian,0.129,0.774,0.4515,10.6320392427106,11.0546096077391,11.7947277223884,12.7012815581115,13.2093028389652,222.586402076415,228.812210074841,239.000010589041,249.01568356058,255.716716050341
Quaternary,Pleistocene,Calabrian,0.774,1.8,1.287,11.8194771212201,12.1879060186787,12.8210404781077,13.4834372173176,14.0000495766004,234.82381830745,241.578466463698,252.630142429366,263.58798533552,271.442868601323
Quaternary,Pleistocene,Gelasian,1.8,2.58,2.19,12.9407104446859,13.3645635596086,14.2140645841823,15.661894278544,15.9510201333274,272.753275647485,282.17769416117,296.771849803241,310.765760788207,321.36018744581
Neogene,Pliocene,Piacenzian,2.58,3.6,3.09,14.4385923948389,14.8521956914665,15.6324894532157,16.7169542254587,17.8785096784604,241.437227875583,249.521242480513,263.0329990208,278.027903763509,287.902898366243
Neogene,Pliocene,Zanclean,3.6,5.33,4.465,14.969849428743,15.3307684532404,16.2660268297824,17.5667940872563,18.0195278500211,243.28174246173,263.746004255136,295.263467773131,332.281603666708,359.064243715482
Neogene,Miocene,Messinian,5.33,7.25,6.29,15.7498756831131,16.1497844965866,16.9371654477615,17.8430027795816,18.2549120670749,340.644914741234,353.001968207606,373.633639969659,393.237845992685,407.347680027985
Neogene,Miocene,Tortonian,7.25,11.63,9.44,19.1823658524228,19.4946452233663,20.6171077317341,21.5129671463332,21.9718043608294,382.722009821729,396.725360131981,419.779818712066,444.139507390483,458.734735075715
Neogene,Miocene,Serravallian,11.63,13.82,12.725,21.3154105736663,21.7413167221991,23.5980015479747,25.0042308227053,25.44228148338,499.111655550055,522.209089940564,558.83476307554,595.918016242299,622.010572941382
Neogene,Miocene,Langhian,13.82,15.99,14.905,20.7155873105054,21.6030326569347,23.7771028693439,25.8942537688825,26.7746057707245,664.941991420369,711.227856270167,778.186358609404,853.720080344573,909.542522718254
Neogene,Miocene,Burdigalian,15.99,20.45,18.22,21.3912225449915,22.2141368035046,24.0593310639449,25.4951631222899,26.3023368866387,519.665473552118,547.720102506851,593.322940110164,646.069015903355,679.64708872328
Neogene,Miocene,Aquitanian,20.45,23.04,21.745,19.7478429732851,20.4604445333682,22.0654995818862,23.5048597122414,24.8939674228983,498.612588946165,532.797073620686,584.733558781039,642.150208343347,678.734029719007
Paleogene,Oligocene,Chattian,23.04,27.29,25.165,21.694113043577,22.4731202662961,23.4350027681677,24.2710116712002,24.7668548801231,423.707814698917,460.883876321567,521.258906409274,593.682742157601,650.25696539811
Paleogene,Oligocene,Rupelian,27.29,33.9,30.595,21.0518839040473,22.292675881436,23.3955073376117,24.5576534101524,25.0862904431289,552.190555580461,579.109939469157,621.346587593496,666.217396451605,696.290966143607
Paleogene,Eocene,Priabonian,33.9,37.71,35.805,24.6514287575016,25.1618479154924,26.0771268093401,27.3258961885946,27.8910799165432,710.737675408424,748.754128423046,804.671054794976,863.660628407106,907.018272137221
Paleogene,Eocene,Bartonian,37.71,41.03,39.37,26.0968467982109,26.7255681642741,28.0262595890717,29.3668535578618,30.2544074642656,763.896454540617,809.765969156263,879.349217099382,955.808125151539,1006.98001287852
Paleogene,Eocene,Lutetian,41.03,48.07,44.55,24.5748165083121,25.3963758069788,26.9857638243254,31.4518362459588,32.6091500988539,911.684683897947,968.655803274365,1048.51803987887,1138.69343824882,1204.27258717708
Paleogene,Eocene,Ypresian,48.07,55.7,52.035,29.7321577442027,30.7706742253848,32.2821104266548,35.9150408475519,37.2694005725934,1051.84650096716,1100.90564442504,1183.10917207464,1269.18516683928,1325.79813438969
Paleogene,PETM,PETM,55.7,56,55.85,30.286689057205,31.5981340830556,33.5864799830074,36.2046399990875,39.1679902272263,1073.71124017306,1145.61046696772,1271.07629206357,1422.22326185399,1530.10778369056
Paleogene,Paleocene,Thanetian,56,59.24,57.62,24.5742502568133,24.9311422384885,25.6033526215586,27.1133684545466,28.1658593515276,811.936283604226,864.431806401133,957.573378644868,1054.25643661287,1124.3373856498
Paleogene,Paleocene,Selandian/Danian,59.24,66,62.62,25.4292645045374,26.9431336039088,28.8460776476132,30.8981083013705,31.8740198348031,558.529934723254,644.990612022502,809.611263325336,981.010909286734,1077.64212193941
Cretaceous,Upper,Maastrichtian,66,72.17,69.085,21.5668324561245,22.6881383476771,24.5068077268145,25.8989227962151,26.8057511182632,830.826983718639,873.843734470017,942.510831946618,1018.47773898499,1066.3145403989
Cretaceous,Upper,Campanian,72.17,83.65,77.91,24.3864441621944,26.1172539838898,28.1349272518328,29.8734797610509,31.0587927094666,695.662898903183,775.240770797483,971.216554432454,1238.02835466181,1492.32662867271
Cretaceous,Upper,Santonian,83.65,85.7,84.675,28.3475846022197,29.0704936890913,31.4192600767422,35.8047978501043,38.5041672225419,403.181390047055,489.819367480427,621.488718078061,791.118846069261,965.204423429641
