Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-17.14763300278,-10.1444799937368,-4.07394728778044,1.18417375885398,4.29132185649013
87.5,-17.14763723172,-10.1444789249683,-4.0739542695638,1.18417413955904,4.29131364997021
85,-17.0964163113918,-10.0436878141903,-3.72314725436142,0.848642069033761,3.75357422744187
82.5,-16.6478201272204,-9.61152733105799,-2.99461848873112,0.859543880781085,3.57277491917798
80,-16.2254496423034,-9.30277985371878,-2.56201036504015,0.889546766389749,3.31288961591592
77.5,-15.7341713414451,-8.89039287817386,-2.14028612312022,1.13394004918331,3.36342200178164
75,-15.0025819524771,-8.33097077533572,-1.64760264013584,1.53319632040995,3.69950516722085
72.5,-13.4476152664842,-6.93217828530225,-0.418505624471988,2.60946910165454,4.71655030321829
70,-11.9094182568354,-5.49591869822768,0.881100873230733,3.83883881032376,5.99014373374777
67.5,-9.969810924274,-3.82105071868507,2.39353417342471,5.19322424015375,7.21840433950501
65,-8.21856426553734,-2.27591627910603,3.68049064789188,6.36531301198828,8.30712628795661
62.5,-6.29665874805216,-0.556915361085171,5.17627943940999,7.75480004128455,9.57881417634628
60,-4.703713784525,0.861912489611679,6.35882626861335,8.81878387794641,10.5128088610528
57.5,-2.91795743029726,2.51911164187683,7.78481888788734,10.1868226260603,11.7637923440935
55,-1.06588815128315,4.20124384920635,9.16354158407341,11.4651877496686,12.9106073865566
52.5,1.05864231570141,6.22970275840787,10.9219155839249,13.1078858450665,14.4816549608514
50,3.42939273414341,8.47119728282226,12.9487006112583,15.0670223770887,16.3847707770441
47.5,5.89919814039808,10.9004253264453,15.1421872879195,17.2670394476419,18.4523442579491
45,8.22732972913955,12.8565061277193,16.7396249230527,18.8188629651589,19.8903282223824
42.5,10.5823471364023,14.8189627415154,18.5149813662258,20.4922318172446,21.4909840793056
40,12.8820735688065,16.7762446640546,20.3438851438626,22.2395326093973,23.1769061156841
37.5,15.1652951466828,18.7694045084979,22.154973202782,24.0121400982022,24.8948662177252
35,16.8004694146233,20.0492675797914,23.2082308810767,24.9338673028866,25.8082221060239
32.5,18.1677215150641,21.159371371875,24.1765717749471,25.8584711207237,26.7202763378946
30,19.2975256801071,22.1193527683054,25.1059288141288,26.7457366228159,27.6102458082225
27.5,20.1924275210248,22.8880720538352,25.8538096399589,27.446604020774,28.3112769459233
25,21.0721675106889,23.7351239358577,26.7211615032958,28.2517750734326,29.1347336896588
22.5,21.7551544627419,24.4167547028803,27.3806475539385,28.8623434900235,29.7324666858418
20,22.4557160683662,25.1176487025986,28.0560054530277,29.5117098524099,30.3754954731709
17.5,22.9520236115964,25.6021760457207,28.4648729942881,29.889447495891,30.7088502116263
15,23.2578531860983,25.8631475573401,28.7257772584011,30.1625349779161,30.9910209943003
12.5,23.5048284934012,26.2396313339647,29.3566219186956,30.9947208838748,31.9077336738573
10,23.3491928461665,26.206421667744,29.4078569387582,31.2367669628541,32.1747888119144
7.5,23.0807135096183,26.1035144312907,29.4890337234654,31.5014171101533,32.4835036638843
5,22.7834776898798,25.977657407853,29.5020439063122,31.595834618422,32.610845694804
2.5,22.1411724387778,25.5475228148049,29.2055885857269,31.514846592107,32.5704482062836
0,21.5610708883553,25.1643218653487,28.8430719940043,31.3985033262381,32.4667539380476
-2.5,22.1248601260746,25.4958076575599,29.0964542871851,31.3892919794298,32.4267813688297
-5,22.9866788058569,26.088328512537,29.4515849101356,31.5380936043207,32.5199900164287
-7.5,23.4033823818404,26.2623086581555,29.3846835386297,31.2794663274244,32.1836156426864
-10,23.66082788843,26.3089191465667,29.2219036054479,30.9453591216079,31.7762607568494
-12.5,23.6072780301648,26.1493600800029,28.982580751297,30.5963122640105,31.4012823217992
-15,23.6240483019188,26.0638635578014,28.7700424736644,30.3614527845734,31.1418493107469
-17.5,23.4829207067324,25.8645458027036,28.4793801074675,30.0301205772434,30.7997587956622
-20,23.1614473711264,25.5912707409119,28.2111958965709,29.7756410928056,30.5589678033768
-22.5,22.5872690680906,25.078587655065,27.7217309443117,29.2909455394568,30.0826356675456
-25,21.9007641037959,24.4635941784001,27.1662370881779,28.7608176937112,29.5631261552497
-27.5,21.1994687202204,23.7690872645609,26.4619363943513,28.0442242788252,28.8351212327284
-30,20.2293732572917,22.9100171992279,25.6329284183894,27.2224911260442,28.0035651513367
-32.5,19.1327428529268,21.9401776648079,24.6964628717325,26.2647171409006,27.002249491898
-35,17.7826977756042,20.9074273414943,23.7159517653288,25.3334770862848,26.0589212150504
-37.5,16.0601063992802,19.4607573110786,22.3850327947823,24.0201826891559,24.7782367407392
-40,13.8240037772739,17.5340405340086,20.6340455787081,22.336101051616,23.1714320021835
-42.5,11.6284798722223,15.4925264996442,18.8329137327655,20.5602685485697,21.4762248595515
-45,9.85624321180753,13.7083872577761,17.5086426217566,19.2338490869539,20.335319665145
-47.5,7.91822621963335,11.9172244730835,16.032650421982,17.8801474882751,19.1968109663836
-50,6.1235283244076,10.2348437496235,14.4389340152325,16.3997938974913,17.9486660220274
-52.5,4.80508936966644,8.97606308044049,13.270453432553,15.469244453353,17.1666439871213
-55,3.28416656104388,7.55211458247998,11.9862486041694,14.4334847861733,16.276211417443
-57.5,2.08079124966034,6.39160004812119,10.8829590350025,13.5082216970566,15.4697689082278
-60,0.312243090389367,4.65643687661863,9.20450396906966,11.8937606887968,13.9367285201242
-62.5,-0.122438640683363,4.11464803080177,8.54986985351902,11.3902734748797,13.4423838214078
-65,-0.593335020636121,3.62541831690379,8.09828492378023,11.1951080415823,13.4379092080679
-67.5,-1.17211819316998,3.06450290485379,7.58056956273121,10.8884310528364,13.1819475786487
-70,-1.71762544335425,2.50961113683504,7.13838458632819,10.588132539848,12.9720422178398
-72.5,-1.73135844501757,2.60323445249725,7.37885566902535,11.2465382532705,13.759199972253
-75,-2.25652978008565,2.25944999117788,7.27815644556414,11.2773405204109,13.937163587595
-77.5,-2.78249347268845,1.8576948315802,7.12514954050568,11.2393806232011,13.9061455718256
-80,-3.07944056270339,1.72125986069578,7.19539029079299,11.4251814949009,14.2019654270482
-82.5,-3.59129450873443,1.58390155167744,7.41072576215488,11.4288899404496,14.4074221929117
-85,-4.6023067136514,1.17946183440912,7.51455324953439,11.2244716108715,14.4968919475601
