Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-2.10979038899785,-0.174065498968912,3.22711634963969,6.32459775775364,8.10607450905657
87.5,-2.10972148496444,-0.1740594170018,3.22711139959477,6.32460835845714,8.10608028080326
85,-1.92102949770721,-0.117942755418838,3.23810487577255,6.01976751622924,7.72679662387407
82.5,-1.88999689761717,-0.207468962292292,3.05881778349917,5.75102630950944,7.2829971573576
80,-1.75010281475389,-0.192353184406555,2.93814167487208,5.41727183341065,6.73180209697852
77.5,-1.24970996638628,0.371554755218017,3.36136598764422,5.68645077300539,6.75540460010405
75,-0.261075140776844,1.39473965844351,4.45753803817908,6.72774555427343,7.79224017644998
72.5,0.958687129087073,2.34550266082087,5.46458727220472,7.76419632281385,8.87137871946243
70,2.00730215175294,3.26002720873667,6.23659378339313,8.30291350408713,9.40523855847356
67.5,3.34391254460991,4.5705000601975,7.53941723749265,9.59243564527285,10.817316680472
65,4.94671704502273,6.11924725815535,8.83249022343214,10.843499284946,12.1445383061628
62.5,6.71017365413349,7.79961883625754,10.3997703268302,12.2874195484673,13.5462629586288
60,9.07884895564929,9.9939089610546,12.2423216729954,14.0442661411056,15.2392798388333
57.5,11.0810822295103,12.0046348257469,13.94196019316,15.6267790962521,16.6624492518805
55,12.8490397488935,13.8233679694185,15.5386107593864,17.277775853391,18.2568628076349
52.5,14.3337560178816,15.3253112247032,16.8522987117777,18.5018215778518,19.3604549132547
50,15.6932040681099,16.6015745147371,17.9995959607092,19.476444563749,20.3037254135788
47.5,17.2925914797712,18.0431037222572,19.5198017514678,20.7727544784078,21.5555301515463
45,18.3332341450164,18.9906170040255,20.5509980826746,21.8576686433784,22.9110092411094
42.5,18.6701393925654,19.2850674089329,20.9377159678101,22.4921399632154,23.4632891587884
40,18.0676351521447,19.1886887013811,21.2467630940984,23.3742876898318,24.5769048304433
37.5,19.2311996514573,20.0215358240573,22.6087723685516,25.1636043352801,26.1341298275044
35,19.5519116771282,20.5000164197241,23.2491687150975,26.0790816810977,27.2174709393799
32.5,20.8333628980314,21.6818741409599,24.5461567637754,27.5942542125195,28.5800603775464
30,21.9129221898433,22.8539045571257,25.7258680732973,29.061756722572,29.8406801223224
27.5,22.0842941644003,23.1276953041838,25.824202059905,28.8749754773089,29.7018820004065
25,23.4741007020397,24.5501991118071,26.922341099557,29.7927637464022,30.6593918416062
22.5,24.7469994069884,26.1012506934975,28.4441954150639,31.010944745827,31.823418362513
20,25.911467395845,27.6131938962737,29.8450090858431,32.2025710318922,33.1959255844566
17.5,27.9829496366607,29.2513468274492,31.4407155110321,33.7036857856319,34.5091832609949
15,28.9020361049398,30.1658083736489,32.4012389744631,34.5296928364939,35.5464494221302
12.5,29.0398168603374,30.348285004874,32.5647703279202,34.7152410891993,35.6395222472943
10,29.2500002642565,30.592479694452,32.8898680942065,35.117578222002,36.0372573698532
