Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-17.9073534512484,-10.4053223084291,6.15909323014916,14.092067138599,18.8627712912851
87.5,-17.9073416765397,-10.4053073045348,6.15909534777283,14.0920754614291,18.8627729425018
85,-18.3325793514647,-11.2160031230629,6.06719955478067,13.5205275854854,18.2975813058675
82.5,-18.0595964560357,-11.3088265138024,5.6715486054034,13.1168985241762,17.8607138015445
80,-16.4608566417384,-10.3586360378751,5.2907269095974,12.4120341773749,16.8115112331706
77.5,-15.5581641209329,-9.82931770287776,5.14929429520359,11.972106665633,16.1409326230901
75,-13.9176747710697,-8.72210376384496,5.60766924386205,11.9836585668499,16.0262610123569
72.5,-12.4550540160779,-7.56734062727342,6.04931032735563,12.1054193672675,15.8477441657251
70,-10.8848826738368,-6.09932230632504,6.59630494469341,12.284284530838,15.7834752102727
67.5,-9.08004356275639,-4.51599866860407,7.14102911857569,12.5754721776708,15.8456283848456
65,-6.49769228823619,-2.39670436947531,7.92973985684401,13.1769477490528,16.3236906721403
62.5,-4.08719631903241,-0.517589768680787,8.7543999950738,13.9490164292891,16.9701385650353
60,-1.72492465670035,1.72805214823115,9.82204657199276,14.9905522062764,17.8086363944517
57.5,1.25734392781698,4.30853301091617,11.117720890092,16.0152539396618,18.9248546964551
55,3.32872554941514,6.48949778281988,12.3300550658956,17.2247009735511,19.7073509256411
52.5,6.07661111950523,9.09734189715464,13.8847313420904,18.4194825143578,21.3478059945085
50,8.07094821739718,10.9886360866093,15.1621574857022,19.5653405068528,22.665787711372
47.5,10.30854924639,12.8558811502018,16.5023132265223,20.8521057497861,24.0485106279921
45,12.3342040253858,14.8609318679136,18.3434701212507,22.6473266922379,25.4510661793631
42.5,14.6456707306759,16.9436915628062,20.2108365265586,24.5859870432438,27.2944751088226
40,16.3035677780552,18.3497458865933,21.7708797671721,26.1054960520319,28.7894701868951
37.5,18.2346550814614,20.0867967165805,23.4383582307707,27.274075277638,30.004403562629
35,19.8230105756577,21.5327853849489,24.9619230731738,28.5961108608991,31.0630753756372
32.5,21.0933766855807,22.8370773696373,26.2391265537576,29.9283543036703,32.2721833889677
30,22.2685045892108,24.0490430745115,27.3919693226665,30.9367188029124,33.2642974681951
27.5,23.1903956243359,25.0498424537139,28.3853865354494,31.7929732859039,33.8816077417255
25,24.0279040899783,25.9319528325856,29.1018911803256,32.3700124391869,34.1704766424239
22.5,25.0081530902818,26.7582724371819,29.7161801970905,32.8723502989969,34.5843853965823
20,25.8702682624556,27.3977586203365,30.1641852223309,33.2641083036102,34.9577418894981
17.5,26.4798660360542,28.0475660926596,30.8080801007798,33.7866225921426,35.5288197078712
15,26.780117748957,28.4416499079837,31.2238501159401,34.0540260571622,35.8043276063637
12.5,26.9224350366706,28.5571145621378,31.3062759503069,34.2557097534199,36.099819333817
10,26.7315258580218,28.5353408938623,31.3656271390137,34.3471765736249,36.1693446238681
7.5,26.8872897701913,29.0034923668056,31.7999259522233,34.5544909431901,36.4642238487398
5,26.690059795126,28.5101397895874,31.3480264436354,34.423700735254,36.5278657375999
2.5,26.2959362629757,28.3373418434642,31.1796907661443,34.3435544448771,36.5236613428969
0,25.7098786690362,28.1869371407206,31.1851081352843,34.4546361503085,36.7188463801604
-2.5,26.2260312158334,28.7607363505304,31.8106909779076,34.845254884709,36.9416233939154
-5,26.7491120829319,29.0463411549284,31.8793090054802,34.9784529854363,37.0582978801813
-7.5,26.9078429852461,29.2367911023573,31.9610948979494,34.9132893740478,36.6947335364851
-10,26.7959701802633,28.8312628117661,31.4761561162671,34.4729434721138,36.164498531893
-12.5,26.8478940039466,28.5534214663595,30.9702436565321,34.1775398628208,35.9350748336547
-15,26.8407315898281,28.5213980302708,30.8691152992641,33.9315853112297,35.5529062871855
-17.5,26.8620000900732,28.4840336434641,30.7801776625369,33.7160912726135,35.3054348297174
-20,26.7411428003244,28.2981660940024,30.5463042514578,33.2921982966514,35.0364136043633
-22.5,26.392573268233,27.9615385024461,30.1315326224587,32.7536889771266,34.6511449705662
-25,25.7863660163934,27.334341496426,29.4708901972605,32.0716025707805,34.0934724141261
-27.5,25.0465221575116,26.6232234050109,28.7093542565872,31.2810636429594,33.4117678774644
-30,24.1968910615979,25.6616775712791,27.8311924047319,30.4606724230416,32.6350662132579
-32.5,23.3467242948859,24.8311096234668,27.1277330126349,29.7802678784312,32.0211787984531
-35,21.9486725291576,23.6203464705036,26.0957036285215,28.9288030271006,31.2732068295811
-37.5,20.7824308969115,22.5198049323516,25.2969611929238,28.2864670164492,30.6649795104257
-40,19.1351889060134,21.0941368129999,24.2971241936145,27.5416870297051,29.923752561508
-42.5,17.0626681380176,19.3414329769521,23.2226306802072,26.7123306674382,29.1392883659263
-45,14.4107628273356,16.9519570753939,21.8592821773508,25.8023365923101,28.3082499966576
-47.5,11.7945223221187,14.5220284261423,20.3143377663742,24.6677540586426,27.2572907392359
-50,9.04287312066616,12.1475577824301,18.723011063136,23.6992426844167,26.361508276377
-52.5,6.70070595940608,10.0092403141427,17.0556006996907,22.3952803707517,25.3751922481484
-55,4.02274462949432,7.52709438150794,15.0837102270741,20.8297437987992,24.1014167514711
-57.5,1.76553821052863,5.49178120178293,13.4950654609853,19.6347892203295,23.2471514925
-60,-0.487717040470138,3.33382569354093,11.7635627951581,18.3278021106655,21.9429176055661
-62.5,-2.27619018875489,1.64072432867246,10.5535535403382,17.4842893106945,21.0601831117914
-65,-4.0253526295353,0.0753383354751759,9.22082789957392,16.3010505864212,20.24654174399
-67.5,-5.38945031536295,-1.1585983954017,8.32547289075105,15.4362935270328,19.5177252000508
-70,-6.98595479365532,-2.78061896657742,7.23766164165884,14.2597406521278,18.45515419635
-72.5,-8.62233423925058,-4.34896318661083,6.35129644586625,13.2763801638022,17.6881378078849
-75,-10.5604642533053,-6.26279097234696,5.36781484810625,12.5328585528504,16.8966258923301
-77.5,-12.344496933935,-8.32992684447753,4.91790793744191,12.3884399120204,17.0858362768194
-80,-14.5623621960376,-10.1737836788135,3.64373744705277,11.057028099299,15.5364823604875
-82.5,-17.256523576886,-10.5390227025597,5.48961378662287,15.3276112570442,21.4539046106836
-85,-20.8576637453801,-11.1300039246883,5.47557338832701,14.9740833858511,20.191474052812
-87.5,-23.3402079074007,-12.1237484766205,5.17576610043336,14.6044092064179,19.8742329839229
-90,-23.3402293800966,-12.1237668582365,5.17573895126046,14.6043973502347,19.8742209491552
