Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,11.3318391252245,15.2548779458236,23.4269366378168,33.412140392041,35.4187061574352
87.5,11.3318394261784,15.2548723496787,23.4270131579415,33.4121445689354,35.4187175393803
85,11.2577554690458,15.6582694208336,22.8632810397723,31.5894862658842,33.6122992980813
82.5,9.64789531065511,14.8842578658117,22.0456108751965,29.7321393123397,32.230903959894
80,9.35777922708292,14.0007657774912,20.3478578184945,27.9003985099455,30.1225402718555
77.5,9.86224777435429,13.8000591902234,19.7518242713305,27.3682509568457,29.8917734107067
75,8.72620310787261,13.5563716580992,19.5017764671879,26.3148192399955,29.488272553006
72.5,10.187463649776,13.9423145466643,19.6169993848077,26.929306058432,29.6240464656813
70,10.6152466040052,14.5369469022355,20.0402780391776,26.7614362694173,29.7225952853011
67.5,11.7675027179908,15.77932126343,21.1320628389297,27.617764510132,30.667737286815
65,12.6937851176157,16.6166576616961,21.7282929476816,27.8583937931623,31.2492313994751
62.5,14.2493039227136,18.0554017467931,22.9101002301828,28.9052201505759,32.131356856445
60,15.7063628307724,19.3599150591626,24.1520769538382,30.2988145239473,33.3697379011586
57.5,17.235675896015,20.8551611691133,25.6331557443533,31.5459910377342,34.6478826473253
55,18.418989195904,22.2238353760111,27.0177119045012,32.4809666355141,35.9387758849097
52.5,20.1367998577689,23.5757619248916,28.3329862921413,33.7380348337242,36.8676544096804
50,21.3484464528756,24.7965385784896,29.7470019915586,34.5878520278542,37.7466875378106
47.5,23.6206944246587,26.6823240170059,31.3687404218243,36.6774336780664,39.4234902689645
45,25.1453847986219,27.9903989634718,32.3902646933516,37.9397644880375,40.394833993339
42.5,26.1922845998861,28.7501979893531,32.8373004530544,38.2606674892763,40.3912131129985
40,27.3514137761122,30.0374834018074,33.8808208402469,39.5957058941234,41.1854366047486
37.5,28.8843298773414,31.2410064269009,34.9949834577255,40.5121060790844,42.1220522932375
35,29.7544622617582,31.954866517609,35.3025440552722,40.3284032054692,41.654869169072
32.5,30.4578266587892,32.3974336137278,35.4926651157407,40.111510351168,41.2547173704414
30,31.1557269878579,32.951788410924,35.9359084769339,40.4327830941531,41.6319394804276
27.5,31.4408790276309,32.9842206215926,35.7235704691414,39.8264864183269,40.8663750363707
25,31.7551271782173,33.2217495043645,35.7973632721849,39.5966410377992,40.5288430617722
22.5,32.1524404782014,33.4749360711736,35.8852921918845,39.6319562762332,40.3336508496499
20,32.7264276503449,34.0287777743615,36.4081569590648,40.0666110999249,40.8192823787992
17.5,33.2416567282554,34.7281288305394,37.2602272501167,40.7170791627089,41.8896039589332
15,33.6323778594048,35.4728697335164,38.1306423717203,41.6882573894599,43.0088439731393
12.5,34.4808134598843,36.3246453670414,39.2660500139682,42.6217868636862,44.5803716511471
10,35.3270304112611,36.7137390745698,39.6354750913003,43.1295091894601,44.946990809468
7.5,35.5329204827053,37.2854163661414,40.3588149211385,43.751858879006,45.9359302375565
5,35.5020543766563,37.5300831476793,40.8108492386166,44.3826328114124,46.7244173376591
2.5,35.836092536221,37.5262908765844,41.0147047824853,45.0748052911166,47.3200030402423
0,35.8219713862553,37.4850755094649,41.2987537759556,45.6756170380274,47.8841741091077
-2.5,35.9995215920126,37.792908054694,41.4268706598584,45.5397427816994,47.9041269972611
-5,36.6218598919017,38.2036905604766,41.5842036772203,45.9957123412342,47.803956600345
-7.5,36.4393471508285,37.7900585651225,41.1858497679921,45.1698823323286,46.864378230623
-10,36.0665824154616,37.5031593677048,40.6641538804242,44.7978062547812,46.1628234674778
-12.5,35.8207697112404,37.315580823287,40.4552973094855,44.6300353147523,45.9939535726663
-15,35.8042168573672,37.3637438160837,40.5070519664749,45.054980975448,46.1763211952143
-17.5,35.5882355515101,37.1522085087514,40.3655764223983,44.972684807474,46.1126399241314
-20,35.1381352563823,36.7890939086081,39.9242038944671,44.5706220649969,45.6623054552647
-22.5,34.4511815484944,36.3126730993996,39.2659628641281,44.0146282774804,45.0464612258908
-25,33.5611887539327,35.4289200006741,38.306822808554,43.0998987531671,44.0505729190561
-27.5,32.6058853069143,34.433774470947,37.3275528661474,42.3000783679105,43.1661792689884
