Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,15.1112370876054,18.8045292805996,24.1062317796359,34.7088128979722,36.7535128508139
87.5,15.1112717485521,18.8045263639002,24.1063215027589,34.7088410074814,36.7535225577218
85,14.8395655983703,18.6061402322478,23.5480575238057,34.182072638811,36.1204047657725
82.5,14.6906701877707,18.3436467136742,23.1270997798098,33.4433644617598,35.3385153540826
80,14.0379107670669,16.6685519278354,22.0500611354824,32.4106532563475,34.6566095850299
77.5,12.7111001974173,15.030503906479,20.1612568310211,30.3052813738917,32.7794914682752
75,12.3061526887943,14.7231428697482,19.3626280566219,29.4140104923541,31.8504173870648
72.5,11.49384058866,14.327134130491,19.0358397564533,29.0336148063877,31.2879460359591
70,11.1833171393176,14.587288007422,19.2356807441109,29.2246121470462,31.0891650490876
67.5,11.4639910263832,15.2420832967267,20.1705365077763,29.3326853964167,30.9838434330998
65,12.432910041502,16.2084797890359,21.0656811186101,30.0187838462185,31.7031786617187
62.5,13.901032090765,17.3766136177532,21.7348595460198,30.3451634174864,32.1584075912522
60,15.619975906166,18.3026314350328,22.3500410123102,30.6374378643951,32.6563418638746
57.5,17.9312969198197,19.4472452943349,23.3514165210503,31.2267643929888,33.3793911733114
55,19.6427562763874,21.1641947775785,24.5034625496703,32.0534529586324,34.3033879239804
52.5,21.3011101208149,22.5947178875223,25.4862650536876,32.7870861702316,34.9286210328921
50,22.631736865002,23.806239937342,26.3792256589669,33.4041219066545,35.3370116454325
47.5,23.7622497669719,24.9279561627054,27.8545907100477,34.4211366950372,36.2890714613248
45,25.1289025010374,26.1925190746112,29.0443347836589,35.4251424013106,37.2244394083329
42.5,26.9296940228158,27.7374877328991,29.9580892259681,36.1998545809548,38.4523412995426
40,27.7870282164038,28.5945926006747,30.4998893387645,36.4468057775225,38.8593808545217
37.5,28.5456434290226,29.3487817709962,31.955515196869,37.3203192822683,39.2822450789478
35,29.8010605398869,30.5449923117423,33.2314659190908,38.0371014513465,40.0032742760693
32.5,30.4825238545749,31.1845841629717,33.7007760078155,38.0453631265567,39.9916634264511
30,31.0537778267865,31.6994310442807,34.2302978743654,38.427286210989,40.3541897714072
27.5,31.7334188409556,32.3633213290935,34.8827569658553,39.0238795192027,40.9057989049906
25,32.3038173331936,32.8609460585199,35.4152450707685,39.5423625796712,41.4235152377127
22.5,32.8479768614913,33.3360991444044,36.0115744952887,40.2127406592334,42.1398748073924
20,32.9691831721751,33.8071562921485,36.3643408143452,40.7655043852584,43.2420632048974
17.5,33.3077494299767,34.5296057373323,36.4467590722755,41.3664113849642,44.141578051214
15,35.0249781739508,35.5851555478569,37.666337093106,42.3102302306086,44.9805744879436
12.5,35.371201671476,35.9815954779831,38.3364553012215,43.0269375858342,45.6666918248961
10,35.891681072589,36.5221761483349,39.0518098109519,44.1078164209099,46.7848542460938
7.5,36.1938923613585,36.8414806539825,39.8425286696159,44.7833327174151,47.0826961007298
5,36.3884850655697,37.0806694565042,40.0996168777743,45.134169350128,47.710651827126
2.5,36.2843745164461,37.0247046141473,40.1123887630385,45.2766451728952,47.9989557545601
0,35.9348322434558,36.5798186546217,40.0207534330794,45.5408978124218,48.0381280927018
-2.5,36.6686736879328,37.408379948259,40.6149490567198,45.9768050523341,48.537811260683
-5,36.9417563293658,37.6518758385458,40.9173171756915,46.0792729043765,48.4948979214432
-7.5,36.4911709895374,37.182024280257,40.3649925397565,45.1481918966386,47.6212368691566
-10,36.4086981933395,37.1365985094173,39.9880206491495,44.8161078614072,47.5962792780405
-12.5,36.1217505861628,36.8331718400883,39.6822524693792,44.4354289991413,47.1385886920572
