Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-0.674073167866055,2.06993013073103,12.5559476401524,19.2212572528084,22.8451536218511
87.5,-0.67408303947981,2.06992581091376,12.5559522586329,19.221259634813,22.8451557734542
85,-0.0799365825953012,2.77053164605749,12.8981532058484,19.6219704082446,23.2350823964509
82.5,1.10653701808345,3.93434246708848,13.4101943790626,20.2134979207939,24.0389919758384
80,2.59714168799222,5.36494338738713,13.8124000291177,20.7628092702228,24.6746021083325
77.5,4.71095602730181,7.22321343547329,13.8479694815259,20.9540132098381,25.1333971434802
75,7.07230634922189,9.04422378303511,14.3458777675229,21.2663454739299,25.6528390945287
72.5,8.69808022371238,11.0111592739295,15.63108935181,21.6848382487316,26.6749990510417
70,9.89409018002955,12.6076888333561,17.1635346749768,22.280349739837,27.6024749304208
67.5,10.5955410163613,14.0550481518797,18.5912531441824,23.031836411512,28.4271091548874
65,11.3512723424801,15.1507082419162,19.8405855424152,24.6575171915315,29.1442789286628
62.5,12.1530036282336,15.9596379853871,20.9069020715961,25.7149050561143,30.2271717426161
60,12.9096480883577,16.5633936756095,21.6984320120624,26.4888631375775,31.4543003820224
57.5,13.7016815555417,16.8450666622783,22.3747956068839,26.9919227458853,31.3584590129513
55,14.3522398938857,17.269705892965,22.8052846055868,27.2629352368842,30.9806400111806
52.5,15.148811753014,17.7961058855663,23.114521983456,27.7953907122959,30.118837689663
50,15.5163335350297,18.4729116019272,23.254793151229,28.1587924447433,29.8422590013072
47.5,16.323720197588,19.1756237400324,23.7259375169762,28.7661791730591,30.2968997910347
45,17.3464067681204,20.0670787289819,24.2558570240602,28.9673009889195,30.9370851850941
42.5,18.4346668837482,20.8392778854519,24.9701731187335,29.3356573150039,31.8437253216081
40,19.6718753890563,21.5710175355273,25.7275206452039,30.0016750907426,32.9491112144828
37.5,21.0175510067784,22.9631318921081,26.8616482730014,30.8521251563889,33.9211487591353
35,22.5391513117702,24.3936423055115,28.0267918883374,31.5032818253984,34.2864147789869
32.5,24.1396099263915,25.8631022231768,29.2099644423981,32.7548589031422,35.8251812379461
30,25.320248051323,26.8404879009792,29.9675272888638,33.3160388705561,35.9068542089058
27.5,26.6224955346119,28.0128337401762,30.8829025292446,34.1650226626783,36.5914612398851
25,27.7595112547607,29.2409539157305,31.7637256097531,35.0755997536724,37.3815945911786
22.5,28.7916710037769,30.4322984754508,32.5787668868742,35.6542826588831,37.8750559006587
20,29.7762871785353,31.7136021821192,33.5937258676578,36.615988537324,38.838926448734
