Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-9.05575084112453,-5.44528758990939,1.48442065347976,10.2310874178371,16.5375205323439
87.5,-9.05575422704737,-5.44529314829756,1.48441748227531,10.2310695769002,16.5375203382196
85,-8.37584875696103,-4.80889352454213,1.90501045079744,10.4736660469385,16.5670466554765
82.5,-7.5102053636278,-3.96210712322955,2.56396990635484,10.9033815889126,16.6702330438514
80,-6.55224924246049,-3.02593422688767,3.42042214707996,11.3840392270963,16.8231351962861
77.5,-5.38816413259639,-1.91029159824404,4.35866704785414,11.7126377733851,16.908247479248
75,-4.11921830878982,-0.72585214253252,5.3679113518934,12.1733540517331,17.0591246523528
72.5,-2.67323086632821,0.626252410593624,6.49364139560972,12.7380519390713,17.3322838476313
70,-1.11019599789417,2.06597642590455,7.58921613390579,13.392037975434,17.706273752252
67.5,0.460188067442539,3.44759220602806,8.61667379850905,14.0262906063905,18.1082395327399
65,1.90822742651404,4.63175942217108,9.39679815634448,14.4973490524451,18.2468642071895
62.5,3.2918632419463,5.72815690759729,10.0760201517643,14.8235320091416,18.1936721768812
60,4.68848560275407,6.86883563412622,10.7808425310896,15.1868992243491,18.23911199514
57.5,6.02841235288483,7.98635964504963,11.5372347248821,15.5980921559419,18.3467846762749
55,7.47408333873102,9.2557671383632,12.5319652608366,16.2911192136514,18.840457295752
52.5,8.98215662830642,10.6284325144845,13.6610362203516,17.1324750420485,19.4654318449967
50,10.6436456929376,12.1419726028275,14.9535769384969,18.0796230368243,20.1876956601211
47.5,11.8906824681455,13.23163505591,15.8412810490817,18.6885656411716,20.617845691835
45,13.2313527237218,14.6019758698501,17.1167837312004,19.844680420378,21.7634936967976
42.5,15.0950508962049,16.3601711644892,18.6963726572225,21.1762410047292,22.9292542502749
40,16.9305396212244,18.0629177664145,20.2622583323711,22.4958944188956,24.0535245873549
37.5,18.7522584401073,19.7708353861805,21.8605192641861,23.9233736758467,25.35226562928
35,20.6039283580471,21.614611757764,23.5153867435136,25.4160955424634,26.7132877414368
32.5,22.1980229931829,23.1853357091691,24.9270997755275,26.6761035424466,27.8087128624492
30,23.4908409425696,24.4371383773726,25.9860906417117,27.5812126709391,28.5880681187277
27.5,24.6724255252536,25.6374250449269,27.0320854540993,28.5414988258617,29.4682109981486
25,25.7849553185691,26.7188116285576,28.0247756139763,29.4666952933999,30.3239768951515
22.5,26.7385710326371,27.6509344201811,28.8957767494854,30.2891380622333,31.0731262553193
20,27.587620030407,28.5269557846451,29.7479832494524,31.1418142948679,31.8904164251789
17.5,28.1301784469703,29.1002184774251,30.3190941754619,31.7010024094897,32.478159626256
15,28.4131124536416,29.3462146799213,30.6157412468799,32.0637605910667,32.8812466060944
12.5,28.8076345263042,29.830228603471,31.1126545058163,32.6540063367551,33.4929713175651
10,28.8700097593998,29.8808928379009,31.1828842463472,32.7441584395116,33.5844022089246
7.5,29.2674191571627,30.3387742309035,31.6554179348334,33.3171719616306,34.1652923624208
5,29.1048110172552,30.1608883779373,31.4618615179733,33.1185673971409,33.9435786395172
2.5,28.5987557024665,29.6739216650749,31.0003377956369,32.6473811949682,33.530197790129
0,28.2858773293764,29.3427960908509,30.6968247900229,32.3810115842888,33.2821845417162
-2.5,28.6275552312478,29.6877600723498,31.042282207843,32.6922725502729,33.6128954304642
-5,29.1881765820251,30.2555206763797,31.5985616712319,33.3197769224181,34.1810785776497
-7.5,29.5043253223853,30.5880826010263,31.9473204772608,33.6859947102053,34.5753830786327
-10,29.4731020541178,30.5512501170086,31.9036300980166,33.6518866799646,34.5417379577678
-12.5,29.2489336417846,30.350052702113,31.7152450714805,33.4896784511294,34.3750971569927
-15,29.1889491689244,30.3059844438543,31.6981507602575,33.4884626692867,34.4104664088445
-17.5,29.0204812896927,30.1712545655527,31.5704113378768,33.3849689899637,34.330551280583
-20,28.6014277554622,29.7847790263349,31.1837736285176,33.0133322612262,34.110385282493
-22.5,27.6959302929432,28.8214443236132,30.2362523084816,31.9008626037558,32.9049107836644
-25,27.0317280124987,28.2218243074179,29.6669003068319,31.4354109361406,32.5534028828001
-27.5,26.3364231920197,27.6001068786701,29.0797283028184,31.0090167324571,32.2716207610752
-30,25.3297736214371,26.6511374730345,28.1904909549091,30.1972413230187,31.52996814119
-32.5,24.3932116239356,25.7633108404898,27.4150805097701,29.5549794455805,30.9464509570768
-35,23.0821095779413,24.5003797815325,26.3094922911569,28.4654493362652,29.7904823553589
-37.5,21.5481043957705,23.0655346921781,25.1702561305265,27.5225422340767,29.105814244964
-40,20.3857280523062,22.1207574520148,24.4647156566406,27.177565897085,28.8826638064769
-42.5,19.3576216193129,21.2028175542473,23.8430406013837,26.7861921447128,28.6430211858896
-45,17.6860184521617,19.6423527143637,22.5415236763712,25.6421163822354,27.7384618399903
-47.5,16.2055526985125,18.3670037525393,21.5083937878475,24.9320751215204,27.1815855815781
-50,14.5214992251167,16.8329830904729,20.263895826937,23.9546648236897,26.3854766959165
-52.5,12.7482925437395,15.204713225,18.8020873331321,22.7143651257778,25.2408243316593
-55,10.4896001404155,12.9464685187326,16.7260519672813,20.6799997985719,23.2386752841342
-57.5,8.50560313778438,11.0572384806356,14.9184835918209,18.9354086504355,21.5557210013634
-60,6.60902748405765,9.24363902157699,13.1647774048657,17.2376834191172,19.9329008815902
-62.5,4.63595208214216,7.35517581262088,11.4058506102098,15.5987183202391,18.3729662581539
-65,2.67155470414364,5.52737675072686,9.80988418157603,14.235506267832,17.0779249543388
-67.5,1.09460254973843,4.16980115106171,8.68012047284435,13.5257140986426,16.4725242110817
