Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-23.4906634071787,-21.953656357793,-18.0275180627934,-13.1437815088538,-9.99403909842995
87.5,-23.4906722226454,-21.9536640120496,-18.0275271173262,-13.1437962730969,-9.99405662605185
85,-22.0335413766309,-20.7230235940166,-17.1226882438618,-12.7072537515408,-9.77533347760868
82.5,-20.6841712288897,-19.5108771075048,-16.4547843204699,-12.5617044165409,-9.99936777272495
80,-19.746576450859,-18.6598919994739,-15.9697174427896,-12.5683229477021,-10.3021181250705
77.5,-18.8844989605896,-17.8930063553538,-15.6142696479972,-12.7352691123328,-10.6912671313455
75,-17.4041929913726,-16.5935816079343,-14.4758926281478,-11.8984060792804,-10.4469880552443
72.5,-14.9168660439505,-14.1153782924524,-12.1188082752088,-9.82621695740322,-8.30781375241653
70,-13.254102192086,-12.3655833345853,-10.426614786963,-8.20633330008467,-6.61660255602082
67.5,-11.4038625024849,-10.5555233537799,-8.76977458793848,-6.65146774994996,-5.2589951487562
65,-8.97429278132479,-8.20046636227536,-6.61308846040023,-4.56448412051199,-3.27533647565109
62.5,-6.64408381511826,-5.87217677339097,-4.31417683352861,-2.47249767642339,-0.984299762970469
60,-3.79704670253118,-3.14889345666065,-1.71758618462334,-0.158360438629003,1.05505429440679
57.5,-1.50766377199915,-0.914081632422059,0.293392150363229,1.702529207027,2.80467669787384
55,0.415093589074018,1.05371071785605,2.24892585658766,3.76397521670945,5.1733875466533
52.5,2.03552833567115,2.67397594749643,3.80176416469888,5.44643632220486,7.00257982629654
50,3.46532068662118,4.08104090788614,5.18482503563853,6.86347212002973,8.31669446166451
47.5,5.23274573880251,5.79174216732132,6.83855989436298,8.44917209565313,9.94769698218117
45,7.37692518025186,7.84176343698946,8.78031849143544,10.209816429103,11.6829903995162
42.5,9.05997887893978,9.55954800113026,10.7523594183812,12.3028694309363,13.740791840104
40,11.1439295426414,11.7301392420791,13.0762747228734,14.5372892143546,15.776362384525
37.5,12.7802468215335,13.3691102073463,14.5938197628614,15.9365231971682,17.199917108797
35,13.9673188407802,14.5750346070072,15.7637659045176,17.0073137028081,18.2024868266544
32.5,15.7195915122623,16.3825780033552,17.7164858487876,19.0251000915519,19.709343666171
30,17.1964720268529,17.9489747290553,19.4195055868737,20.7293429355245,21.2639874276641
27.5,18.79416813226,19.5495008053471,21.2553055759958,22.4547270819333,23.3397712474155
25,20.660807456712,21.236276219019,22.9745180185566,24.0304539421695,24.4537231810298
22.5,22.0246199778111,22.5515602122772,24.22857626905,25.4641679919032,25.7878622153816
20,22.7496078086653,23.2784234086735,24.899430827832,26.4732773011761,26.9362473003098
17.5,23.4329075358213,23.9569704364636,25.5250426284274,27.272525004156,28.0959670040929
15,23.8663525194685,24.4483869424472,25.916418353622,27.8382726636403,28.8622585780567
12.5,24.2693204302922,24.9408801002231,26.4736881400378,28.3924876711856,29.4796821855439
10,24.553301389578,25.2225208314047,26.7197169846879,28.7663085841673,29.909476537025
7.5,24.5992767911837,25.271426922972,26.7110782943746,28.8001355838126,30.0474350437133
5,24.7898665707683,25.3344510913482,26.718534506513,28.8082117733479,30.0208613746652
2.5,24.7137757289882,25.2426070397778,26.6074918589507,28.688281941813,29.953049422096
0,24.5920957018622,25.1482479364752,26.5330733783687,28.7426693471987,30.1418760363568
-2.5,24.7593821895523,25.2559772539671,26.6185922578785,28.8131737394733,30.1999204344296
-5,24.9511378711628,25.4688038812132,26.8391102236552,28.8637600360527,30.1996853068029
-7.5,24.7031255254705,25.2090239472897,26.4975046668509,28.4922294782139,29.733971740269
-10,24.234195634923,24.823503446987,26.1330094144564,27.9559499414645,28.8703219938103
-12.5,23.7074562545439,24.2734008415455,25.44051152225,27.2090545110882,28.090759336582
-15,23.1682968798646,23.7617614217676,24.9179564834587,26.7692336231687,27.6249826505222
-17.5,22.7102976296424,23.2276846997221,24.3304384855017,26.062543234731,26.8654815372287
-20,21.9828410067805,22.5850816610689,23.7200806220522,25.5775264166768,26.30871198239
-22.5,21.3309003213989,21.8655855979585,23.0462184599998,24.8038484880675,25.5184857102959
-25,20.5146517131171,21.0445521182103,22.2080641023444,23.8762933914918,24.4717279944599
-27.5,19.4560271328283,20.0865201625296,21.2737911270683,22.8913887301127,23.4364313966495
-30,18.6054108737826,19.121525067223,20.2696799502401,21.7046429937356,22.2028574539932
-32.5,17.5994463055955,18.0327753902889,19.0309632922032,20.2673196926689,20.7909647494058
-35,16.5403183589582,16.8860187426066,17.7884648559751,18.8816145990349,19.3843422074818
-37.5,15.0439963851516,15.3758418336317,16.1787221719695,17.1576095179124,17.6375278149058
-40,13.2986223395596,13.6386632454396,14.3394772173341,15.1210693898454,15.4916724991327
-42.5,11.2297729985442,11.5428214293683,12.0890755276032,12.6677316378544,12.9532194645889
-45,9.12748816748394,9.41457179536138,9.77898520433577,10.2750402597008,10.6228730567449
-47.5,6.70745575055696,7.04565556355416,7.61415665785172,8.17744998017703,8.6654483060422
-50,4.32897769763491,4.88809923386504,5.73351859664817,6.45566872138207,7.00918741335731
-52.5,2.09807853289366,2.87620947410208,3.98759614738653,4.87741302428771,5.50241180177439
-55,-0.270314348076054,0.828240340720911,2.21877788232058,3.36402335966901,4.04008139084209
-57.5,-3.08090355039637,-1.61409468210364,0.240717263657733,1.69735268833883,2.36499352844461
-60,-7.21166896363238,-5.16962502763015,-2.49484795574671,-0.53956318758898,0.358353105291614
-62.5,-12.989904423026,-10.2361528610507,-6.35691076360744,-3.53571886771348,-2.21407686712667
-65,-19.2263682697572,-16.5615295104147,-10.8779205745153,-7.24574592716754,-5.45676982837222
-67.5,-25.0194915419179,-21.587006541192,-15.462831020398,-11.6721792986571,-9.73874132063227
-70,-29.0943313417392,-24.9667328471107,-19.0617470062332,-15.5985057032716,-13.5921172100215
-72.5,-32.7368705280867,-28.9002025713063,-23.4369064228008,-19.5569789612072,-17.2920914952831
-75,-34.3711300315429,-33.2144186317229,-28.7890454725793,-24.2337415461145,-21.9390590605576
-77.5,-37.5846163242965,-35.8470318446953,-32.4660517491719,-26.9120842824258,-24.2070447477602
-80,-42.6940048656011,-40.2022153111654,-36.7299043870727,-29.860107932193,-26.2952884678331
-82.5,-46.175906975274,-43.1761385881096,-39.9876377478969,-31.3271197599164,-27.1914821544753
-85,-50.238867144053,-46.7475191057749,-43.7031762929632,-33.4597868705228,-28.7255246895323
-87.5,-53.0851631781125,-49.1294536124108,-46.103426192948,-34.8592434300296,-29.5942937442123
-90,-53.0852002737923,-49.1294628665794,-46.1034466490129,-34.8592484122492,-29.5943067888438
