Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,4.66356452203931,10.949031485009,18.8393331104155,26.834802852163,35.1145495564501
87.5,4.66357249381063,10.9490488711622,18.8393191570258,26.8348112523803,35.1145607421778
85,5.45723272833692,11.537399951188,19.423768276087,27.2730608416279,35.3790985999135
82.5,7.06073066787906,12.4599499024155,20.4943130139231,28.1410672097083,36.0413857563239
80,8.57813730094182,13.364035694301,21.5348021268917,29.0481148973136,36.6123083322828
77.5,9.99184361349766,14.4158119627833,22.6144942949959,30.1487656001225,36.8256428668391
75,11.1415472462906,15.5322253740822,23.5955996091461,31.1992681767991,36.9738127517229
72.5,12.3714582600878,16.6422338852693,24.7079268817183,32.1410824013442,37.1364382971828
70,13.4450422429857,17.95740997922,25.7102953409044,32.9069387375233,37.2066723239969
67.5,14.2876348734456,18.7943600830131,26.2042377119734,33.1588014007633,36.9083418955973
65,14.8253829342381,18.9952957907852,26.0159051860732,32.6357084395188,36.2170416845974
62.5,15.1818353054248,19.1137051810107,25.6664586028174,31.7831595299912,35.004687191926
60,15.4820008627217,19.1015907350116,25.0972718599345,30.4854286049478,33.4964531564159
57.5,15.95053224375,19.1726298236717,24.5072893390424,29.3261585027934,32.0503511407761
55,16.6422098698814,19.5682654521127,24.220459686448,28.4549496662817,30.9416831054355
52.5,17.4258968146387,20.0560755086012,24.1742981988823,28.0056512921549,30.1831098928944
50,18.2609109747662,20.5755760705092,24.330491950356,27.6868874090148,29.5043566388629
47.5,19.2117713724731,21.2402517633009,24.6874977557296,27.6818017901367,29.3627442419922
45,20.4902575348208,22.3960594976447,25.509227600434,28.2616070186651,29.7359282831144
42.5,21.8131401064825,23.8619774488795,26.6532191245111,29.3612961701454,30.6286153088507
40,22.6641505032004,24.5984120858331,27.1923198485041,29.6576362915726,30.7674732800715
37.5,24.214222850179,25.8991406975245,28.2050331065276,30.5705100210943,31.601627441672
35,26.1070535338013,27.7603219454478,29.9013545529689,32.1084274678615,33.0968677151606
32.5,27.3963541146074,29.0705714346792,31.0690167573,33.0993540484418,34.0211885510523
30,28.5159429898399,30.1964178285514,31.993579991372,33.9734004832777,34.8182893619219
27.5,29.6754365308915,31.2978915057481,32.9201403342617,34.9437716599321,35.6811583587371
25,30.8358264548327,32.4345372812511,33.986591986611,36.1463511948879,36.7890461192406
22.5,31.9299001969368,33.5661819065922,35.1584868073183,37.4905127014511,38.1029935061414
20,32.9663005364201,34.6187330487764,36.2863725130237,38.7401915169678,39.4135051181726
17.5,33.7754165634109,35.5083583210509,37.2753827991723,39.8218738992523,40.5833819577301
15,34.3439644727812,36.1019582023823,37.8250565139363,40.5386639622534,41.3431352298894
12.5,35.1636235485591,37.0537056837473,39.2599747652844,41.9500627780365,42.9573642642321
10,35.7010929427346,37.6899864771248,40.0339420766257,42.8252790091689,43.9227091215524
7.5,35.9692347899159,38.0133537061647,40.3659598125294,43.2598660338373,44.3966783664058
5,35.9924449127349,38.1414598742036,40.6694752848707,43.5594109022236,44.7184110244616
2.5,35.833178217805,38.0629043188202,40.6142459131768,43.5747417843313,44.7805128035666
0,35.6568294963604,37.9744839210349,40.7586358579719,43.7943149835367,45.1569135247756
-2.5,36.2946621804273,38.5431237406837,41.2774515656655,44.3459499186976,45.6442602567934
-5,36.6758661423224,38.9014323566435,41.6963221870176,44.7598429175793,46.0892799274185
-7.5,36.7567771769795,38.931031912931,41.8665867808965,44.9653094547116,46.4165028464704
-10,36.7317131016673,38.8935053547946,41.8838581657432,44.9837736504803,46.5318753404478
-12.5,36.6137929044957,38.7788177395292,41.7297093441103,44.8752087898199,46.3893227290826
-15,36.1098115381934,38.2805761628603,41.2704539583715,44.3675738935605,45.9333475910532
-17.5,35.71987566422,37.971107782327,41.0518959518438,44.1087057901335,45.9497231290723
-20,35.133488856004,37.3269238513508,40.2118049511608,43.3706769907706,44.8122413270814
-22.5,34.4668903857993,36.6106108035324,39.4281942585808,42.4644004440103,43.9167226048045
-25,33.7868870104124,36.0103855372871,38.7438463997558,41.9682654947356,43.2477984335806
-27.5,33.0347194026723,35.3085533576388,38.1799319002486,41.3617879334528,42.7852393344181
-30,32.1506619523212,34.5735628567721,37.4668943482843,40.7801744779537,42.0716792208901
-32.5,31.1966281642098,33.8438781722503,36.8782210523377,40.1546496475812,41.703773731795
-35,30.4398770181098,33.3392208133311,36.5811037490991,40.0349033407314,41.7148030486302
-37.5,29.5162350956421,32.6523743341531,36.0934072301499,39.6438537089278,41.5199206900753
-40,28.2240843281045,31.5194218918327,34.9456448846826,38.5513741663384,40.1449262764878
-42.5,27.1363273779091,30.5862138987864,34.2821687411052,37.9286107799376,39.5876623067533
-45,25.8694634081967,29.4353628300799,32.9984804483653,36.7998155730032,38.0256108967972
-47.5,24.8555519875648,28.5181913579467,32.1167084651632,36.2380098994058,37.3525033662982
-50,23.3912154886379,27.0925620057383,30.550221613387,34.8631327168939,35.9612718773001
-52.5,22.0488288382835,26.1141603763658,30.508957490092,34.7880219945434,36.467042173307
-55,21.5816597180663,25.8884133663659,30.7932152885824,35.4281773301696,37.4544227324483
-57.5,20.9615162908447,25.5590805646274,30.5525473127428,35.4195492566138,37.4493562437162
-60,19.8113504263156,24.5836745422278,29.7467010007073,34.9158995623628,36.9468204421616
-62.5,18.5644788321154,23.5448690066398,28.9572725296158,34.4341915607272,36.5625839667217
-65,17.3217162448489,22.4939447604371,28.2616041023858,34.2967031367857,36.8904362899569
-67.5,16.2194423745414,21.4968596198089,27.4801482959397,33.6895884344988,36.2136083053502
-70,15.2019726807342,20.6128291694672,26.6442813667782,32.7433814650441,35.2246789103264
-72.5,14.6226144237658,19.992896862782,26.1410855273135,32.0567820621183,34.7111643470209
-75,13.968100969349,19.2728194117286,25.5051953397693,31.4630295975711,34.2574065404253
-77.5,12.4970836787779,18.0567298774782,24.4356942326791,30.4743260971645,33.2095251817397
-80,10.7565402629153,16.2754533953788,22.6294684789595,28.6525006541431,31.1444013764379
-82.5,9.17413769647804,15.0715174619541,21.6859203466423,27.8923645785824,30.9754554243528
-85,8.60088320720055,14.9371982251375,21.8439180393987,28.2484561904678,31.6275854275313
-87.5,7.51148172050236,14.1302632702278,21.069313181544,27.3920900054235,30.5523885176535
-90,7.51147881532802,14.1302656833302,21.0693090091,27.3920939462918,30.552391332807
