Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-3.45950196932395,0.597919061913683,7.43974664143705,17.4111960389827,22.3489479744116
87.5,-3.45953239932004,0.597909182683944,7.43974374383381,17.4111895078358,22.3489379684499
85,-2.97063552075733,0.225997483739521,7.30680079689739,16.3778024510297,21.402804050689
82.5,-3.31777984773154,-1.23356289732609,6.80148044220095,14.6350517894254,19.6668625937619
80,-3.87382357846415,-1.9628028092172,6.10420655028173,13.4987804184381,17.820327666106
77.5,-4.22259504892898,-0.94703063111871,5.66808180313694,13.1217967451933,16.7592484111427
75,-3.27642581957137,0.294521533984363,6.17122844963232,13.6785509602288,17.1130973017708
72.5,-1.25036143725263,2.09698471574045,6.97881638516415,14.5032091675023,17.5173425656341
70,-0.359040517515058,2.73341896200365,7.69014264707501,15.002853079057,17.8411035273931
67.5,0.381923748390892,4.21227930439131,8.78510628188717,16.0521094948691,18.4724895610443
65,1.43892178121732,5.25839234167412,10.1105306268824,17.0849618554934,19.4597559190083
62.5,3.51072840079935,8.34239617926227,12.3332135392507,19.3170730987722,21.1716945736128
60,6.61017525127501,10.8648781265085,14.3416250579521,21.1495196132005,22.6902563668922
57.5,9.7182807496391,13.243649658065,16.3903503408376,23.0894375722332,24.4114632655693
55,12.2848401121096,15.2481101495523,18.3040422324553,24.8322669327903,25.9398833253492
52.5,13.3202098882711,16.5871043884603,19.4144695574119,25.6980683112492,26.8208308819755
50,14.3842387052473,18.0997910468846,20.93149630881,26.9510144029874,27.8829797462793
47.5,17.3720353763893,19.9582095550487,23.6431520112137,28.7539563089947,29.5963474249901
45,18.0816735802584,21.3486890780557,24.136368695558,29.1223840106819,30.0617745871236
42.5,20.3417365843207,22.429917850722,25.4083348301523,29.8024320933643,30.8895900281598
40,22.0157250557998,23.6172536430054,26.3613492043297,30.0547062565589,32.0466028348304
37.5,23.6421785626253,24.6993852091331,27.5096603001884,30.8595474293033,33.1170276420159
35,25.2729877497782,26.2842858333113,29.0009139846521,31.7763983999996,34.3319246581439
32.5,26.407113166866,27.2729635315252,29.9446193509514,32.6182777388934,35.1827311546687
30,27.327592142004,28.4017670660747,30.8239760936397,33.2995605256656,35.6184741321783
27.5,28.0208206726703,28.7020398010837,31.317492185857,33.6716830156509,36.1348573709519
25,28.7572173678668,29.4047109218972,32.320945494764,34.3817108839316,37.0933232393191
22.5,29.2753280418817,29.8594257277073,33.019224522554,35.0983621947423,37.9997934060937
20,28.0501700026276,29.5880805958754,32.8734614083958,35.5348302342443,38.3727019486896
17.5,26.5041548614655,29.0216317448111,32.6354146471929,35.9195548006441,38.5097598811207
15,26.2412823192021,29.0820695942376,32.8815273819019,36.8035069629232,39.2203784094373
12.5,29.4565226794415,30.6764615588028,34.4146233862349,37.0841654266617,40.1328332658789
10,31.0072111187688,31.5830341249221,35.4905830795876,37.8162791173474,40.9686557468603
7.5,31.6741039881781,32.2423373404874,36.1468270519562,38.5724381716145,41.6948025591234
5,31.709049855481,32.3104938030882,36.1720294382158,38.6412835140679,41.756505928628
2.5,31.2365862945195,31.8817012394293,35.7032320164457,38.4810019805083,41.531537967298
0,30.6252950822558,31.5391655025016,35.47198719913,38.0779768914059,41.1423446726255
-2.5,30.8266231407232,31.9537663350378,35.4374633526986,38.1774456398839,41.0079972098077
-5,30.5794435940723,32.1839329573993,35.5077781359351,38.2645602762586,41.0093056636736
-7.5,30.6265361562967,32.057511967412,35.2569962759048,37.8815178167378,40.4871766916085
-10,30.486292465426,31.6290759021932,34.6570697059756,37.1766581628127,39.5658203381396
-12.5,30.6023793734266,31.3084311809547,34.3308550730643,36.880173499478,39.2144635666595
-15,29.6350778083894,30.733106671069,33.707403221771,36.3164709518722,38.5922260179577
-17.5,30.0692430428543,30.6319553989397,33.3291699037156,36.2119244352629,38.153602309555
-20,29.8085331962016,30.3927506643171,32.8177854134659,35.7889985939466,37.5165774646282
-22.5,29.6882381936537,30.3150988915424,32.5684429946695,35.556097393591,37.1385744756972
-25,28.4742808083114,29.2443718640552,31.7113103565578,34.492690496691,36.1897448723338
-27.5,28.0584206208491,28.8281021022747,30.863171348267,33.9002837742556,35.3054848747581
-30,27.5838894127762,28.2604615369003,30.2799466575037,33.3856154232038,34.731956827292
-32.5,26.9118926974107,27.5350612208234,29.5716870633208,32.6790941386346,33.8555819578846
