Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-10.3238044442137,-6.12976412209062,-0.140768647282897,5.23789802723265,9.39321401406859
87.5,-10.3237792966261,-6.12974919075722,-0.140763856194186,5.23789862869466,9.3932021953926
85,-8.81307902475473,-4.99264501869987,0.446202526125753,5.24332722939766,8.35579876166709
82.5,-6.76194897628022,-3.20051249624992,2.23957789176636,7.24019413015635,10.1103625197251
80,-6.48145897329066,-2.50265782594888,3.37317571079508,8.42374566008727,11.1145538093218
77.5,-6.03163043448092,-1.75477626099819,4.44720414203983,9.971421263201,13.0230565920545
75,-4.92105054703394,-0.719769769214178,5.37665280808752,10.9135873185044,14.0855615528655
72.5,-3.59061063654504,0.342328990056395,6.39615684395094,11.8040273990735,15.0489801086712
70,-2.06673770118862,1.46896527086979,7.29856608098916,12.3570423492119,15.3906310627994
67.5,-0.382258002456224,2.96741422592215,8.39680093351321,13.1182246602453,15.9619406898956
65,0.997872326766154,4.38673473957773,9.56440053099164,14.1553661425028,16.9400791681353
62.5,3.09288135506806,6.14567449138992,10.9032872081132,15.2878285407774,17.9785588738961
60,5.2685269758931,8.08108527601527,12.4938230975233,16.6973362882601,19.2370198327526
57.5,7.4197792640613,10.0012089166659,13.8420042049041,17.7196665575201,20.0518653445728
55,8.57434078636046,10.845960396919,14.537399606152,18.3793661418794,20.7083065071798
52.5,10.5285615282332,12.5357160328768,16.0121937602586,19.7054125950299,21.7604124046204
50,12.0776676713126,13.8086349609397,17.4585675220298,21.1864935170775,23.0364268675362
47.5,13.8950319004176,15.4903606513638,19.1554067157233,22.8602090485684,24.4115933155467
45,15.140732514897,16.8499379802014,20.645151470082,24.0543084744721,25.5435685188029
42.5,16.4684354825225,18.140798170376,22.1156601707774,25.1974194971173,26.7289420809969
40,17.2421218681253,18.9784413691456,23.1622755446469,26.1471175742273,27.7160744877118
37.5,17.7452872416237,19.5786183386224,23.9908850073772,26.94507870863,28.641767281551
35,18.2759952777015,20.1833109845929,24.5906679489227,27.4081440710675,29.1812943603442
32.5,19.3088491634582,21.2643231979115,25.5559438680315,28.3152326924109,30.1290198685597
30,20.8063684930389,22.6445086741743,26.6952810294671,29.5108396731066,31.2576553359309
27.5,22.1282284244427,23.9856323859821,27.805763220893,30.8463535200843,32.5152790513096
25,23.3923626305235,25.1387007317376,28.6880901783762,31.698594945866,33.3272054139094
22.5,24.2003661198855,25.8729101347447,29.2759846545517,32.1757480802211,33.6916786271909
20,25.0485149268239,26.6669333089433,29.8378390478588,32.820682331592,34.3309017977822
17.5,25.4067982636705,27.0113774718527,30.3183006201065,33.1385662641777,34.7366867773833
15,25.6700883537603,27.2448808666749,30.522127435238,33.4210695380211,35.0245862509859
12.5,26.1597672902538,27.6177261579365,30.7893779555081,33.7189071090114,35.3242919778072
10,26.6172362463077,27.9890213705864,31.0398347214408,34.0935751923765,35.6934768600775
7.5,26.9824276880486,28.3635523487539,31.3972203654964,34.7230777769454,36.3577240819534
5,27.536497599541,28.8798103346471,31.7323509114445,35.337953361239,37.0857133192617
2.5,27.2926249820113,28.6394968933203,31.5417838364385,35.1843176361756,36.9469963963288
0,26.6224261623562,27.9912923839777,30.9656269786569,34.8937297316521,36.6879726009187
-2.5,27.028727331049,28.3795637381547,31.351807400007,34.8994489672581,36.6288088669119
-5,27.5802236393015,28.8427731778751,31.6986841385993,34.7606727769062,36.4241379407721
-7.5,27.873684683817,29.0441980022648,31.7195283696898,34.6126427580468,36.1477580076546
-10,28.0334271818627,29.1447586966021,31.7363368171383,34.3062180469383,35.7315654395577
-12.5,27.6612337133644,28.72413149545,31.4512502616895,33.8042198105545,35.2006662211939
-15,27.2280861607894,28.3006494598095,31.1023534389042,33.4820821969832,34.8280942817172
-17.5,26.7372590286391,27.8695700963301,30.7524072505201,33.1729206611249,34.5352883081842
-20,26.4438740916428,27.5401323725429,30.3499098011363,32.8247958244656,34.1942040314657
-22.5,25.7148680264024,26.9027383499379,29.8080531359074,32.5253611926672,33.9445098673444
-25,24.9223209500293,26.142522931872,29.177726461123,31.840864794372,33.2960254815363
-27.5,24.3900133763155,25.6069084984939,28.6118582545958,31.2873220795423,32.7460045679363
-30,23.7254840752966,24.9977900280727,28.0654330099644,30.7416548921774,32.2737623623865
-32.5,23.189082338977,24.4918086433527,27.5054935179309,30.1601282139153,31.6729549284652
-35,22.5629659583563,23.931763908903,26.9257603787853,29.5614767820286,31.1880520576441
-37.5,21.8112708121814,23.2361989673484,26.3678447555713,28.9031423934609,30.4337939925373
-40,21.1627531525707,22.6283205188297,25.5673133885685,27.9796763461912,29.3593887838086
-42.5,20.712436184454,22.2292544080307,24.8633141964733,27.3270483754284,28.6091629919652
-45,19.7639585114577,21.4876382852156,24.0444036357977,26.6925269238738,28.0907957209546
-47.5,18.819670722375,20.6615946947049,23.4824589579024,26.1673482657194,27.8340799646749
-50,16.9556573090003,19.1451379979551,22.4697468840324,25.2202724706374,27.3476213974897
-52.5,15.875826342607,18.09512677313,22.0349421794242,24.8534337942811,27.2500431458731
-55,13.5648353278213,16.7579775861812,21.2042625408522,24.1258352431606,26.6124861443776
-57.5,11.8460260344248,15.2757917952377,20.2086045733903,23.1823753007486,25.6632285913667
-60,10.2231814487923,13.8289776212108,19.0878550752279,22.0330937459274,24.4569587202473
-62.5,8.9504647073338,12.7373161787278,18.2212435796626,21.1800951629614,23.5558814231076
-65,7.84313944875086,11.9405527735401,17.7791245682946,20.8427636259393,23.1454583486395
-67.5,6.13904418770423,10.7626122139364,17.1711272546509,20.3278331899006,22.207280803459
-70,4.96771582027936,9.82540702784864,16.5980151390982,19.8652351709292,21.7736162077947
-72.5,3.99693082934863,9.23973703937239,16.3073086755574,19.6379501583161,21.2627791761616
-75,4.99534772481473,10.0663421157331,18.1183768083472,21.8828120264315,24.1859817647259
-77.5,3.38828297128945,9.96519991396186,18.8075314635323,22.8872765834083,25.0191591509727
-80,2.57984620500712,9.75979336236212,18.3998044614321,22.5382287280204,24.760386699438
-82.5,2.01052717006637,9.67410646716867,17.6614784824949,21.8166129358933,24.3928693899712
-85,2.97171762710868,9.96768092157854,17.2199123681107,21.4349424220692,23.8946092839908
-87.5,3.24589455233802,9.77664476677456,16.6683542846309,21.1148140169445,23.6793252204376
-90,3.24590076139191,9.77665723695799,16.6683726026128,21.1148082560975,23.6793291313978
