Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,3.17783119157681,6.44044605828142,14.571783027433,29.6520463158612,38.4812955245789
87.5,3.17783061473437,6.44044388314341,14.5717868316817,29.6520539407644,38.4812928427949
85,3.7995719743874,6.91433908901009,15.0205833261109,29.5979576031812,38.2078314366237
82.5,4.59274355587686,7.58838255954235,15.6425298951249,29.5798033651706,37.962409975713
80,5.5040469785307,8.32652943356501,16.4682144121222,29.6772305871197,37.7230333330499
77.5,6.36111574277902,9.24613965032908,17.4060383596814,29.5223989326576,37.1490468542391
75,7.23712642217519,10.1673970098578,18.2976397630074,29.3924425316204,36.66003586827
72.5,8.246448540035,11.3245106094976,19.2610524894147,29.3532449723493,36.1701225367482
70,9.21446355399494,12.5009763832589,20.1258817939118,29.1968495532292,35.5917460801879
67.5,9.93536537912563,13.1980036445883,20.4021085680469,28.7043424413733,34.6093140142379
65,10.5566124489354,13.5696586639011,20.2914326427638,27.8926248597517,33.3516592142361
62.5,11.1621292211353,13.8288219583743,19.9797076646433,26.9766823807505,31.9393216053689
60,11.8384725637032,14.1194060988129,19.6887134634714,26.1587555564348,30.7332786124875
57.5,12.6494832426683,14.562696124989,19.5748535730894,25.6847256938886,29.8820618387329
55,13.4954951820347,15.1544188661642,19.7165183435982,25.4975392286411,29.387343770197
52.5,14.5500570395003,16.0143161320439,20.1285127348747,25.4859984384708,29.0844701350154
50,15.6787159229026,17.0212087696231,20.7258064932657,25.6580104868499,28.9304064688153
47.5,17.0032340181664,18.2873901840791,21.742769278197,26.1259585057395,29.0947456902188
45,18.5270501774244,19.7751377528408,23.04632019894,26.8672642374588,29.5565736128261
42.5,19.9709360824028,21.3706487863249,24.4302682454369,27.5165296060454,29.8708013125537
40,20.7895048806311,22.2215288014812,25.0381869842476,27.5690892939806,29.6045977034277
37.5,22.4540325218472,23.8966195732088,26.501183705981,28.6871148199313,30.5461018239048
35,24.371609043648,25.8332971237968,28.2634864729569,30.2370369454787,31.9401956672494
32.5,25.6795863720962,27.1237340904415,29.2949644125207,31.0418856864771,32.445560301499
30,26.8650006086643,28.3694263196286,30.3030495963563,31.9519113583763,32.9948412586318
27.5,28.0219412014075,29.538725039845,31.2149431299512,32.9907156855377,33.689795963289
25,29.1321217194971,30.6945808163987,32.22557395822,34.1298099884306,34.7231016451637
22.5,30.1398173679976,31.7243334759808,33.2178164217741,35.2401533157561,35.7758827282535
20,30.952646371938,32.605607239292,34.1522919986591,36.2669330303847,36.8296143774941
17.5,31.5812261367836,33.3204408039489,34.9321673862728,37.1370587078721,37.785391388234
15,32.0402398992188,33.841799232383,35.5764955426995,37.8331887494328,38.5921792210626
12.5,32.4120736859173,34.2623131926237,36.1621146803033,38.4297382272109,39.398378829782
10,32.6201782042051,34.5327104781038,36.5839597772659,38.9550425877613,39.9732747956299
7.5,32.8010008851465,34.7650346147176,36.8571945245064,39.2647765431901,40.3748736008851
5,32.629408917722,34.7594401552755,36.8670394283685,39.2745307647274,40.5909659313103
2.5,32.4876160711923,34.6074668209772,36.7342934643713,39.3428266330521,40.3844461597299
0,32.1643193422102,34.4159619118505,36.6321880544131,39.3232918505665,40.4016146391756
-2.5,32.8449276994439,34.8934519564071,37.097154240325,39.7438017766927,40.7748227651836
-5,33.1828879008509,35.2039146276575,37.4442108013188,40.0570440803274,41.1133113188983
-7.5,33.2678292730053,35.2746778885058,37.6165105638382,40.2715800561122,41.3538085750162
-10,33.2187497461233,35.1974398156879,37.6230179932823,40.33385477787,41.3595534240613
-12.5,33.0172373444292,34.983274736285,37.399016953995,40.1691100724455,41.0985848917456
-15,32.6606598732566,34.6023153426484,37.0264069207388,39.7379328985681,40.7725083047236
-17.5,32.0073440819123,33.970167086763,36.3659545731412,39.1253042725579,40.1183359384508
-20,31.6268306401946,33.4949335135451,35.8413827178352,38.4864525352857,39.6827855809971
-22.5,30.7461635627467,32.6701091257046,34.86864694371,37.5116522161,38.5819646746226
-25,29.9671579488608,31.8563672123974,34.0038533191638,36.610000939672,37.7496857240349
-27.5,29.0886800758852,30.9530786270822,33.0093603216851,35.652480537137,36.8000374211806
-30,27.8420704307508,29.9073698042282,31.9042852794482,34.6091741737872,35.7353154657551
-32.5,26.7453638207934,28.8557169384678,31.1090407409719,33.7035785037506,35.4308845894438
-35,25.290538234473,27.686558607378,30.0986769129293,32.967716106178,34.3617110496992
-37.5,23.9121998074879,26.3910453077712,29.0541488581992,31.9662203238493,33.5312125639918
-40,22.5714617744651,25.1233459122117,28.0736888250535,31.1416575233464,32.6316330882771
-42.5,21.2169718004384,23.7351038145602,27.1249559642401,30.2681747147785,31.9461030179112
-45,19.6404405761721,22.1566173619613,25.9230453344766,29.3011759384371,30.9374852405195
-47.5,18.1621961668927,20.4470926692857,24.6226691743056,28.3227207009861,30.1488435465819
-50,16.1421245990676,18.3299589222071,23.2015095268672,27.5468109918432,29.6672545023996
-52.5,13.8106078501975,16.2855334753009,21.4961222114194,26.2056686172628,28.5714651653402
-55,10.9552457642605,13.7558406862757,19.6752965896822,24.8997762328243,27.2442089716536
-57.5,6.66773424071811,10.5394056500985,18.0060208921212,23.9553766592711,26.6074826958899
-60,1.38781942713973,6.26867078995285,15.9732611136518,22.5150430541009,25.3939766190705
-62.5,-6.58197880174356,-0.0719908839017938,12.9637986834841,21.3179735193087,24.7688975806008
-65,-11.2398390070582,-3.92982050773095,10.2514449618588,19.8115493733102,23.4807675178799
-67.5,-14.5334866191489,-6.50385358850991,8.61022222084897,18.7390644666094,22.3832759187309
-70,-18.4001410541594,-9.7776232565442,6.65387783418166,17.7739210443808,21.5810264591199
-72.5,-21.4610304011774,-12.3292718971092,5.10350981497534,16.7423553237759,20.6587010219594
-75,-24.1574921306596,-14.683598290875,3.52521264084192,15.5730070722419,19.6052433882415
-77.5,-26.1329828871416,-16.4634695919811,2.19875013007739,14.4250596288807,18.4768438122981
-80,-28.3418511679573,-18.5993565645532,0.266432215002616,12.9940251882341,16.9271274995001
-82.5,-31.7804989051233,-21.3590552936799,-1.66531612981172,12.5102632397285,16.5427931343145
-85,-36.0551080627218,-24.5330088527309,-2.61577229323658,12.534526750648,16.6125074559838
-87.5,-40.5817638016363,-27.8247255758554,-4.28355647320402,12.2528835488771,16.2264160209317
-90,-40.581761911279,-27.824718540071,-4.28354548004361,12.2528806062283,16.2264274341317
