Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-7.99154387252096,-4.73199810260368,-0.306016391200131,6.71474770232565,11.9197099052855
87.5,-7.99155131551544,-4.73200363001989,-0.306011925118719,6.71473644409913,11.9197025429951
85,-6.90985150516672,-3.51280757852446,0.984717591256703,8.08093633124641,13.9826831795006
82.5,-6.10821105585307,-2.63644399004404,1.9179541202906,8.80574097226528,15.1180091633623
80,-5.88048329869203,-2.38753845641658,2.15061879767818,8.87306861752478,15.4702803345013
77.5,-5.253011782585,-1.77604719719106,2.7149165486838,9.40984781735135,16.0775281990553
75,-4.40160050663056,-1.025638336697,3.33005383288988,9.90074368990364,16.2290605354123
72.5,-2.67228889227401,0.753798355925391,5.1408643293475,11.7313024500084,18.3030479023097
70,-0.98171432073852,2.36026007370534,6.7473472798011,13.2152362564906,19.4913880574798
67.5,0.366916942736828,3.62192770682449,7.86741345384237,14.3213923090735,20.2909236726881
65,1.71880200179024,4.88150976560931,9.01338600850872,15.2992585514927,21.0897038041482
62.5,3.27463477269917,6.30589736445324,10.2525414925789,16.4134388542998,21.9886384412009
60,4.91642754987871,7.84828582774883,11.7141201815047,17.6501805564824,23.0325685247644
57.5,6.6986734467302,9.50165283883618,13.1581315707537,18.7849567128398,24.0671362463061
55,8.4940112664923,11.1906443406297,14.7204052555555,20.1667013959336,25.2297236576521
52.5,10.504987406349,13.0451701879578,16.4599771571288,21.6898132266684,26.4885143251634
50,12.573873192309,14.9640315661676,18.3100358294901,23.3528584496354,27.604481661428
47.5,15.1166197020777,17.369788321042,20.5645216526244,25.2734421909435,28.8442993509931
45,17.3034221988655,19.3894677671201,22.3736199032697,26.6155496949177,29.5495687933696
42.5,18.8949378973925,20.8298520902242,23.5325008005547,27.4725854370053,29.8101673833433
40,20.147957846698,21.9029356210855,24.5038461369265,28.1774969532221,30.1955344373286
37.5,22.0801637494129,23.7287592462089,26.1375000820117,29.3885169542734,31.4000283768727
35,23.1857166119856,24.7166667870744,27.0295842031857,30.0199924100277,31.988899830471
32.5,24.4405799860285,25.9346453493881,28.1873124237754,30.9540017862117,32.7087901178577
30,25.4860322942351,26.8809721578804,29.037624308893,31.6680429154598,33.2878255984664
27.5,26.3831738900506,27.7101416560699,29.7782107492397,32.1569686707939,33.6503565635292
25,27.1113542700113,28.3437056473271,30.3423724434832,32.6014553047294,33.9791173308293
22.5,27.8472179161677,29.0305599445539,31.0307336927006,33.2489686724717,34.4995023099245
20,28.4080766337865,29.5351060787931,31.3872612911941,33.5036284937432,34.7042191377399
17.5,29.0297880118281,30.0874651796213,31.9146562358702,33.9226786532676,35.1489468647132
15,29.4352505632666,30.4598386919496,32.2582477967005,34.1533862246213,35.3700412811891
12.5,29.8179127250256,30.8561741204712,32.6638276032135,34.4987572042725,35.6886058518015
10,30.1701656510188,31.2126910194096,33.0923341558791,34.9231878379515,36.1400902582974
7.5,30.2768719589304,31.3408999536373,33.2679756546475,35.128260318129,36.3758237540333
5,30.107827194349,31.162545600507,33.2480170325569,35.2359306735299,36.5454613202996
2.5,29.6934519907981,30.7344313640239,32.9408480506467,34.9972620040696,36.3889904778022
0,29.3034712009617,30.3202694381287,32.5983000064491,34.6711389476193,36.0619673970026
-2.5,29.7533586571948,30.7666300634929,32.954656505017,35.0552156954649,36.4443728784364
-5,29.9332815681236,30.970679148753,33.0051552741374,35.0589381861246,36.3878900378225
-7.5,29.8455734382196,30.8519206891867,32.7630761252236,34.7546883744019,36.0380433242132
-10,29.6142657972822,30.6088266494593,32.4096470108018,34.38792438822,35.630420419219
-12.5,29.3191052255556,30.3140459431517,32.0624217111071,34.0071533534036,35.1780314787988
-15,29.0191560297672,30.0177694785273,31.7307444667408,33.6649627927715,34.780364734083
-17.5,28.7270785770592,29.7243072424149,31.4420141500642,33.3414501161383,34.4407067363784
-20,28.1819410461689,29.2111072099083,30.9266847403517,32.7803001283444,33.8653511308284
-22.5,27.4898200960953,28.5756721079413,30.3098865935038,32.1663798305554,33.2776175845446
-25,26.7332659302465,27.9119169821448,29.7048332253611,31.6168824481337,32.7727686235049
-27.5,26.0594401458589,27.3096562991568,29.1659882713876,31.1360873777606,32.3257134684599
-30,25.3106523051687,26.6479802547051,28.5842274633265,30.6854194271428,31.9180659790613
-32.5,24.2935988295456,25.7381104163631,27.7164551994224,29.9845545356894,31.2798688651115
-35,23.098567043629,24.6197218836815,26.7211650196743,29.1657780563028,30.5568260261976
-37.5,21.8978589570523,23.4987835926198,25.6760775685664,28.3203144791807,29.9008567621649
-40,20.4735930676554,22.1008893355953,24.4214697646577,27.3394921828288,29.2281874950652
-42.5,18.8858187449128,20.6060741474111,23.0494840943225,26.3590383532099,28.7650511819637
-45,17.0066734436568,18.84393086825,21.4766373692688,25.1311503514896,28.2900947866355
-47.5,15.3553078501372,17.3755091725215,20.2018987887482,24.1727407844171,28.1516633919589
-50,13.4621688782897,15.5752067824969,18.5704205181234,22.7850280301101,27.5430316911091
-52.5,11.5569115487043,13.7736367730569,16.8716658234679,21.2211284456269,26.5508884102426
-55,9.68492438362429,11.9697880606977,15.2144110538172,19.6884714294703,25.3525589696376
-57.5,8.20729231506287,10.4567693110485,13.6195715892925,18.0493585295795,23.9295638093749
-60,7.25026325565307,9.59502160142363,12.8516236627303,17.4257179651773,23.5030515135955
-62.5,5.72636693246831,8.1304588257338,11.408939219706,16.0449097796684,22.2991233133078
-65,4.53903010684907,7.01491094362854,10.3218379763541,14.9984939289179,21.4433710119374
-67.5,3.98011558082263,6.50827200424042,9.8187598791004,14.5931571223607,21.269207424524
-70,3.63369547836322,6.28426163377984,9.68862812229454,14.681424202259,21.7136148621907
-72.5,3.18159693813059,6.04359157200993,9.57732870503833,14.8727812262503,22.2620692744452
-75,2.66201353868758,5.85650264061834,9.58285104505712,15.3514441528804,23.3551795262958
-77.5,1.89603096571737,5.39812533840957,9.27325584898734,15.3637978293437,23.6177293866673
-80,1.23436910259699,5.1733025977974,9.25856585277224,15.7615202065654,24.1189143572531
-82.5,0.967718026822648,5.62909282842721,9.73121227256743,16.6800360016234,24.5352588124123
