Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-5.3361112301377,-3.07774594830146,2.69342383493822,8.39026112786362,12.3047427575511
87.5,-5.336119470305,-3.07775692273569,2.69342000991818,8.39025281269729,12.3047391974534
85,-4.35414078129925,-2.28380898838597,3.0470020323835,8.3850637966227,12.0771889762242
82.5,-3.94590944299889,-2.09880886008323,2.95942962931331,7.8930556484901,11.2039509966917
80,-3.26612651229875,-1.43315807759529,3.02835196905141,7.44417759891163,10.3915786521015
77.5,-1.6487321610991,0.256322319454091,3.71010037824546,7.4511724862045,9.91523693520698
75,-0.402072368796783,1.35773488833581,4.27458870033026,7.68354369072851,9.97382157330927
72.5,1.3901864330563,3.23151810765538,5.7313026586763,8.60775574714573,10.7732012229237
70,2.94335266622843,4.72162906843359,7.09444066352625,9.63621193368116,11.7217829015462
67.5,4.77664154871613,6.13923514419421,8.67492489651372,10.9957106651389,12.8467506943402
65,6.20488521237769,7.45535057066683,9.77915742846632,12.0373942949834,13.6997892254122
62.5,7.92117622279044,9.10147036776305,11.4712686067061,13.6419590291154,15.2027505000904
60,9.57363576194245,10.716199694231,13.04356852764,15.085712405998,16.5885585812098
57.5,11.2644640921885,12.4680205815716,14.7494549191256,16.6973627080778,18.147613444791
55,12.8053058472953,14.0986440191242,16.2788293399567,18.1147010591847,19.5360622630268
52.5,14.1499126598632,15.4475627639992,17.5169811849473,19.3183033203731,20.6803293769542
50,15.217520950994,16.4080588223112,18.254985528237,20.0985815099319,21.426389497185
47.5,16.1765291029512,17.3496834050655,19.055844554041,20.9660630068111,22.2054726588267
45,17.7457311960708,18.7360690324275,20.1244194997986,22.0736524272204,23.35664305681
42.5,19.207539102484,20.0838478083357,21.3345821626156,23.3403106425352,24.5629666775003
40,20.6896968037721,21.2804958646892,22.6048192361836,24.4803121769649,25.7090419001332
37.5,21.7939284824477,22.3389164571429,23.8690682548593,25.7156331215652,27.055604638761
35,22.9687788498779,23.531506580242,25.2170023531309,26.9711091060911,28.2781986608503
32.5,23.7679709687866,24.2812545487599,26.1600756419432,27.8958286085311,29.1866209981467
30,24.3472353746705,24.8576650455668,26.8505573167112,28.7350112070135,30.0245771221083
27.5,25.4615659693528,26.0262458540634,27.9525833950832,29.9321128918738,31.1817821052297
25,26.4694351027595,27.0509880342379,29.014873315017,31.039528000105,32.2954492543039
22.5,27.320894350869,27.891356803451,29.8450002127905,31.8660600657976,33.0930423863057
20,28.031618553357,28.5572056741298,30.6532387885019,32.6966980243686,34.0025152812723
17.5,28.7075896668947,29.3417735894959,31.4179165622011,33.5689252737043,34.8725229883904
15,28.9353355925521,29.5402249385178,31.9918394450497,34.2909474242419,35.642998096617
12.5,29.1125939724509,29.6421284510278,32.3364379432162,34.7023040669667,36.078033478153
10,29.3519528573112,29.9314340342967,32.8318782046397,35.2189512314751,36.6042886651257
7.5,29.9972919554612,30.5737004581103,33.4137706595499,35.8290432467166,37.2405579026511
5,30.2533337276325,30.7785359791705,33.4790522208438,35.824007069377,37.2197198779919
2.5,30.0864821683094,30.5574298017281,33.2564215728474,35.6866962731459,37.1641866069211
0,29.8932685665772,30.400999718148,33.3117789082753,35.9489029921475,37.4880721610177
-2.5,30.7022744657563,31.177885160336,33.7544423610162,36.0794769444922,37.5461677130896
-5,31.0547308502707,31.562095434643,34.0286687666777,36.2146974665882,37.6308852349289
-7.5,30.9063739092965,31.43033889221,33.8848358622024,35.9687427632977,37.3109210541239
-10,30.366713920348,30.8926559763033,33.2857909123939,35.3507563321527,36.6524405477434
-12.5,30.344944785127,30.8892714856217,33.0427885634224,34.9112672498347,36.1157444561845
-15,29.8700990005411,30.4263240859922,32.4265109095942,34.2431192194747,35.4394632992802
-17.5,29.6643394099245,30.2482985795603,31.8690466645307,33.6018884241047,34.6603324336969
-20,29.3204844381932,29.8908220624083,31.3270377363467,32.9419109143981,34.0749797913025
-22.5,29.0606986912723,29.5738776281579,30.7586260737236,32.3076971034579,33.262547728738
-25,28.5431994824757,29.0276779459825,30.1657044279222,31.6237828879326,32.6253891891229
-27.5,28.2001757672991,28.65018594641,29.4729845098087,30.8643945854073,31.7631004821334
-30,27.5312110884204,27.9327185438862,28.6404969590353,29.9485397184477,30.8213940969908
-32.5,26.7785554564668,27.1938431378935,27.8381784454482,29.1054934296577,29.9486769807231
-35,25.826655202359,26.3012298201631,26.9454325291327,28.0914220129919,28.9123461475248
-37.5,24.7437820943367,25.323558286814,26.1847959121766,27.2006881283238,27.9803343512468
-40,23.3233302156026,24.0500506478894,25.3349903037861,26.2999650274133,26.9950421858179
-42.5,21.7603504825109,22.6091093261195,24.629766190327,25.5896997831021,26.3987694379436
-45,20.242147946461,21.152580723348,24.0007381475079,25.310762455823,26.2046454850521
-47.5,18.7104218982781,19.6576772526826,23.1833613792554,25.0946660599321,25.9593300709091
-50,17.3590526553111,18.3433503710803,22.4750501233276,24.9457483693713,25.7119055727801
-52.5,16.2985057437309,17.3616028130686,21.9011047771388,24.7321127204875,25.4330845057528
-55,15.4486401324721,16.5289753761677,21.4283891848148,24.5555738395178,25.1588112178838
-57.5,14.756540723513,15.8831263188019,21.0192340484887,24.4475389672022,25.0089503588584
-60,14.2192574577458,15.3969576495885,20.7755276589129,24.4776326553888,25.0827325745009
-62.5,13.7218271534674,15.1020231550205,20.6727631595798,24.8242333024466,25.4531668539955
-65,12.9620835667399,14.5048903508665,20.3713258507187,24.8394783070651,25.568754222295
-67.5,11.6768541663762,13.2611010406036,20.303168363206,25.7953967676888,26.8653169461823
-70,10.750662277439,12.7442424000911,19.9062540965634,26.1091740338642,27.280671409911
-72.5,8.91760180693815,10.9791116541803,18.1697562550399,24.1757202375256,25.4136196164649
-75,7.54945878163197,9.50827133321087,17.5329674833286,23.8145962516014,25.3440503067235
-77.5,5.84507884273492,7.76337184213522,16.4702744582837,22.6320639879617,24.3774971732516
-80,3.26124548093511,5.03433364308014,14.4810661718968,20.0563688673481,21.8090746645123
-82.5,1.81413122982003,3.65296818670542,9.21686751346616,12.3191930415042,13.4616441190282
-85,1.64622987990915,3.54744785730753,8.78490582299655,11.5532425288328,12.9306075968602
-87.5,0.846659665701989,2.70267001014029,6.65362056773448,8.94177575025861,10.3591923644729
-90,0.84665989128689,2.70265225596156,6.65365446957376,8.9417782935144,10.359180816271
