Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-1.38653994197526,0.626018131085061,3.79699894579005,8.80614752810904,11.1633692920081
87.5,-1.38654911442009,0.62601533184094,3.7969975851578,8.80613344146037,11.1633649179393
85,-1.10362750689242,0.834231652655316,3.87870295130624,8.79592289102017,11.1079969322116
82.5,-0.535629718145391,1.35221789455673,4.28367927698926,9.09541666512349,11.348481758281
80,0.420134390227711,2.35098341199364,5.35419497935472,10.1702299893033,12.3794937735534
77.5,1.30558268278009,3.27695014137224,6.40607303641134,11.3047483453272,13.5248780504244
75,1.94827253654713,3.89921857646452,6.98965940582579,11.8608656329627,14.0990043724824
72.5,3.03099481241976,5.14642506129513,8.34610420266134,13.1728486363756,15.4969340221364
70,4.47587959406804,6.677994158125,9.67803015309003,14.4609053136826,16.7953865062672
67.5,5.90876340426478,7.89588806988864,10.7947727320259,15.4341608686593,17.6529377616146
65,7.37127216198826,9.39283634083049,12.1069472385925,16.6576407299877,18.783819635399
62.5,8.67860934741305,10.7944247183704,13.4445474157381,17.8620735788339,19.9560530230221
60,10.2229075518226,12.3679052446881,14.9990520894211,19.2729893158613,21.3501537189439
57.5,11.9755184679657,14.0515466566719,16.5361395498495,20.7276704145574,22.7178561690371
55,13.7555638476828,15.7601306964719,18.1899704751912,22.2999161507796,24.24568614303
52.5,15.3347037367716,17.2236841049494,19.6351438563134,23.5749356172807,25.4797573056326
50,17.0621627725024,18.8290393495706,21.2490129168487,24.9686212303334,26.8475644246806
47.5,19.0072645396209,20.5780801865457,23.1238865510748,26.5902974130647,28.5629690848799
45,20.6636689110525,22.0637331435123,24.9313435247885,27.89063386301,30.1953743313652
42.5,21.6965897554067,23.1736624919567,26.0104627942401,28.6207791110095,30.9070677552546
40,22.312500576652,23.811568515368,26.5979972805451,29.0201449060275,31.2482426929934
37.5,23.4479330666988,24.8735134470955,27.5281508988095,29.7875304704868,31.8142759262371
35,24.4052695181587,25.8447863302687,28.4308353180087,30.6304650096721,32.5029714448101
32.5,25.051406603414,26.4813148890374,28.9823807485846,31.1142796134441,32.9230634904069
30,25.7921381691681,27.1765011114831,29.5819022524385,31.6032150763333,33.3718731976191
27.5,26.5847257781718,27.9834037097298,30.3616961622621,32.3850968087493,34.1658269468071
25,27.368572925492,28.7629773723011,31.0884339230538,33.1524158664874,35.0104713761346
22.5,28.2776807170545,29.4605439728808,31.7965344979529,33.8667495918191,35.6990197720095
20,28.8878952095819,29.9806102265625,32.2174499583422,34.1428228813916,35.9298684547799
17.5,29.4518694309814,30.4672888168361,32.6076179449017,34.4297766531855,36.1508524440715
15,30.0832024369964,31.1624286329667,33.3434842442159,35.1511315362154,36.9422671922619
12.5,30.3063936604962,31.4462774393413,33.7683958453608,35.7409787809225,37.582564794169
10,30.5629402039008,31.7922963094879,34.3027151189064,36.4285805128276,38.4008539248639
7.5,31.0669870020667,32.3916209560283,35.0412018852836,37.25574594997,39.2577645602046
5,30.7954702252598,32.170793737862,34.9768530110857,37.3316846456922,39.410259206894
2.5,30.7333443531087,32.2109964377115,35.1912026756485,37.7007077249639,39.8988147514367
0,30.0949216641228,31.675631278801,34.8987806397726,37.5845013001637,39.8925468589128
-2.5,30.653059901813,32.1215325788839,35.1742554810623,37.7407515369958,39.9595153601001
-5,30.9203127344034,32.3071463138968,35.1912321535596,37.6312456705536,39.7111238501283
-7.5,30.6684103526629,31.9666419927578,34.7341918979727,37.0783077877783,39.0479813380994
-10,30.4837107494121,31.7461615791532,34.3709588434762,36.5795658945702,38.4526638008554
-12.5,30.1174291390423,31.3746769576,33.9463833508346,36.1310720486751,37.9652864703679
-15,29.7584325862604,30.9741259857249,33.4868551099195,35.6358668955833,37.4720819207175
-17.5,29.5194356685651,30.7370247697813,33.2646974793301,35.4466083362003,37.2595121502677
-20,29.0361442337256,30.348680919817,32.8815249376928,35.0605536252141,36.8611785683669
-22.5,28.3586640296701,29.8031969862728,32.3587459913512,34.5445869750776,36.3220084458659
-25,27.7710349324269,29.2396787962741,31.8189221913464,33.9628138419004,35.7286625711364
