Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-18.7188431328876,-17.6955050121718,-14.860173555351,-10.2944739317209,-7.50327553507547
87.5,-18.7188490454844,-17.6955188160805,-14.8602069058337,-10.2944814637985,-7.50329112927435
85,-17.5800175262118,-16.6447382456195,-14.0367101921273,-9.86827738408851,-7.43456192147771
82.5,-16.6372630039309,-15.8606998585096,-13.6086035996289,-9.84705987924023,-7.77434949989979
80,-16.0633283714428,-15.4510834288166,-13.3947328654442,-9.88268055059963,-8.38243787929591
77.5,-15.3736343346243,-14.7851518504373,-12.8543333172783,-9.75039900931832,-8.58128856526805
75,-13.9165244072679,-13.3805328528789,-11.5133063205603,-8.83678900897596,-7.88275921533151
72.5,-11.6611671088753,-11.121874043258,-9.36432349235541,-7.08444199469442,-6.23377052150966
70,-10.1068856259375,-9.56982195139238,-7.94372620672319,-5.78967115415643,-4.91971161701399
67.5,-8.23643520156407,-7.75998808071044,-6.25886446890692,-4.29868279435712,-3.55438373735407
65,-5.99816857735285,-5.66534549930371,-4.24077358791627,-2.49857715260443,-1.66376412934931
62.5,-3.63035915571719,-3.25904551047052,-2.0423407392281,-0.415478323130794,0.169423989109008
60,-0.989624076511031,-0.688223045830831,0.46512397320186,1.86111215019388,2.55410480672846
57.5,1.32370594745509,1.60959336154145,2.54068990373472,3.8683263100705,4.38393108741295
55,3.2535211929521,3.55669084829928,4.41010793332542,5.94153376134701,6.65047867519899
52.5,4.6863668045048,5.0334145606043,5.89417174386488,7.54061903113407,8.38613031597684
50,6.02752993417513,6.3646618493009,7.28385056017154,8.93264321407198,9.7211950692344
47.5,7.68683127201141,7.95506036772739,8.94474533719053,10.5653868088672,11.3766383879931
45,9.53852895278271,9.85349489419652,10.8116188400549,12.276382985275,13.0818543512404
42.5,10.8363302113825,11.1569872545033,12.3607163376907,14.0002630639572,14.8312568825173
40,12.6877679525201,13.1300934067892,14.5533717321099,16.0831045111306,16.6796641972296
37.5,14.0118771796075,14.3516651322197,15.7133220785347,17.0493610960587,17.6213071749956
35,14.9030363745036,15.2573084137592,16.5865977552224,17.83599207155,18.4769774106843
32.5,16.8967340660204,17.3488212460184,18.6890367315365,20.0030231891205,20.6535734946468
30,18.3331122074556,18.826614787253,20.3565865043216,21.6735433537053,22.4755783446059
27.5,19.992405751602,20.5897785029299,22.2254729931801,23.6806934459927,24.6287595402056
25,21.5812415879886,21.9484067593554,23.8888830483108,25.0757723242667,25.8212775155381
22.5,22.9788858621833,23.2872869570783,25.1695547969215,26.3908290100609,27.0157213255378
20,23.6804292729431,23.9849768351768,26.0504798835992,27.4859336034541,27.8943474399161
17.5,24.2664502122811,24.5429057704693,26.7728492950046,28.256896320769,28.7242847818505
15,24.6329678577635,24.9311447957878,27.103439044998,28.6102626704222,29.0929904791748
12.5,24.9943544781797,25.3331923632749,27.5471638034783,29.1257185778644,29.6056343429165
10,25.322032343029,25.6649347785587,27.8730621991019,29.5019155343408,30.0401061845151
7.5,25.3726271724095,25.7232182978662,27.9597785160677,29.6501148396522,30.2099285376443
5,25.5426645686704,25.913914674623,28.0154152661665,29.6603970542752,30.2109548305136
2.5,25.5977449306238,26.0181511798949,28.0370487511737,29.7619283657854,30.4845175770908
0,25.4492366490835,25.8568000131101,27.9544813070854,29.7125472708939,30.4921498081457
-2.5,25.5845626964019,25.9668078723605,27.9796861818669,29.7058141126873,30.4771368115576
-5,25.8292323343073,26.1835116182767,28.1059669020073,29.793110115513,30.5072927534116
-7.5,25.5458142092039,25.9058807014013,27.7967814905226,29.4276078716727,30.092486436115
-10,25.2558389334104,25.5806469312203,27.371848651656,28.9992355146067,29.620153168457
-12.5,24.8107634172969,25.1138132214377,26.7121940762971,28.2483311727309,28.9849845057065
-15,24.3502235258748,24.6535788726019,26.1259078626827,27.7450672742575,28.5612469749602
-17.5,23.8971379164165,24.1671254232384,25.5224910253448,27.1015629006701,27.8411291259617
-20,23.3134027989966,23.5957800310591,24.9463276953629,26.6035917645643,27.4032974481237
-22.5,22.6216692184262,22.9027009575371,24.2235639782205,25.8242514181838,26.4746743944914
-25,21.8375295131318,22.1276273012587,23.3884464646835,24.9730200023299,25.4968185130512
-27.5,20.9178303950364,21.2498207675164,22.4302600698177,23.9752092518688,24.4831863150117
-30,20.055327682574,20.3814220839592,21.4472375109398,22.9116871365684,23.2649563483985
-32.5,19.0064295134298,19.369413463388,20.2976180380733,21.5734434516633,21.9433773935088
-35,17.8877124842219,18.2759263738133,19.0683960219989,20.2010710133043,20.6239577379421
-37.5,16.3963064343069,16.7563517204641,17.5538423676903,18.6479348724172,19.0274367015015
-40,14.6797449685758,15.0494319622468,15.898971651819,16.7552698531587,17.0989166177062
-42.5,12.727377106918,13.117087220482,14.0310108780114,14.7139462767141,15.0457105579853
-45,10.8767643831546,11.354656014184,12.3018956053388,12.9805696392715,13.353754344283
-47.5,9.16092793004332,9.69879102745385,10.5502360930218,11.3800590111151,12.1361254902134
-50,7.57169952108241,8.12828096872571,8.9733199458645,10.012701638803,11.0036482700862
-52.5,6.07373040195866,6.63492324254605,7.52464138211261,8.74911669681434,9.92225699124339
-55,4.57794755262778,5.14822626206682,6.18014994449197,7.61917691678199,8.9406490887897
-57.5,2.92707813096731,3.54900128110919,4.65627570689447,6.37342276672754,7.75369782525689
-60,0.686988949751607,1.32367185169309,2.78245768793957,4.90179558194325,6.1394075570868
-62.5,-2.71363506605383,-1.70930203623312,0.423805729282594,3.17008145934368,4.46490935941043
-65,-7.16042525364367,-5.63793449320442,-2.57016187784288,1.74773797930345,3.25977042534133
-67.5,-11.9552625805607,-9.79594156913409,-6.46197807405139,-1.01813544622031,1.2541095483182
-70,-16.0485214763313,-13.5977458090765,-10.0780326755332,-4.4827275251815,-1.32578880867857
-72.5,-20.5473226453336,-17.6869251364683,-13.9724921542825,-9.93821756978579,-6.69009104571715
-75,-25.6830315157523,-23.7629182848201,-18.9632906415014,-15.9568882658247,-13.9869846251062
-77.5,-29.1106899583917,-27.9006021010428,-22.3708904593367,-19.4692481333614,-18.1132949823394
-80,-33.3784649101793,-32.3603224396108,-26.0422105283823,-22.5289729851885,-20.3236331437253
-82.5,-36.4245668345456,-35.478587706855,-27.8783622928409,-23.5390577914597,-20.4575397203867
-85,-40.091593689202,-39.090841726866,-30.9051118215737,-25.5009765181815,-21.5095968666463
-87.5,-42.9433936445747,-41.5676004472575,-33.3567919891198,-26.7528142527677,-22.1842285694662
-90,-42.9433938487891,-41.5676002671483,-33.3567807626343,-26.7528127217184,-22.1842264665627
