Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-31.2595121766436,-24.35284066292,-13.5452504391396,3.32615818315608,9.12046462899428
87.5,-31.2595100962228,-24.3528427570105,-13.5452554762021,3.32615306379744,9.12045771863189
85,-30.4660743718593,-23.6381476381052,-12.8622846515683,3.68994099113359,9.4634912111584
82.5,-29.487540895717,-22.8179650272036,-11.9125892655347,4.25193495759735,10.1236243261261
80,-28.4776961497519,-21.9190919924395,-10.8694139135138,4.71506365350683,10.7442748222083
77.5,-27.0866653050162,-20.7116977783546,-9.46467798924408,4.89498884371661,11.1069739879824
75,-25.4685752082066,-19.2529156182668,-7.83954858249983,5.15903318119797,11.5896102627255
72.5,-23.701370455228,-17.6625023608367,-6.09659334628358,5.63152714178427,12.2443399075573
70,-21.9117032263995,-15.8231717763598,-4.30646610596013,6.37599236106012,12.9363026552232
67.5,-19.884413140729,-13.7774909878338,-2.47774250264931,7.32024090104141,13.5783093428665
65,-17.5435514567046,-11.5140595943733,-0.63830293231233,8.40302882999699,14.1952794300105
62.5,-14.9684859281444,-9.03871248302584,1.16828127790914,9.41488545667051,14.7886335944087
60,-12.2090825850736,-6.57902119300421,2.8194167919112,10.3100516302495,15.2284344322531
57.5,-9.53412228772707,-4.32799340767346,4.19045357459172,11.0442742154054,15.497117934435
55,-6.97389958790633,-2.19468608636198,5.43053915994024,11.7546214378348,15.7382320060564
52.5,-4.54288388023459,-0.182224639815027,6.69674706121485,12.5048653438697,16.1373079357641
50,-2.23742565337928,1.79835755490188,8.03678008114765,13.3754053831409,16.6985858085939
47.5,0.0134147305057043,3.75056773443803,9.42592140525084,14.3519027657683,17.4077609004242
45,2.35068354993967,5.76476068790466,10.8859602609913,15.3908536226735,18.1537151983068
42.5,4.91041602651605,7.83116528911032,12.4105096487281,16.4954846863328,18.9664369890288
40,7.43365270413148,9.97593695077466,14.1207065252693,17.8422338789369,20.0720757879909
37.5,9.78227489496519,12.1894486445029,16.0018044792244,19.3420913756024,21.4315267360862
35,12.5078761508047,14.6218136383576,17.9756326148663,20.700058633653,22.6702416026772
32.5,14.9389041223387,16.7887418484583,19.7349491680112,22.157671124094,23.8977498030062
30,16.6083945340622,18.3477545771671,21.1934599813934,23.467509134552,25.0582153163695
27.5,18.1480103023241,19.8481472164429,22.5965185478249,24.8337156734603,26.346247840513
25,20.3563398748447,21.8685370296094,24.3592886686986,26.296450928948,27.6226185376146
22.5,22.1222435832487,23.5482499389338,25.8287491411795,27.7413414640043,28.7896263290856
20,23.3211759335333,24.7045398255623,26.9085485472881,28.8326366660775,29.7955298134686
17.5,24.3028191910527,25.6431304429894,27.8040080416758,29.7588808836774,30.674030667062
15,25.0713532872701,26.3869117096266,28.535007804708,30.5198235227611,31.4190500046796
12.5,25.6909659084957,27.012701035553,29.1402757353763,31.2327820605577,32.1018540009418
10,25.991537472283,27.3198155988546,29.4278752442747,31.5608899062533,32.4373858011324
7.5,26.0722414479178,27.4677522887105,29.6429063086349,31.8653108463849,32.7950154033236
5,25.9325209839046,27.4143717006589,29.6537229930701,31.9780090884327,32.9362089157033
2.5,25.6702392968184,27.1946225055267,29.4850190681029,31.8765678733279,32.8705022473759
0,25.4997660740829,27.0244377054276,29.3018188669721,31.7117922861649,32.7344040291186
-2.5,25.8782340243904,27.394441939381,29.6937598803486,32.1041113712297,33.1203322399675
-5,26.4180669517256,27.8902034385042,30.1006760891936,32.4884368941013,33.4890616035638
-7.5,26.7555977275521,28.2200128602553,30.3741516296734,32.8030431264065,33.7722345299545
-10,26.8466739712065,28.3308268757406,30.4869607238306,32.979944587361,33.9476885235484
-12.5,26.7388869792013,28.2635765327142,30.4163724143656,32.9879141092675,33.9181323834218
-15,26.4799218450159,28.0453948684716,30.2067580348101,32.8811756731548,33.7704407282544
-17.5,26.2835426207736,27.8669608180826,29.9891045232243,32.735153696605,33.5591330365137
-20,25.8705949352243,27.4995831159675,29.6141821274692,32.4444650117982,33.2392645728441
-22.5,25.2709905183532,26.9328550072284,29.0467018779975,31.918321084941,32.7132816108948
-25,24.3720705311496,26.0736975320962,28.2267289032907,31.1593838109338,31.9742659068274
-27.5,23.3291132539093,25.0769051036957,27.2996222839489,30.4243302336077,31.2176211089019
-30,22.1882293957611,24.0169128343294,26.2928675225914,29.60955118069,30.396008833846
-32.5,20.9823588856767,22.8827766872766,25.2209279864585,28.756250274645,29.5484365592169
-35,19.5584927789574,21.6003581607619,24.0826620303219,27.866533407769,28.6957996426963
-37.5,17.8081895816334,19.9988724679391,22.6528262318505,26.5778911668653,27.4822165678895
-40,15.8126120884563,18.2089672826265,21.0719179569544,25.1378044774694,26.1105188713123
-42.5,13.724371218227,16.4409965163877,19.4796159108194,23.9046249883505,24.9365537326089
-45,11.3168425914091,14.4068118842519,17.6933555489119,22.4085649356427,23.5344894451896
-47.5,8.82710199247921,12.2970863452053,15.9126086886436,20.8560285836342,22.1019719543026
-50,6.23977827695663,9.99013063722848,14.0208213200173,19.066901887288,20.4651056751877
-52.5,3.58576030031074,7.5140522994158,11.9624371976824,17.0910108601458,18.640253691867
-55,0.839029697405056,4.92358158481251,9.72405007620626,14.8899469949153,16.5939903903727
-57.5,-2.11527942257553,2.14128610246483,7.30379222322551,12.5474253009271,14.4524975088209
-60,-5.24718201688379,-0.738452726588717,4.85237295197368,10.208852126309,12.3628581823922
-62.5,-8.29700007913772,-3.58817446684641,2.37498833853594,7.82226019824458,10.2134640118034
-65,-11.268312450817,-6.39188132188107,-0.237806300931955,5.23862883035759,7.8211659086169
-67.5,-15.4539150117103,-10.6830183858619,-4.94696485081784,0.40460962152314,2.7582176227434
-70,-17.9227050576557,-12.8525912453046,-7.21750995274963,-1.79331452691946,0.54308821859438
-72.5,-19.6560170174991,-14.2819011438506,-8.80400959742436,-2.86781823874344,-0.538202152511615
-75,-21.0394808369861,-15.364495376807,-10.1100358020814,-3.55801382768876,-1.27923626151701
-77.5,-22.2473407735671,-16.6468680695084,-11.2680457202861,-4.34050287722315,-2.05367637684381
-80,-23.9571727802496,-18.4459347273604,-13.089299091247,-6.03053559587407,-3.76824092171355
-82.5,-26.8725808537572,-22.2594235197703,-17.3100085825888,-11.121693833568,-9.0904448485622
-85,-28.3561441753805,-23.0947168513089,-17.929267510921,-10.990246231163,-8.95429101970032
-87.5,-30.8767596531339,-26.1471858285809,-20.9061834050314,-14.2629064812442,-12.2114717025906
-90,-30.8767610033621,-26.1471844985143,-20.9061852734512,-14.262908112254,-12.2114720634552
