Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-0.933471736883831,4.81345684898959,15.5227322506995,22.5915553048002,25.7124227984685
87.5,-0.933471155045059,4.81346139979985,15.5227356159883,22.5915428263858,25.712435115996
85,-0.55931664538246,5.06829538432708,15.6903973159311,22.5126014546249,25.427003363018
82.5,-0.381323047028699,5.1257943982232,15.3422761740348,21.9302645220715,24.6861829357928
80,-0.431147797283604,4.6598221834119,14.3672918565222,20.9820590489828,23.3792097812427
77.5,0.128752203098025,5.11368761436646,14.5754695422298,21.0238977700795,23.3307563811541
75,0.673646122255983,5.54355275483467,14.7725121105032,20.9583428108073,22.9668608539567
72.5,1.34094301722214,6.16587878440578,15.2731488644531,21.4915087276474,23.2900771700697
70,2.12551756540049,6.89574084121543,15.8938792761675,22.0784186277848,23.7232243496799
67.5,3.53239723652891,8.23250931699858,16.970932364495,22.9814314044424,24.5525501476411
65,4.9730770408299,9.43551934571655,17.7555744943813,23.5444785852848,24.9831846648729
62.5,6.38051177105334,10.6443127533533,18.7832839959467,24.2771200580578,25.7800748844681
60,7.84125911344169,11.9371175397814,19.8493239292273,25.1084565175999,26.6233969894222
57.5,9.57861057144108,13.5500035083446,21.3110013402403,26.4007344672516,27.931808218549
55,11.2631476529862,15.0828152899845,22.798649059617,27.799077426686,29.3283586683974
52.5,13.0379648141364,16.6878135927146,24.2691973990215,29.1438112629028,30.6514703383038
50,14.9157212498129,18.4035011268923,25.797443813581,30.6035469375859,32.1382056277254
47.5,16.6516581524825,19.9119081934331,26.9424090274602,31.5014486474693,33.1137529239962
45,18.76176066692,21.7689208977669,28.4009715054015,32.6789567168865,34.1651360763731
42.5,20.4606574770673,23.2323156056997,29.4044866486952,33.3771974177562,34.7219738837881
40,21.7187702000588,24.328266093823,30.1612733745965,33.9503439647434,35.2062005591655
37.5,23.1777841681302,25.5649349901211,31.0249731877022,34.5491955073328,35.7944516336243
35,24.4200798056644,26.5946467767039,31.7309347228071,34.9968697348971,36.2581460204671
32.5,25.5294281126423,27.5450135375369,32.3997401818533,35.4906726585545,36.6920806072845
30,26.1401676028698,28.0069111744405,32.5084159656097,35.404703591699,36.3901035592325
27.5,26.9531124435057,28.6232745002099,32.7457311398917,35.3868066571189,36.2577130543525
25,27.5880415608549,29.1766535068169,33.2588719085269,35.8888956788553,36.7445566956511
22.5,28.0010471516018,29.5605202291867,33.5898617565519,36.2160737381815,36.9983795529771
20,28.6312012918445,30.0825819735223,33.8836940138925,36.3962611232199,37.1298810539047
17.5,29.091392778317,30.496895310741,34.0912214323594,36.4699621198659,37.2212536675444
15,29.8647094327501,31.3817117117311,35.3098857437666,37.9320265342225,38.8093175172508
12.5,30.3355082329215,31.9790235503918,36.2371535281592,39.0563060427615,40.0376445068917
10,30.7508306759307,32.480009097951,37.0254826082046,39.9536671128559,41.0695990566788
7.5,31.1232464130737,32.9290918112037,37.7664949450946,40.8792452683043,42.0482731976425
5,30.9753312521059,32.8736130795985,38.0290146852667,41.3497975320797,42.565100179148
2.5,31.1275946422589,33.1432571972136,38.5680234544822,42.189404712237,43.3284304516179
0,30.607574016818,32.7243714428645,38.3521264109831,42.0985651411685,43.2947470684091
-2.5,31.0267249493139,33.0742261299684,38.5592344882149,42.2133629728019,43.376825198193
-5,31.4291716642343,33.3854361606974,38.6707389918317,42.150855331705,43.2936117941735
-7.5,31.483572146625,33.3823482152439,38.4962927628274,41.8065771864206,42.983435110347
-10,31.3765976742393,33.2378636305881,38.2761021544552,41.5341905687956,42.6807956605493
-12.5,31.2668890909045,33.0915527634687,37.9881950325983,41.2065796722136,42.3660875951283
-15,31.0882482009379,32.9024578387287,37.7714278964042,40.9818075619052,42.1391959135296
-17.5,30.7067359267562,32.4665196892192,37.2638268055328,40.4372965970225,41.5698073257665
-20,30.2721145087251,32.0002351288985,36.7216498757192,39.8612507788959,40.9692525795601
-22.5,29.6550383907587,31.3723550228025,35.9474291172487,39.063375429398,40.1778492336443
-25,28.8147801588182,30.4878489306841,34.8846179588326,37.9369999735583,39.0002919646418
-27.5,27.8430964304146,29.5122642750958,33.6955774804834,36.7488214257012,37.760505922511
-30,26.8425956364041,28.5292125795011,32.6254015772521,35.6853486588483,36.6691324217833
-32.5,25.7343469775971,27.4420533044017,31.5411210342548,34.5472514000756,35.5243106256839
-35,24.5747740691515,26.3068881379262,30.5820421341682,33.4225354606341,34.3871625696501
-37.5,23.2646897201624,25.0851622751869,29.6101453967317,32.4046282280234,33.3389016581101
-40,21.8414830154307,23.7978734701991,28.4026296355784,31.2230622857863,32.0891371529328
-42.5,20.2923452149989,22.3537659563508,27.0126058789718,29.8377980723134,30.6348946435508
-45,18.6889399449331,20.8691115888105,25.8017341321303,28.5081403751348,29.3027171079223
-47.5,17.2019246984778,19.3961786193605,24.67823697018,27.3922538933575,28.2438237099406
-50,15.7815426335448,18.0736672250443,23.7086483730853,26.4763368125936,27.4682905625634
-52.5,14.4737111447115,16.8932989914552,22.7195404027333,25.5462347251023,26.6580621321095
-55,13.0513416149643,15.6550444070132,21.7727479574973,24.5974318549151,25.8140794169137
-57.5,11.7299008241891,14.4135770605646,20.6928871251109,23.614422075877,24.869097596274
-60,10.5235572772398,13.3400671355554,19.760369982926,22.8188104923265,24.0772447389798
-62.5,9.55758474125551,12.4882923549752,18.9106132603125,22.0649120665647,23.3580586770547
