Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-25.3625739831114,-23.2433849447811,-18.7451327793265,-11.5852890348926,-7.03112712655684
87.5,-25.3625731642632,-23.2433848759855,-18.745134363053,-11.58528992408,-7.03112567713132
85,-24.6445272866121,-22.4977696411962,-17.9514406440296,-10.7145511508373,-6.2521033198314
82.5,-23.7496645466423,-21.6091711477,-16.9316810514171,-9.69604881308912,-5.37232145394526
80,-22.8165727151306,-20.57997640965,-15.7933291104171,-8.52400946039541,-4.29998222061636
77.5,-21.5408465413385,-19.2560391525128,-14.3053557807054,-7.1689511980045,-3.04017147227577
75,-19.9963838127341,-17.6315296167131,-12.5540432358469,-5.62513599633074,-1.63711506458634
72.5,-18.1010215710999,-15.5809796639756,-10.5607741260765,-3.90314437184886,-0.197234089998114
70,-15.7960853994929,-13.2036201093568,-8.3194100043956,-2.17860090960103,1.23298416389219
67.5,-13.0433256402306,-10.3831642694935,-5.94749928213183,-0.483155017905293,2.48963773910119
65,-10.0722728164441,-7.64379496457915,-3.67950663248653,1.05237558770714,3.64124074775025
62.5,-7.25839063036233,-5.23869551656267,-1.72265878553327,2.51004168345733,4.80961880455106
60,-5.1210559490789,-3.36827728331797,-0.205540688312502,3.64540354451597,5.86723148293516
57.5,-3.33312753519383,-1.79629737666694,1.08158349744747,4.5971924548673,6.72456949365475
55,-1.73170802673183,-0.285666671868266,2.34487354839943,5.64413466036269,7.73947929001995
52.5,-0.415746725812703,1.01777304416199,3.48185452359939,6.73480536455955,8.80267025130074
50,1.31974529365475,2.74799161463152,5.06072716972605,8.44638320516521,10.5689571590784
47.5,3.020589344586,4.42030780399258,6.65092888208155,10.1499345941294,12.2345508514623
45,4.71331275256053,6.10351451069733,8.29099908264638,11.9847450440055,14.0374053225352
42.5,6.81546813394897,8.15417403516329,10.1974885765879,13.6943768728473,15.6666842092055
40,9.14607743427427,10.4199625840095,12.3114624060233,15.6246050759549,17.5151414056451
37.5,11.4491004583146,12.5590877245399,14.3353670899815,17.5156789725005,19.2946339292225
35,13.7051593348648,14.6212438931028,16.2978390582565,19.2607191876983,20.9237518014873
32.5,15.5347588995887,16.3191145388567,17.9068247729479,20.6637102689886,22.244307618492
30,17.0735932795384,17.7547436943183,19.2900292239376,21.9222135844427,23.4422108986445
27.5,18.451789758178,19.076442463703,20.6414269376046,23.180000304008,24.7136969023889
25,19.6027278063371,20.2076341900395,21.7763312340947,24.3559369788639,25.9146236335639
22.5,20.5048061081026,21.1739277118902,22.7510430188463,25.4056686576885,27.0063563105503
20,21.3051974759231,21.9531328107751,23.4698763943905,26.1601242729644,27.7638901240126
17.5,21.6327881607352,22.3917591042869,23.9063604923053,26.7332736610653,28.3832030683324
15,21.9800737983265,22.800029542981,24.3455688807825,27.2678146112127,28.9541902068022
12.5,22.119836089958,22.9865643732104,24.4710332064368,27.4643100326315,29.1499391747881
10,22.234788903299,23.1057699879186,24.6069567913428,27.6276028249434,29.2771815976523
7.5,22.2014579879585,23.1277781222306,24.622805468512,27.740945637821,29.4487864579627
5,22.1012037059641,23.0139318524134,24.5798835896284,27.8089065958832,29.5662397447208
2.5,22.0549748283156,22.8968012554675,24.671368456118,28.0088741858331,29.8551489213471
0,21.4575881659413,22.34840205581,24.2683136980298,27.6881312802634,29.6241478970497
-2.5,21.8994930134673,22.768443713657,24.5470801046677,27.9536361217255,29.8091019620221
-5,22.4435433049604,23.3271911298619,25.0736743322259,28.4704423650544,30.2998001323394
-7.5,22.7904313808778,23.668868653819,25.3595470468695,28.6753256977214,30.4405949366233
-10,22.7044332625169,23.5295392733848,25.1729908980509,28.3805820143638,30.1085307780235
-12.5,22.4200153904555,23.1879326912086,24.8970739028159,28.0810812530488,29.8354009268554
-15,22.0126973348794,22.8103167254172,24.594701015566,27.9252376911166,29.7547257578341
-17.5,21.7968686603203,22.6561262261018,24.417615626027,27.633136025004,29.4420510223799
-20,21.5053288306892,22.3596458233702,24.2701069360169,27.4729513644561,29.3610151182198
-22.5,20.8443503756749,21.7449503877118,23.792118394709,27.1578780473412,29.1223342240982
-25,19.8651518687149,20.7823885913155,22.9227545121079,26.4727144227421,28.5297134310014
-27.5,18.612811843208,19.6037053342933,21.8480422629005,25.595065609026,27.7478408613461
-30,17.2517201457392,18.3132961299153,20.5732184703682,24.5608691843334,26.8058745843998
-32.5,15.7035990030187,16.9154519943145,19.2949114331394,23.638083951646,25.9978021909609
-35,14.0248529390288,15.3620872017501,17.9231703946135,22.6252692243991,25.0943949017354
-37.5,12.218907828759,13.7416277773893,16.4724489021955,21.6107788605455,24.2144228526964
-40,10.2024373267286,11.9365658582198,14.8134705490946,20.401090646416,23.2522437430667
-42.5,8.09489108561593,9.97245129363435,13.0186835267471,19.0319291475308,22.0896989885807
-45,5.45747031900637,7.59142675063008,10.8598201154075,17.368853694258,20.7130687668935
-47.5,2.58527899945794,4.980496539392,8.50059742255992,15.4409903797102,19.0957118562533
-50,-0.474713872507845,2.21026004461915,5.97476459961145,13.3748633299053,17.3735038154708
-52.5,-3.46865389257417,-0.679540245223416,3.29363006111099,10.9675390051434,15.3152895556178
-55,-6.38671204136578,-3.53374340760311,0.53298956405869,8.31329852312518,12.9089587445632
-57.5,-9.23548138082382,-6.34274266994791,-2.17246997884064,5.70253965573738,10.5416914339205
-60,-12.0975118704413,-9.24279546349826,-4.82012326251428,2.93577215140634,7.99947308779848
-62.5,-15.1649203297833,-12.2012340434206,-7.5402705784714,0.230575873664528,5.43510460746135
-65,-18.1668575059696,-15.0548351625742,-10.1596857196856,-2.3874743142667,3.02770949299003
-67.5,-21.0267666987447,-17.7597477219399,-12.6869501483345,-4.77691104973976,0.768639938470373
-70,-24.0701233205887,-20.6462589286561,-15.4297270559942,-7.4686890940361,-1.56693228024507
-72.5,-29.0582493834493,-25.6256612909272,-20.2472435685296,-12.3788937103855,-6.65725006843098
-75,-32.0051246506709,-28.5278626936082,-22.8696781127146,-14.8258287147355,-9.06739715809789
-77.5,-34.853622470242,-31.4176834545589,-24.8694806234452,-16.7669983288818,-10.7816214891216
-80,-38.0975538110099,-34.5314460437059,-26.3929622305853,-16.7598886503583,-9.90268948226736
-82.5,-41.1225605350065,-37.325303221892,-28.0314728502336,-16.8044876119567,-9.50899852352025
-85,-44.775735883895,-40.760411877277,-31.0100482323751,-19.0055915709674,-11.3550263750516
-87.5,-48.3677704461393,-43.9876002492594,-33.4420812019764,-19.4102370679101,-10.973915763458
-90,-48.3677703591566,-43.9876005079898,-33.4420803508274,-19.4102326336985,-10.9739109790571
