Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-8.3970794142056,-3.30228364966711,4.13859928739524,12.5558634091477,22.7476845314377
87.5,-8.39708410640205,-3.30228817351446,4.13859525954504,12.5558577244185,22.747670764304
85,-7.95149652379266,-3.06469807825361,4.00350640031553,11.897700792236,21.8415662159771
82.5,-7.29728536559359,-2.49138461866962,4.38128325161439,11.9674929458115,21.691589336136
80,-6.43164077285809,-1.61243382322693,5.18901414095957,12.4902573808113,22.3932421212189
77.5,-5.47650558664253,-0.719533320625412,6.12763271787367,13.1652830148003,23.5348795723643
75,-4.53088867260811,0.132936890640205,6.89186655709622,13.8579760613239,23.951711876858
72.5,-3.30106425779285,1.22940750625806,7.78365024690833,14.5728132397316,24.3040532385433
70,-1.80531652174796,2.64877045961061,9.08657564839931,15.8654563172957,25.1573246677188
67.5,-0.0245317642465655,4.3309394615495,10.6055989519531,17.2626702754411,26.2263739811986
65,1.73981428401141,5.92166410678042,12.0060584853832,18.6106211785852,27.1120955942027
62.5,3.51276896676254,7.54891267075971,13.4117707160927,19.9016473690043,27.9415554721734
60,5.33935021745006,9.25725253144269,14.9622133951235,21.3317421231573,29.1860253532696
57.5,7.12421703109687,11.0448652990495,16.6413805043978,22.89405416173,30.6119037587356
55,8.87203467430117,12.6383461351921,18.2205251377054,24.1665370987433,31.9971743677821
52.5,10.6017430317281,14.3402195920275,19.7518882260775,25.5682684378932,33.2194749530468
50,12.4884341961923,16.1766896814902,21.4330016850078,27.149387906347,34.5233530337949
47.5,14.7216982887435,18.238356252099,23.382343243619,28.9086561361077,36.037220976841
45,17.0612276386026,20.2643495941732,25.1674386619963,30.3577993037022,36.8477377556628
42.5,18.8246581475739,21.6075949020207,26.1877780005276,31.1580953875168,36.694642371432
40,20.0885849843089,22.5338236132328,26.7364516426027,31.5187364861006,36.3899215798071
37.5,21.6283564912759,23.7306815969446,27.4803471764072,31.9841045400939,36.2217368982742
35,23.0057259771373,24.9119523395301,28.3228483890622,32.5939009111891,36.3587054083548
32.5,23.99161852632,25.7896048133834,28.9316464319297,33.0133561577232,36.4202349170756
30,24.9300041609462,26.5962593437377,29.5232041549571,33.3027082095799,36.4137030457944
27.5,25.8647057923193,27.4857129111868,30.2658961777736,33.8907913933054,36.8174762610847
25,26.7482519173266,28.3583162972404,31.0591942626278,34.5660615508916,37.3773345874169
22.5,27.549436201422,29.1833215667193,31.8306917281403,35.2603182230737,38.0497016799289
20,28.1238462938862,29.7372752708949,32.2957055060215,35.5621054873733,38.2764913132463
17.5,28.6348289967179,30.2004708151573,32.7102644854748,35.8357064447416,38.5405363652174
15,29.1899053595295,30.7772897452192,33.3002417003401,36.523521207198,39.2552281229485
12.5,29.5957295454392,31.2173661375949,33.7499375592673,37.1025444443277,39.864356872611
10,30.1328060413622,31.7827831141031,34.3162896844105,37.7894576635554,40.5263687865884
7.5,30.6695616312544,32.3333279671692,34.9571297159794,38.5674481672857,41.3893595707317
5,30.4816203015078,32.24230132808,34.9888232026182,38.7799572977328,41.7575806650192
2.5,30.4875607868401,32.3407013854116,35.2986314129662,39.3199420230798,42.3842389446648
0,30.088737031547,31.9454856842508,34.9783645218846,39.0813339854503,42.2074643618256
-2.5,30.4528417018957,32.2873980339992,35.2254141252358,39.2399234292355,42.319805726381
-5,30.6198255391719,32.3878562044253,35.2191769842532,39.101650961385,42.043985899699
-7.5,30.4325437853751,32.1041840298603,34.8150422425284,38.533702337973,41.2499646371604
-10,30.1965539185314,31.7816470211734,34.4331149903836,37.9929408353803,40.5715967293048
-12.5,29.7907780226223,31.3868109433174,34.0468326231326,37.5984061288967,40.1515483245539
-15,29.3843788973241,30.9709253654504,33.6621076367214,37.2162805375163,39.7217208348482
-17.5,29.161600948157,30.7164655291149,33.4277995297043,36.9796796355109,39.5001604524548
-20,28.7541283363377,30.3146136158509,32.9671036383577,36.4568093882923,38.9485918196406
-22.5,28.1636602179468,29.7513785025172,32.3269404066882,35.7939293385113,38.257832900707
-25,27.4264853274323,29.0411706952469,31.6194653941351,35.1296412380388,37.6157378475156
