Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-26.6872382120242,-25.5997361227512,-22.8021928908234,-19.1345471235035,-17.0921711519156
87.5,-26.6872333792166,-25.5997596404465,-22.8021881949856,-19.1345307961211,-17.0921580936044
85,-25.1875472523747,-24.2140814588304,-21.7499103999081,-18.6096240658283,-16.763046764884
82.5,-23.6712871124216,-22.7819494781452,-20.705053319204,-17.893485025109,-16.0912545309252
80,-22.6741571804435,-21.8198267658974,-20.0252181379712,-17.6732629219855,-16.3688442028938
77.5,-21.9302367201895,-21.0197743697614,-19.3221992821691,-17.2921420468292,-16.1845783677357
75,-20.4060604350118,-19.4094018561668,-17.7794450861229,-16.0409057046715,-15.2020417325325
72.5,-17.7004679858988,-16.8145953825724,-15.2842227995242,-13.8184942097644,-12.9514908100109
70,-15.7914606077009,-15.0775257557118,-13.791605948162,-12.4194149205611,-11.4795571034513
67.5,-13.7405776597303,-13.2428730901353,-12.1460193354914,-10.8918581363522,-10.0494950764628
65,-11.1691322448477,-10.7603696464951,-9.96087720533576,-8.77238777810872,-8.10834992194058
62.5,-8.79562135514756,-8.45680187252028,-7.65797486946584,-6.44563384638308,-5.73940341845007
60,-6.08799394513691,-5.74819304744485,-5.04840097119795,-4.05218664889576,-3.40662573029284
57.5,-3.77148810718675,-3.41729961379424,-2.67584567791538,-1.73119215621247,-1.14983921938228
55,-1.77258169461528,-1.41514399307424,-0.601774473169498,0.417643402422751,1.08353461770237
52.5,-0.0731603974891195,0.269640379563626,1.11066560735958,2.21323002627803,2.91447528162249
50,1.50475298666121,1.81772840408003,2.51608293566923,3.50747837002575,4.06678429468859
47.5,3.35301272746867,3.62716188228165,4.25845438368682,5.19922330395257,5.74755164311227
45,5.5526984726781,5.87411891441175,6.48940435486957,7.37704261073821,7.97547961375983
42.5,7.46774811452077,7.85096938794752,8.53486520510522,9.43714812650336,9.92135421841735
40,9.52282233621023,10.0377537604704,10.995368925069,11.7763575846437,12.2238470342887
37.5,11.1380224274227,11.6501214433688,12.6634312957119,13.4780281514005,13.9483638156996
35,12.2706148951756,12.8629500888701,13.9869738998268,14.8556408898505,15.2592418065378
32.5,14.4142486622217,15.0068195175036,15.9295797077189,16.8094113454661,17.1938455616761
30,15.997981060406,16.6128325656875,17.5174900456274,18.5926911782896,19.134766583412
27.5,17.7882394794053,18.3499456695253,19.3361929220973,20.7042309499633,21.1987601082396
25,19.7488106325929,20.200338819304,21.090391325398,22.2129443861009,22.6372818855926
22.5,21.0824719853646,21.5827335762442,22.4099235518584,23.4169463759958,23.7871670788164
20,21.7915025487735,22.36870940679,23.2139259411248,24.1271320258449,24.4612373909505
17.5,22.655555871399,23.1799520575614,23.9888482329481,24.7983463267047,25.1988765124336
15,23.1480888587088,23.5901567106052,24.3186863185721,25.128395421293,25.5257479244139
12.5,23.6234495896133,24.123833233923,24.8897898401167,25.6719745797665,26.0845566060851
10,23.9138562589551,24.4451509784782,25.2056100020421,26.0401014529217,26.429479569558
7.5,23.9813713148022,24.5429480274636,25.3315315949149,26.1894813762134,26.6003456258893
5,24.1690920376358,24.6464535362852,25.3970987124789,26.224432085046,26.6563898474489
2.5,24.0459331034303,24.5750181459205,25.3642998399596,26.2211944081977,26.7224286846714
0,23.9503231756017,24.430648766968,25.2394786196463,26.1725322336696,26.6446470050097
-2.5,24.0794262819549,24.5116232222083,25.2855715717023,26.1997787926947,26.7008137475954
-5,24.2626878420315,24.7309541990654,25.4720678237769,26.3402408301934,26.7691504971482
-7.5,24.0520618549784,24.496697903946,25.2058815578879,26.0442282312555,26.4757365945919
-10,23.5512384051148,24.1186922231508,24.8155756900005,25.5836956624721,25.951091340296
-12.5,23.0743880570507,23.5724575581994,24.2109880118242,25.0379700892083,25.4024032226209
-15,22.5089405699524,23.0537189095724,23.7538808226454,24.6366030170404,25.0056787402336
-17.5,22.0747062848464,22.5243209748011,23.1896375518458,24.0908539970178,24.4118075917979
-20,21.34295689273,21.8383997578906,22.5666267133721,23.506170139856,23.8956407627546
-22.5,20.6844155949057,21.1435742577981,21.8120815746322,22.7392542698856,23.113295813418
-25,19.8409753697327,20.2761306912108,20.9900183162607,21.888416482207,22.322227317174
-27.5,18.7687941434122,19.2371647187451,20.0275572090366,20.8989703115703,21.4892480681786
-30,17.8724470609798,18.2560531849754,19.0132426051727,19.9497456861269,20.5810157711268
-32.5,16.8739377175843,17.1365070835982,17.8455660857858,18.8689317387142,19.5210338824412
-35,15.7479623437745,15.9703685857437,16.7038862447026,17.6874090817577,18.3004768805456
-37.5,14.0951428717761,14.398875033247,15.1452249467455,16.0291838814303,16.5710201757521
-40,12.2545933453744,12.6302188402832,13.3242014240428,14.0813477516083,14.5538524377331
-42.5,10.1558187383214,10.5243070682514,11.1715565650157,11.7489399770763,12.2005323520004
-45,8.11075149752814,8.48327408285564,8.99972016896767,9.47067722879702,9.86960222071184
-47.5,6.2163644173356,6.43223751885929,6.82555615134317,7.45794511715379,7.87651250930018
-50,4.40009662695871,4.59008057693742,5.05380388784409,5.77738391658812,6.1767038025109
-52.5,2.62617966469464,2.85225886115753,3.45417403792211,4.25932452611243,4.72630789775585
-55,0.718484770423694,1.04034497134142,1.87026705928309,2.8088328290576,3.36321378012252
-57.5,-1.56954220380657,-1.02765818487106,0.119366597187417,1.16740153512582,1.75911929689404
-60,-5.19970080718162,-4.15920915959441,-2.34209745223733,-0.931578039670874,-0.171978301880888
-62.5,-10.2798392176402,-8.67358144302777,-5.74230250806066,-3.67724289967729,-2.62051869485149
-65,-15.5392005644583,-13.8772939803513,-9.96438145292445,-6.75579163956742,-5.39130956617813
-67.5,-19.5047067864964,-18.0843586523059,-14.7024331096515,-11.8397694615071,-10.2909791126853
-70,-24.1184640817731,-22.9089327465024,-19.3960468691825,-15.955212173159,-14.3805800496466
-72.5,-29.3412756611762,-28.3376359385804,-24.5331920798156,-19.4904501114542,-18.2551631852024
-75,-35.3482246775746,-34.2155823691356,-30.3720279720823,-23.3156813087433,-22.2203332066785
-77.5,-40.0364069262534,-39.0318763956517,-34.6418801300855,-25.710234904772,-24.8609905580472
-80,-45.3587147252493,-44.2138449855919,-39.1312188310803,-28.0111293366487,-27.1862342547884
-82.5,-49.3988016248817,-48.1061679922238,-42.6507840451019,-29.2106355091821,-28.3963539177424
-85,-53.5905054626879,-52.1804408710724,-46.4038595816074,-30.8019147658117,-29.8795194649541
-87.5,-57.0850910993937,-55.4419869920149,-49.4445384769408,-32.0166018472109,-30.6631612192756
-90,-57.0850993482986,-55.4419938120197,-49.4445404148967,-32.0165989447915,-30.6631701835332
