Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-3.76691946726285,-1.40665996506769,1.68201476177606,4.08936668671854,6.85732768942732
87.5,-3.76691886659287,-1.40666099664625,1.68201929184783,4.08936725689705,6.8573344411403
85,-3.2813021200571,-1.02249249706733,1.78106048420112,3.97579007442074,6.23714726558029
82.5,-2.98745113876365,-0.866776692362677,1.71894624078398,3.78110793909501,5.75342844565284
80,-2.56948913268254,-0.577693885911768,1.72823412551426,3.52403266014272,5.14163405591163
77.5,-1.68601838232647,0.220891023036783,2.315658855445,3.83931068912001,5.13896658907012
75,-0.384463031090238,1.42112163358289,3.37907803252499,4.77407495351178,5.9030240523421
72.5,0.809590404422226,2.60722892094115,4.29270676961386,5.53343983911581,6.57660047416687
70,1.27262943487772,3.22722789750919,4.66468631025943,5.81018001116038,6.84088618906114
67.5,2.49916538386246,4.47357840656503,5.85057979643346,7.01360513313002,7.9899435500939
65,3.92480148612959,5.90613081463195,7.25710174194342,8.32597883988967,9.32984856281748
62.5,5.67361977847284,7.6281662992111,8.98495950934509,10.0564511223009,11.1061168239806
60,7.72957735864978,9.62132903331399,10.8455770000293,11.9149622042832,12.8302529284162
57.5,9.54958335179565,11.296573282708,12.4734283207603,13.6086709126389,14.6425028135787
55,11.2538388898981,12.8844364086812,14.1839048997279,15.4617471902612,16.5654120490209
52.5,12.5668537857119,14.1180208577682,15.345754502384,16.6183646182161,17.6884145303848
50,13.979301260397,15.3820074545819,16.6050308462483,17.8337325604517,18.8118749598903
47.5,15.9786718556198,17.1389910130141,18.2749587872091,19.3361595606269,19.9796132300364
45,17.5654286544841,18.6076211213811,19.6478793049199,20.4838973499446,20.9671304967888
42.5,18.6180991587898,19.4728548081588,20.673158441045,21.4679239619757,21.905522012196
40,19.6937366981258,20.5515945370391,22.0920622424775,23.2616156561762,23.9192869485619
37.5,21.4551535258714,22.3427098492266,23.7360311985036,24.8437275652481,25.3718003722793
35,22.4383338056409,23.4610975058347,25.0142203817591,26.2313622745955,26.8285383957941
32.5,23.8546911544474,24.8832092179503,26.36141656899,27.5962975141574,28.1579658820615
30,24.8623814045152,25.928891568462,27.372212098421,28.5535353294939,29.1115355192319
27.5,24.9216177442603,26.0817894773613,27.7077776972097,29.0651855935836,29.7372809695368
25,25.9609107533177,26.9616284773429,28.3241301316897,29.3920320610423,29.9123291274104
22.5,26.7711947135103,27.8928945605906,29.4487726592306,30.4330375832838,30.8474321034104
20,27.8985286701734,29.0544669317195,30.6655069360672,31.7661984655708,32.215000617137
17.5,28.5155990555759,30.3033933224555,32.1249466953088,33.2821355837106,33.7473827258153
15,30.0850291757363,31.3044779402799,33.0760008553452,34.337167394726,34.8697671720819
12.5,30.3559967272097,31.5851491974226,33.3275846837627,34.6330351075401,35.2076945299227
10,30.6455990416396,31.8510383428085,33.5624478060364,34.7955683862434,35.3212335617662
7.5,30.7955121427379,32.0641243529682,33.9398542052268,35.1105707621033,35.5861035159418
5,30.6120455362285,32.114700115969,34.0117978750069,35.2638716035296,35.7426889551805
2.5,30.4841348651645,32.0260715467985,33.9524842034393,35.2655612575638,35.7423008491032
0,30.3561349128581,31.9402872835877,33.9867681645876,35.3231141597722,35.8178835944782
-2.5,30.9228170841242,32.3888989697696,34.3897637929964,35.6301191077329,36.1118249705993
-5,31.0059338717811,32.4578809180677,34.4179680269329,35.5827012952718,36.0602656777182
-7.5,30.7928937422687,32.1273337036017,33.9573149623861,35.0506657119489,35.5013578584168
-10,30.384015304997,31.5805289556952,33.2796923428234,34.2774872272333,34.717715835522
-12.5,29.7469772068719,30.9249237536991,32.4615052959992,33.4578749219961,33.8881664807636
-15,29.2276461838512,30.368128176236,31.818187038748,32.8353965399608,33.3105127128881
-17.5,28.6948102877547,29.7946291717017,31.1743564629535,32.1474517697308,32.6252948333741
