Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-5.85153357025877,-2.34804675678819,8.47712174572384,22.6797498701907,29.1757956331307
87.5,-5.85153475703287,-2.34804138834293,8.47711952103108,22.6797405082755,29.1757834955468
85,-5.38246497139547,-1.88269902213348,8.65881213692736,22.4288523026467,28.7475796654763
82.5,-4.75142653346962,-1.21633457083237,8.96803644871028,22.2350013750984,28.3834341457034
80,-4.01080910362942,-0.436364876619564,9.28255347247912,22.0077231014765,27.9711142983906
77.5,-3.06323410464585,0.533016261466845,9.64489532425128,21.6494490799455,27.264470315384
75,-1.87188015398689,1.70185133606958,10.1603676503894,21.4343030062452,26.7665495477193
72.5,-0.473458799160069,2.99786598110121,10.8642754057613,21.1769682641665,26.2116753307233
70,0.735455452410191,4.09294127515937,11.5565785780357,20.7463500743132,25.5242191751978
67.5,1.70806432652259,4.9033339507128,12.0400799457615,20.2975223010244,24.7107907290469
65,2.88802404036915,5.78887377793502,12.4306714405869,19.878045526623,23.9900724094481
62.5,4.23937113715033,6.79070631148075,12.8908548831475,19.6253405353385,23.3182523231888
60,5.70731760041457,7.94162930771533,13.4765154586421,19.6812939942153,23.0658734528146
57.5,7.1462785996566,9.14343989474468,14.2214885334757,20.0362599749708,23.0616497034774
55,8.56972498143842,10.4157096186872,15.1157596678383,20.6224439942206,23.4316088611528
52.5,10.0736718367855,11.7678679018063,16.1252991572034,21.3150422381598,23.9235063229186
50,11.6673386502131,13.2323688711794,17.2193504037584,22.0566687118466,24.4812008011908
47.5,13.349517638476,14.796142713387,18.4396986936323,22.9467333785356,25.1872326493996
45,15.2595054089503,16.5642757723182,19.8598585918645,23.970761943475,26.0096057946881
42.5,17.1622152678783,18.3426693512294,21.2772685939428,24.9577699743201,26.7179387830179
40,18.4192634005104,19.626356635441,22.2693410623638,25.3270085059331,26.9453949009982
37.5,19.9395588404877,20.8424536825435,23.2303015036217,25.8128609565994,27.0826006810958
35,22.1829409042563,23.0146068257081,25.2213280781247,27.5293329470784,28.6749198376836
32.5,23.8351666231334,24.6780852740568,26.7342458523597,28.8774914767923,29.9476043309119
30,25.1130336611869,25.8852002718123,27.6893324964767,29.6115899308768,30.4508369390637
27.5,26.3394203912862,27.0554800398397,28.6788182367795,30.4483808373415,31.2162875754524
25,27.4649231019589,28.1627930181348,29.647283894548,31.3619442047547,32.0265993596357
22.5,28.461294648418,29.1328343500486,30.4970158947836,32.1974415609963,32.7983270545739
20,29.3353738705226,29.9813677797745,31.2930951267055,33.019220631577,33.5492714289959
17.5,30.0352981877807,30.7039029520686,31.9650462812241,33.7310329754196,34.2132601859204
15,30.5397917715208,31.2291180600987,32.5210732504958,34.2866506476931,34.8016473628115
12.5,30.8978865605308,31.5799267872245,32.9601218585157,34.6945473939075,35.2793663571882
10,31.132275332035,31.8386112216914,33.2697222478755,35.0376075105782,35.6413607072766
7.5,31.13513377587,31.8916962923695,33.315945708288,35.1520943044258,35.7326822999561
5,30.8742070008336,31.6608177688303,33.0816640392194,35.0153496371285,35.5211125488659
2.5,30.4424077358554,31.2457828844696,32.6488605488642,34.5681133961042,35.0893808029779
