Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-22.6685461364063,-21.4398653881551,-19.4916932164929,-17.5774282587912,-16.7280236042081
87.5,-22.6685523315652,-21.4398619825308,-19.4916822505904,-17.577418665749,-16.727982924944
85,-21.5796401071668,-20.2942931570131,-18.5618219251294,-16.4674345582365,-15.4129117939076
82.5,-20.3340453915444,-19.2352463974683,-17.5844789754231,-15.8321405926835,-14.8755433965558
80,-19.6929881568506,-18.5502541505115,-17.1238577749205,-15.3495052747562,-14.5514796682009
77.5,-19.0651515801677,-17.8847723907466,-16.5643941583033,-15.1196505837926,-14.4764091194584
75,-17.4099365212178,-16.3090274469832,-15.1816290762138,-14.1692004011677,-13.7103441451198
72.5,-14.7765960166319,-13.9121434285471,-12.8727968849738,-12.104378913473,-11.7126900352545
70,-13.0074912371097,-12.4071906684886,-11.5248660777153,-10.8549004586494,-10.3469998293076
67.5,-11.1796769133563,-10.6691838154254,-9.97972394333539,-9.33410248719809,-8.80941009330021
65,-8.83996875270881,-8.41491909118502,-7.80312692271698,-7.12782237272498,-6.68501968068394
62.5,-6.57707502688942,-6.14569730264495,-5.64896547724701,-5.0544450202602,-4.65618282907588
60,-4.16692389909648,-3.85548157275942,-3.30710589008783,-2.76634698403925,-2.30953666394326
57.5,-2.13727276071399,-1.82680576972066,-1.28759076581098,-0.707294521295781,-0.270192170664323
55,-0.191822463682629,0.111839894342516,0.679096786201733,1.27218007573302,1.65383337414833
52.5,1.41348337819799,1.78864231467454,2.35656706986094,3.02747438002175,3.35169135624383
50,2.93898603565719,3.26105942231685,3.7330142661962,4.27671528780321,4.62382695486707
47.5,4.70777136561561,5.00299310005348,5.51038896637752,5.94689037898691,6.33486171973242
45,6.85076271585729,7.15946228306581,7.66111774756442,8.08183713198878,8.57010934389444
42.5,8.89019476284175,9.24622059568882,9.71874246406156,10.1696393204607,10.5459492928889
40,11.1442444517696,11.6378438787363,12.3101850199638,12.7907258368666,13.1090779336016
37.5,12.6980151178818,13.0746949026071,14.0581247517495,14.5424067665385,14.8396297547978
35,13.904196199877,14.248029846863,15.4612558603195,16.0248169234125,16.3669421898237
32.5,15.9462926512265,16.6074995893321,17.4917603597859,17.9185472220527,18.2144442094078
30,17.4929264410165,18.3645452318702,19.2966239701597,19.7127749069895,20.0117827688433
27.5,19.0173066585368,20.4424288570632,21.1523733317654,21.6620022971213,21.9634203239483
