Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-23.5321553584188,-20.7087242511467,-16.1512643366339,-10.5662972723461,-4.76153838671758
87.5,-23.5321576583626,-20.7087282026501,-16.1512526027875,-10.5662940631759,-4.76154060643015
85,-22.7298426570272,-19.9344536974987,-15.2737734207875,-9.72686945465135,-4.13062599208211
82.5,-21.7835083094709,-18.9617516099591,-14.1629340818381,-8.66003105442364,-3.13667330733435
80,-20.6859062922964,-17.8312281186484,-12.9195817193146,-7.34498766849176,-1.76568584495814
77.5,-19.1768827644551,-16.3250193646112,-11.4403059351427,-5.9394436494718,-0.231908351650146
75,-17.2888049818267,-14.5185642493684,-9.84840189083418,-4.51310173645046,1.32891371800998
72.5,-14.7883680465334,-12.2352101647075,-7.92466377581694,-3.10900281101395,2.2604395208912
70,-11.6983687678428,-9.51660578759435,-5.68247700875316,-1.60012444081547,2.94646134048033
67.5,-8.64050447222609,-6.71214095634108,-3.45772495914562,0.0172371962713634,3.80056756415566
65,-6.29609891808302,-4.48396570039635,-1.67590247409761,1.44562567961294,4.6563887899813
62.5,-4.50603973321928,-2.8227815416426,-0.262458282456935,2.76529921565108,5.45606524216076
60,-2.79483479557356,-1.25419811461228,1.10686307020239,4.1987259230664,6.51530413203126
57.5,-1.16761729830751,0.268552770507649,2.47619344143404,5.49489251904823,7.62836207293939
55,-0.0264981908281949,1.39120890677457,3.40616806817575,6.30396538800009,8.31815223834263
52.5,1.23387371930543,2.75970184393604,4.70530476135192,7.49108062822625,9.35057083926529
50,2.80041829750387,4.34058843923565,6.22623268472913,8.90640216025413,10.5714337824982
47.5,4.31093822281385,5.80539656346461,7.62839084401571,10.1497736730342,11.6991951440162
45,5.84546721706804,7.34045170851049,9.1571909439187,11.5267778731756,12.9091180976557
42.5,7.97259849750721,9.37654919049953,11.1681685099297,13.2245427374402,14.3938753367687
40,10.18855135047,11.4411472217025,13.1579552070824,15.0411102753466,16.0777869227505
37.5,12.4046392193518,13.4464062014106,14.9951338965248,16.6327381985082,17.5709698199018
35,14.1216276879772,15.0418843078358,16.5160828112283,17.9615752725984,18.76897789093
32.5,15.8292997082651,16.6667416662924,18.0819783321377,19.4538235162947,20.2611531047068
30,17.3736692015017,18.1817601365664,19.5919837288538,20.9363386805868,21.7110945695547
27.5,18.7206502763376,19.5213488657385,20.9026536623317,22.2471061511379,23.0058788277097
25,19.6720003972226,20.4892342623504,21.910692951272,23.3061899705351,24.1102797576883
22.5,20.5496081573324,21.3997736659243,22.8463641999602,24.1554163362708,25.1042479789168
20,21.3770525245417,22.2641083992547,23.769191736231,25.1369139459772,26.1583159267915
17.5,22.1394045858437,23.029962165134,24.3383008547489,25.6683466286112,26.6343503995466
15,22.4680000710044,23.4008489677258,24.6826652869991,26.0290370728049,26.9771513445665
12.5,22.8924091143396,23.8039496697893,25.0917744756798,26.443739508392,27.4027076165179
10,23.0144249026899,23.9528973392516,25.2535608695126,26.6229734692035,27.6420527767404
7.5,22.9492952725317,23.8675551615781,25.1277451561792,26.4844456763599,27.3232909075386
5,22.4714850760318,23.3527982141329,24.5906616904597,25.9741250301654,26.7798715487185
2.5,21.8496239267122,22.8903640466153,24.2882757074654,25.7668358285555,26.7766663119838
0,21.5632265880378,22.5407877675088,23.9300415044364,25.3944476079435,26.4170811293341
-2.5,22.1004797687328,23.1021223557201,24.446982311956,25.8749687734486,26.8727775552421
-5,22.7686205138108,23.7238977189725,24.9842113266738,26.3636593015331,27.1704305878408
-7.5,22.6365522758066,23.5648775949754,24.7988695324718,26.2070711364523,26.9688424509688
-10,22.4600484032726,23.425448604614,24.749191608469,26.1806925720953,27.1963150192848
-12.5,22.5704536950078,23.5752412147609,25.0027103189369,26.5377023346413,27.692167842657
-15,22.7691548574102,23.6584026427179,25.070297361244,26.5734692043909,27.6853822010419
-17.5,22.616375645352,23.498010221668,24.8741687865111,26.2550578283128,27.2817508778229
-20,22.1389491925458,23.0416253999832,24.4086114105913,25.7324182863948,26.6765117057865
-22.5,21.3736396989881,22.2895613993473,23.6339069222609,24.957953940581,25.842876683067
-25,20.413340121422,21.4061193622147,22.8691648453897,24.2250035433059,25.1946375114078
-27.5,19.2551295428969,20.3422693599892,21.9623542199951,23.3949791296517,24.4351209835276
-30,17.7338276559559,19.0105169974271,20.8135443793569,22.4386494661506,23.6224580364396
-32.5,16.0177270373665,17.6228828361296,19.7147539918306,21.6243089585159,22.9903237078574
-35,14.1013385399991,16.0125061048015,18.2092591628964,20.4978854867299,22.2101187838445
-37.5,12.0248757464839,14.3119212674313,16.7316555150393,19.5114351425625,21.5438726301611
-40,9.82446594748963,12.4204702143641,14.9512813393764,18.1162342450447,20.7906067219894
-42.5,7.55943952416907,10.3391823898908,13.1347334261014,16.6595994965424,19.8559282975845
-45,5.05308533117893,7.84186762428748,10.9567432649642,14.9840907284537,18.9229625749616
-47.5,2.14467043249214,4.91838482201001,8.49288200893679,13.0438674578056,17.7492458723678
-50,-1.14863756426162,1.73066450169401,5.8628586247144,10.9683233885238,16.5819389362414
-52.5,-4.57974803688131,-1.70931813289871,2.96828809099229,8.66511037686896,14.9900104980846
-55,-8.65468195425877,-5.60373399270452,-0.436163662012124,5.9660647427567,12.5180603647632
-57.5,-12.5508052823369,-9.47045761200408,-3.83213352321276,3.19617258987338,9.99574913640373
-60,-17.9514055406827,-14.5121023524782,-7.74727767036843,-0.133697520008564,7.20377228283709
-62.5,-23.9006042988734,-19.0948624121057,-10.9706921730794,-2.5201239175658,5.1617220163405
-65,-27.942748735855,-22.6957364945248,-13.6377477268619,-4.58195155587538,3.4334536992269
-67.5,-30.0864425798238,-24.7761887682281,-15.781533906375,-6.3146923388748,1.67209376935675
-70,-30.7524882227105,-26.0362535650271,-17.7634524055047,-8.08832076873474,-0.129736897443005
-72.5,-29.6130277398848,-26.0345161129011,-19.5040641437572,-10.349372278616,-2.84083470556623
-75,-29.2299975423188,-25.6636089084414,-19.7680103611185,-11.1994515376553,-3.93637208700336
-77.5,-29.3604671908948,-25.1647703401314,-19.39999236799,-11.1706186142597,-3.88481923640529
-80,-28.7947621554787,-22.8600249006374,-16.8373825390842,-8.74384272005056,-2.53984117029744
-82.5,-29.2251710513052,-23.4036468111555,-16.7509128074356,-8.03730873936652,-1.41707452738032
-85,-30.8179506464844,-25.2094368787333,-17.4464832399454,-7.91710679838958,1.93546626933135
-87.5,-31.9895413073107,-26.4083679429214,-18.3994212347087,-8.1317437650668,2.41887853689856
-90,-31.9895353092322,-26.408365331368,-18.3994194913013,-8.131746051266,2.41888974313969
