Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-8.66847780085406,-4.18215187315147,3.71376243800771,9.91810911133499,14.7249845332858
87.5,-8.66847236739497,-4.18213809200589,3.71375816054962,9.9181150491064,14.7249820788695
85,-8.89634675778121,-4.34412004066341,3.05064979125587,9.02910786395014,13.8851316079562
82.5,-8.5550323251272,-4.03181417116639,2.86125102655435,8.59782050268962,13.5024314489323
80,-7.74376387298664,-3.42935723680464,3.00073139749654,8.3589850123499,13.2279495563959
77.5,-6.99945073897636,-2.94322074664247,3.02007208610647,7.95777130789653,12.653670204324
75,-6.6338437405946,-2.59445204483733,2.99524103497311,7.65812392069311,12.1416728895558
72.5,-6.33271370261544,-2.32106615989146,3.03394799505874,7.42629120637841,11.6598976761702
70,-5.8207186282379,-1.96618998063811,3.14827768515514,7.27198605532603,11.1925139504938
67.5,-5.14879251580105,-1.5405275658059,3.24172488912355,7.10782639572515,10.5412449488883
65,-3.9816318937476,-0.745427897517611,3.74957036794082,7.33479912608843,10.3342858657466
62.5,-2.58583070064624,0.322506136811731,4.40528434011891,7.71824318073286,10.2684372426692
60,-1.04314855573211,1.6507889304243,5.31629691271322,8.39644868478693,10.5507600737156
57.5,0.416679775693911,2.822101482313,6.13036101630626,9.04485623112549,10.9867265416066
55,2.05244506688632,4.36827024894734,7.36856527527827,10.1177392337502,12.2981869256362
52.5,3.60634393970671,5.75780972943396,8.55144520585094,11.0915443188518,13.5823825161782
50,5.04605773884981,6.97047830308176,9.60816733751862,12.0526326866893,14.7912845350909
47.5,6.78652739056658,8.53765912444712,11.0628184143696,13.5107878080765,16.29220232717
45,8.48156083593221,10.1191618155578,12.5574366948372,15.1444387638753,17.9975400012229
42.5,9.55647883203667,11.1722469107489,13.7099675848098,16.8496377445265,19.7517963048559
40,10.6173399446441,12.1683555895681,14.8103443267531,18.6490516369839,21.6308851136605
37.5,12.0722549192121,13.6668038925755,16.4354513472326,20.8089228460034,23.8168564385172
