Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-27.1593413258736,-18.6813293324946,-3.82131296183621,6.01959882703016,10.1415708750038
87.5,-27.1593395419286,-18.6813394328483,-3.82131102206625,6.01959499166983,10.141573127251
85,-25.6030871311519,-17.1495231494553,-3.24111033649995,6.06130216486252,10.0219854355166
82.5,-24.7071271285529,-16.674312169949,-3.20008796194989,5.6871259606882,9.46700581746534
80,-23.6813165023492,-16.3417548832058,-3.40525140380908,4.96697882898464,8.53428997507995
77.5,-22.449078424296,-15.7035979678394,-3.20531028262959,4.87680318915255,8.19652788495913
75,-21.6121011945053,-15.0260198802001,-2.80210356251243,5.10551854957081,8.2594532919327
72.5,-20.5072801117528,-14.1618659966989,-2.11103256868565,5.55518993513329,8.56315515704419
70,-19.2803829161875,-13.0268124448366,-1.23220485406049,6.00921414054128,8.96372537004819
67.5,-18.2414459952876,-12.1090334556633,-0.415069143658459,6.52350848556843,9.41853678473079
65,-17.0401168545502,-11.0442898529589,0.425213819837591,7.07310778402075,9.99351795933575
62.5,-15.8901741128379,-9.77651704069825,1.23916566016116,7.65200784878999,10.6502451470702
60,-14.4460050492594,-8.20279682170494,2.25701138093961,8.32504708136524,11.3568502662382
57.5,-12.72943715926,-6.34760925136978,3.52793373494349,9.28501347467891,12.3253976799789
55,-10.4856659343675,-4.39149262802952,5.00459564227444,10.5491472752302,13.3767432552405
52.5,-8.12587308574902,-2.36811211458493,6.48283348265877,11.5700803227059,14.3326833213702
50,-5.28178631033747,-0.0831252869742753,8.41405046232006,13.3285627818464,15.7454871758195
47.5,-1.53748218941413,2.66992160223016,10.6238623220506,15.2706413700029,17.2733174484442
45,2.1497368667047,5.49783031598576,12.7116671890546,16.971858858477,18.6578858296417
42.5,5.78990898612958,8.60976953386926,15.0992798394043,19.1833187333157,20.6559770966052
40,9.05692414899567,11.5309316184865,17.2389926643761,21.0505551873611,22.3535919291562
37.5,12.1850730872698,14.4601761827437,19.4511568263803,23.0057705360081,24.1116791992471
35,14.6115485911765,16.6566584702938,21.1705762165789,24.3090533534596,25.3104887976124
32.5,16.8548332079998,18.8596663785963,22.8704075466654,25.6689457311295,26.6833668690288
30,18.6325666610802,20.576722091695,24.2061892349475,26.6924348155377,27.724150166678
27.5,20.066048625042,21.9568910094819,25.3905960244466,27.7593537432474,28.7901773555319
25,21.2024883320921,23.0014026692508,26.3712006415217,28.6826712685798,29.6830819795079
22.5,22.0382867491678,23.7740551281964,27.1223960965542,29.5422002709761,30.4702195448191
20,22.6386754745605,24.2965692941246,27.7002431173961,30.1814362829448,31.055293171534
17.5,23.1853752284224,24.714368280063,28.0760496754936,30.4760578828551,31.2935809634551
15,23.6195907904202,25.1034665214179,28.5055758887904,30.8355616924408,31.6391964815305
12.5,24.0192462536703,25.550362063143,29.1006681562137,31.5302091207912,32.3698153442394
10,23.8882345961893,25.5716241291211,29.386680521481,32.0071007034326,32.904493479822
7.5,23.6265654678121,25.3609324956836,29.4999024345512,32.1792629291876,33.1665099330757
5,22.8221348850041,24.8338836700819,29.4378458308888,32.5514273541796,33.8625077278997
2.5,22.0105214144872,24.1443117769881,29.0005374949679,32.2107076822683,33.6332251575303
0,21.7508271166842,23.8870502900282,28.7913727722183,31.9912346306425,33.3907669784468
-2.5,22.1865004322183,24.2498025694903,29.0383115210982,32.094076390463,33.3652961427044
-5,22.7040982710838,24.6766332055112,29.3149109791541,32.3218127249941,33.6385290774139
-7.5,22.8572839728453,24.7870389476984,29.2082290788458,32.0503459934224,33.2448476508056
-10,22.5254121826576,24.4461329935462,28.8216263280841,31.6197486078516,32.8290832516212
-12.5,22.2366329999937,24.0947248267751,28.3981826449706,31.1347367892783,32.2989978119235
-15,21.9832154637822,23.8035491232832,28.0587788310537,30.7410463712781,31.8339883127825
-17.5,21.7006177550424,23.5318395142058,27.7035786335153,30.3225816907402,31.3849285796535
-20,21.4348431565785,23.2693856609309,27.3988110508222,30.0281777315319,31.0529767937334
-22.5,20.958226687574,22.7743798190028,26.8389179647681,29.4262863101543,30.4552151552554
-25,20.2578961866616,22.0474263783647,26.1310991574668,28.7222597817545,29.7422787593884
-27.5,19.2774352783014,21.1696938140383,25.3728446795879,28.0139194656225,29.1187310812988
-30,17.8548984440324,19.9477587532266,24.3952531765643,27.124284188717,28.3436135742255
-32.5,16.1182309137901,18.4828298096663,23.3518773011768,26.263264369497,27.5992246377151
-35,14.0582708994114,16.7692072286634,22.1987047173478,25.4280085503789,26.9115158827736
-37.5,11.7232057417732,14.8780180981994,20.9223476394678,24.5687064068476,26.1746645022979
-40,8.9781903428602,12.6816419543867,19.4941717778479,23.684534260771,25.5608962164448
-42.5,5.71987064453379,10.1288106944209,17.7662587492427,22.4937898813621,24.6783921726228
-45,1.72489652414607,7.05567330218665,15.6562130995712,21.0522467933661,23.5292673895352
-47.5,-2.67960613314525,3.69397059720379,13.2325183573817,19.2976156835136,22.1262923516852
-50,-7.388595989668,0.124496218951285,10.6590190786221,17.4654808954989,20.6733187600154
-52.5,-11.6718389060498,-3.05486935839883,8.03507697918067,15.4135397289952,18.8806862504222
-55,-15.4030919260836,-6.15947823500239,5.72710479442655,13.6534762020679,17.3708535924507
-57.5,-18.5834976573011,-8.65604883042374,3.61492496623877,11.8496483308804,15.7254307897487
-60,-21.4386964335039,-11.1682607298634,1.53650234468606,10.072838350926,14.0737864799228
-62.5,-23.7857432968351,-13.2932237434577,-0.0682946516402915,8.76057356555303,12.856007557912
