Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-16.9559960732152,-15.9697947794986,-14.1808658179474,-10.8555935716626,-9.00468341516442
87.5,-16.9559873977813,-15.9697850047325,-14.1808611547183,-10.8555729558659,-9.00464954368166
85,-15.7566255148516,-14.9513919525729,-13.4076268806117,-10.2172332993123,-8.3473365104301
82.5,-14.8720658782639,-14.1385955140813,-12.6780080391604,-9.75402972444763,-8.2865012389574
80,-14.1701996144054,-13.3681105769553,-11.9149628445923,-9.36724406322125,-8.02087691122473
77.5,-13.4540427000309,-12.6539773929646,-11.1123299451259,-9.01540105491686,-7.5149807242227
75,-12.0639503228228,-11.2809705590721,-9.68570665985756,-7.97447314384274,-6.39114885982787
72.5,-9.86287106184164,-9.17057781521667,-7.59832311473419,-6.04045424524704,-4.73830648971798
70,-8.32523801131809,-7.6521591251415,-6.23884394019705,-4.65129188542103,-3.61308312607915
67.5,-6.69537315282599,-6.0590174980916,-4.78263748434839,-3.28351778896482,-2.37209664302888
65,-4.75654947754227,-4.16802869213349,-2.97405186326282,-1.60024830561201,-0.946489984100065
62.5,-2.59461781630608,-2.02260417069973,-0.972656570396373,0.257507937711207,0.859400399388595
60,-0.128860783914853,0.477483437279348,1.46420665367821,2.39417561925056,2.96939041909089
57.5,1.88589418949746,2.47628070257872,3.33918347701662,4.16892460220214,4.74061347649582
55,3.60413365984842,4.22373300679087,5.10006780122914,6.07362044872632,6.63589347716433
52.5,5.12213797954221,5.7437948313341,6.60927593511757,7.67159105252165,8.25871390897182
50,6.52181325404142,7.11456959044406,7.9742622745613,9.06737577080466,9.68268317341117
47.5,8.17326452950953,8.75146652758527,9.62729558430703,10.5945730346796,11.2812727446522
45,9.83208410054567,10.4923499720462,11.3208680508727,12.1699829568922,12.7073181622119
42.5,11.0654900027367,11.8797192492182,12.8881610794792,13.8591504575161,14.3877264927123
40,12.9333976983295,13.8709648828804,15.112337116518,16.1034369396309,16.6381096305552
37.5,14.4416337242999,15.3315446362928,16.5539309951798,17.5440496464804,18.0211269122862
