Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-17.453645516304,-15.2668232161435,-11.2904255487774,-6.50724391030029,-3.0417070250021
87.5,-17.4536503309793,-15.2668243360484,-11.2904280955708,-6.50724722111419,-3.04171643875014
85,-16.6738840854393,-14.4502267146724,-10.3994952807734,-5.61626439253577,-2.1759401333555
82.5,-15.6224625830269,-13.2957744948543,-9.17393386040609,-4.36123961565632,-0.814492145547271
80,-14.4798246404558,-12.0416525405495,-7.73512431426221,-2.89184665996212,0.865613569310858
77.5,-12.9923139078697,-10.4205896033707,-6.05511885519945,-1.14964998819396,2.76851606786295
75,-11.2713137255518,-8.62033135869478,-4.24641185192877,0.699653300717113,4.83432193039647
72.5,-9.24221104503834,-6.71314883045449,-2.38636486784181,2.47452370853556,6.57002773114634
70,-7.08213980798676,-4.80099062838125,-0.733352176045033,3.75725669583049,7.50330969906938
67.5,-4.73068610345882,-2.7770482783665,0.704481730349634,4.65187503894187,7.79215968456359
65,-2.69184212759927,-1.02957419636367,1.96048185006426,5.38473402769869,8.03935288588176
62.5,-0.952065267166806,0.489904743943447,3.04294954282015,6.06376907650986,8.32066618789368
60,0.369785069701397,1.61019567634634,3.87921477130716,6.4539446977973,8.3008400509492
57.5,1.60319048341043,2.7056890282136,4.71734484130431,6.98952376273413,8.55264496567814
55,2.82091432189811,3.81147622466029,5.62828549029783,7.75184197107517,9.1631421658623
52.5,3.92851146812606,4.89045372945613,6.61625147244722,8.63385203282104,9.97093593157878
50,5.58316555773844,6.53418662383523,8.19067605494917,10.1922842163668,11.5071787257096
47.5,7.23666442042814,8.13723960088561,9.7378765563585,11.7381890219216,13.0616722608901
45,8.89006085928091,9.78433804845668,11.4015523434022,13.4617860607715,14.9113956385847
42.5,10.8054646072919,11.6923725812101,13.2636587049797,15.3231811436713,16.7521290874896
40,12.8827882871709,13.7772490452946,15.331559950456,17.3600308865687,18.7692350001587
37.5,14.9153591229832,15.7379593662066,17.2312934640238,19.1281661196585,20.4646602308224
35,16.7860504398354,17.5811072974304,19.0282927439608,20.8785192454696,22.2082562593032
32.5,18.4468248899388,19.2450244596406,20.6462690627134,22.4269747558441,23.6932028096639
30,19.8536089457746,20.6067457193177,21.9453605633766,23.5682142743609,24.7343829165911
27.5,21.2564541696022,22.0537525818957,23.3926818129287,25.0594950621234,26.2680805632192
25,22.343431616402,23.1542084209711,24.526847165821,26.2397273421818,27.5064936316231
22.5,23.2841651821157,24.101858637498,25.480024092656,27.1719992794257,28.4857878123957
20,23.9099214387896,24.7699147263645,26.3111244318713,28.2836051176203,29.8911923037704
17.5,24.5493216697167,25.2888299017848,26.8119053002022,28.6896195827695,30.2082621563657
