Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,14.5015074336365,19.2930165789223,27.0361094709127,33.0717010927688,34.5520544910725
87.5,14.5016359472734,19.2930124617637,27.0361085610347,33.0716744216498,34.5520433763964
85,14.8310747471666,19.0311493401863,26.2764989795619,32.207690244391,33.4582392092037
82.5,15.06224400478,18.4855072124392,25.2115448606879,30.9711352589491,32.1817884559351
80,14.485843954777,17.6810307056371,23.8836885770439,29.260065468321,31.16788229805
77.5,14.5836628912162,17.7639585018145,23.3068950741643,27.9056833131683,31.0310743554731
75,14.58980567316,17.70764950565,22.7888796560864,27.2253867463699,31.1441084370593
72.5,15.1474204421219,18.0094665760746,22.3966472642501,27.2094700495468,31.775000954623
70,15.7213862347763,18.3247778940058,22.6582766971201,27.2223174942348,32.593934445709
67.5,16.2826938793156,18.7522104113461,23.000966776563,27.3848706260276,32.9190206248586
65,17.1176458011225,19.5715869271385,23.7823935816278,28.1465185128412,33.6692180866914
62.5,18.5815049048963,20.8795578469136,25.020048697594,29.3043753019159,34.5638995010587
60,19.7668424207036,22.0201846041557,26.0444156165486,30.3611837055631,35.5741011090521
57.5,20.9733456087456,23.1610035643104,27.1831276389239,31.3035416016924,36.6461399171575
55,22.0995466785866,24.1996702570352,28.1512338458095,32.1301346013258,37.391623949863
52.5,23.1210921922032,25.2910176276586,28.9768229005099,32.9025264275542,38.0569802533514
50,24.0956768964207,26.2776246417327,29.7155272405722,33.5085414221597,38.3358934581753
47.5,24.9971620191131,27.1418401714815,30.4256441859759,34.0981397423935,38.9693957960521
45,26.1022402750425,28.2169832266307,30.9253798189274,35.2269573580029,39.8384883073968
42.5,26.998710539315,28.9925352842534,31.4155472999864,35.9949483884733,40.063479058675
40,28.0210074498891,29.7511032426937,32.0518394643076,36.3071766618841,39.6714820270873
37.5,29.0140518019233,30.5359669450537,32.7981077256793,36.522711669295,39.6035788953633
35,29.3919574366119,30.8458002914216,33.2655335257466,36.6339675264147,39.3219078441595
32.5,30.0038203273863,31.3732893830231,33.888705562961,37.0699110304415,39.4127277993603
30,30.7566428324407,32.0154191295133,34.3705814191164,37.364247387191,39.4357261187204
27.5,31.8050301830814,33.1163136163952,35.5293798518605,38.5936041063052,40.4876995898528
25,32.5322412103507,33.7903423737486,36.1230246324248,39.1710167787372,41.1038625275113
22.5,33.8266251197427,35.181874754974,37.4607501470327,40.3582619547834,42.0664888845213
20,35.0544919851703,36.4479036902276,38.6477242858096,41.4361122370675,43.1707787527413
17.5,35.919874367118,37.33594748247,39.4766507703991,42.2630371246383,44.0163851723174
15,36.3805903198253,37.7775692938908,39.9392638627057,42.6061298736273,44.4759805987906
12.5,36.7654744070211,38.1736083333977,40.3636050049816,43.0690715164587,45.0022262371238
10,37.0680749374992,38.6010572201979,40.6565946991392,43.7858605105925,45.4172628246551
7.5,37.648388779224,39.2516898593124,41.3188181945718,44.6413057898523,46.5039471518391
5,37.8780723893028,39.3335108880026,41.4309780970742,44.6717572617129,46.5209905079925
2.5,37.7905300503827,39.2083139749724,41.1665111106947,44.2682544375876,46.1505920653453
0,37.9449741445509,39.482567568801,41.3959970674371,44.7411002288528,46.7420011336305
-2.5,37.9132548006242,39.1756406124011,41.0701480767814,44.2820738271524,46.4088602780775
-5,37.8115890637726,39.0348469821012,40.7121712802806,43.8365569620682,46.190116013102
-7.5,37.819779854392,39.0723619940436,40.6275944803894,43.6742763849733,45.5847312425987
-10,37.3209144680074,38.3968719013688,39.9879122015974,42.4664919822035,44.4477048633961
-12.5,36.8554178936903,37.8297153516037,39.5128585564055,41.7662813798997,43.8799116776939
-15,36.4136753186838,37.2377847285301,38.6290695487426,40.8960297409459,42.7347779551914
-17.5,35.9201648669941,36.7290143518314,38.3976141131664,40.3472765986788,42.3566798934184
-20,35.3408523964999,36.0552942777284,37.685153876726,39.5932917282531,41.2485534033223
-22.5,34.8740618893748,35.5929855531623,37.0659039584529,39.0909085775845,40.7213016177328
-25,34.1177018047089,34.9066708383888,36.4893886346717,38.4034750660632,40.1536936486165
-27.5,33.1026227938488,33.9934814506157,35.4714540509631,37.4215670011984,39.4877761987698
-30,32.3383486409522,33.1103590103832,34.5792164500228,36.6036427238231,38.4023933188252
-32.5,31.0909801876457,31.9641791990373,33.378942474992,35.5291403654319,37.5457775943968
-35,29.7770886110949,30.7418835705111,32.2832336982231,34.4153751821935,36.5056376879663
-37.5,28.5714210882324,29.6364691379771,31.2151516738208,33.4592219671824,35.7636648514174
-40,27.2074301136399,28.3358715350646,30.1961311719032,32.3957944035962,34.8931356672318
-42.5,25.6384859808097,26.8198155789394,29.1379697977915,31.3936253400558,33.687562216593
-45,24.0623322454507,25.3488404710772,28.0045304502758,30.8673087180628,32.7616640369677
-47.5,22.5567022888493,23.8536264926173,26.6971449237199,30.2911621229488,31.7483869414548
-50,21.4354192984667,22.7442662470674,25.8970911532394,29.9916800005892,31.0096309991932
-52.5,20.4589296082522,21.8701617775023,25.3155736393678,29.6529006838635,30.492748253947
-55,19.8268574866363,21.2244934389924,24.7368986594412,29.2264491542578,30.3136697048552
-57.5,19.2989882568252,20.6873737027127,24.1711790962011,28.9851094580614,30.2707154354312
-60,18.8463111528424,20.354436022009,23.9397986857398,29.0206584490292,30.3047589189734
-62.5,18.5595388665681,20.1164601782838,23.8139388654327,29.2195258200946,30.5448262533056
-65,18.0016528818227,19.7197711237447,23.6165936582374,29.381050025574,30.8490942366498
-67.5,16.5657889678401,18.5527183801588,22.6473374811082,29.2036367920261,31.7774884365083
-70,15.7497415980307,18.2851827155199,22.7011496768763,30.6082196412289,32.4232078897245
-72.5,14.7937443020246,17.2291069432578,22.2546752034829,30.0549720475297,31.8563916981767
-75,13.8707434111933,16.4144984381968,21.8057730877761,30.1024136446494,31.8569420008802
-77.5,12.6137683379176,14.9889272864837,20.5021840640423,28.5873407772394,31.1480626048255
-80,11.3586965879635,13.2059826477752,19.1000911300967,26.2626964887082,29.4736787740233
-82.5,8.27745382846759,11.4241256904275,17.145934102929,22.90896052865,24.4288018624017
-85,8.1623516995258,11.4469950221396,16.9688821850153,22.4775984143108,25.1798909787187
-87.5,7.03938894877851,10.6021751945946,15.6380485003373,20.5305855024347,24.4200818153683
-90,7.03933101368739,10.6021766713016,15.6380478543202,20.5305920409255,24.4200628732963
