Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-19.8167792908488,-18.2489958368007,-15.057937196752,-10.1310862019659,-5.75428238156351
87.5,-19.8167767013107,-18.2490029997459,-15.0579498397516,-10.1311001552397,-5.7543052631487
85,-18.3961923684628,-17.1137257277952,-14.2510249951866,-9.69464879157455,-5.52538142153348
82.5,-17.258203426674,-16.1943278269967,-13.6794602762216,-9.74976358770153,-5.71036373163469
80,-16.4909470544196,-15.5346303426177,-13.4171126897746,-10.0197309285742,-6.65948983225673
77.5,-15.7263677078979,-14.9014770976224,-13.1836182496883,-10.2328801268686,-7.4804373516665
75,-14.247287387943,-13.5631263231232,-12.1708979382018,-9.48385342574193,-7.32142862538877
72.5,-11.9733165969106,-11.3686580738385,-10.1148401988432,-7.90114238575429,-6.44665647556838
70,-10.3968767115769,-9.71717681086854,-8.48810267623597,-6.45660627275345,-5.06525288539592
67.5,-8.66786111421137,-8.02958720130615,-6.88501751002902,-4.99280934660366,-3.59527454923796
65,-6.4209068902673,-5.80379168671118,-4.80837851096312,-3.02537586151396,-1.59886044621668
62.5,-4.11779771507744,-3.48453206983324,-2.43920087960642,-0.717900157791943,0.980098263557736
60,-1.44204713946782,-0.896778826390864,-0.0954524077947063,1.66384116197442,2.89219960484796
57.5,0.695196208823799,1.1759237382455,1.89385749193503,3.41387058644611,4.54453857559772
55,2.55588302192583,3.07894004606321,3.94476695491431,5.41716884208149,6.77269283109445
52.5,4.0989637397759,4.62048530130583,5.52860477583973,7.04890871924575,8.4540838883954
50,5.51243350146077,6.01574201020219,6.86073221999948,8.42776573309773,9.82012125501234
47.5,7.26495679539955,7.73634482310025,8.62599573388419,10.1168476890313,11.5181441390626
45,9.34477019342162,9.80596553770264,10.6747666613569,12.0141956570334,13.5665128800651
42.5,10.9247893981314,11.4340127889439,12.4820102436977,13.9234136171117,15.4892358378296
40,13.0261515255365,13.5113403227217,14.5230064899616,15.9345133457736,17.2166252437549
37.5,14.3988001141263,14.9247862519622,15.8274878673933,17.1009989241709,18.1247559604268
35,15.4611873281835,15.935551216988,16.7833777830337,17.9308794638142,18.6359121083488
32.5,17.252627490961,17.7698390875466,18.6077806766792,19.93886679681,20.8242498557153
30,18.6876619100675,19.2796266055257,20.2356795573789,21.5857344223815,22.438086649647
27.5,20.2698794221476,20.9044135638465,21.9742017641301,23.6298180932505,24.6233804031778
25,21.9543172539269,22.3456546172682,23.5480744189733,24.8162065744924,25.4717206849727
22.5,23.2821726123287,23.7572666445937,24.8814775949453,26.1221647795879,26.7633552694195
20,23.9771794625316,24.3929403307602,25.6599514195748,26.9688694948113,27.7301374300416
17.5,24.511655873469,24.9601126402251,26.33602351539,27.599786448741,28.2871607730391
15,24.8637528978983,25.3430720460915,26.6945366148125,27.9959529508348,28.6622748597601
12.5,25.1933403783268,25.7838808961213,27.2246767098303,28.4638308993176,29.1774472844232
10,25.5132325551061,26.1240599713443,27.5311210879827,28.7962155575567,29.5360704734529
7.5,25.5066044298739,26.1686060892208,27.5923301328703,28.9028416346375,29.684725246425
5,25.6971371015491,26.2916798094322,27.6238227004703,28.9005540804697,29.7554078957433
2.5,25.6866759030415,26.3164454254506,27.6372677110483,28.9871625672146,30.1216721805606
0,25.5516387487937,26.1910200957612,27.5650261390406,28.9021712773677,29.891375970935
-2.5,25.7077415008595,26.2835260794005,27.6067370846238,28.951100614557,29.8940344739893
-5,25.887822626707,26.4310002956364,27.6957888351632,28.9844348673673,29.9616850384672
-7.5,25.6091472686996,26.1555978044298,27.3814827129784,28.658822224145,29.5801050581547
-10,25.1836277226783,25.747725081003,26.9725121949686,28.17216043235,29.1115734833289
-12.5,24.6285578947085,25.244473411228,26.3559596586987,27.5893926598993,28.6363806191492
