Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-0.234736089619588,2.21254305730665,4.64591634016395,6.49531780689069,8.03848036572737
87.5,-0.234777820135111,2.21255790919613,4.64592553372883,6.4953286201159,8.03846420157496
85,-0.485318858205967,2.25612386412156,4.74209631654054,6.60008829043339,8.16286297686783
82.5,-0.985687905461496,1.91080669663485,4.30978533008902,6.25107696781732,7.84135222997725
80,-1.50603696053252,1.26209855509282,3.13728297140342,5.28747591940153,6.97123499212926
77.5,-0.881528575360787,1.58160710565246,3.43856731777755,6.11671592749225,7.88146872825399
75,0.313385491668704,2.78870751134447,4.63539653057075,7.30302266650219,9.16205355909511
72.5,1.443671864857,3.8608547030569,5.65429280317871,8.16557255633614,9.9359649450793
70,2.40703421235344,4.70672254207699,6.39322466647315,8.7857320791695,10.5451281064515
67.5,3.803256406913,5.74423256768303,7.33845143877064,9.73984530744227,11.3195901025525
65,5.68187761633461,7.72109836328149,9.27274921142472,11.3855384035006,13.0040650012751
62.5,7.97882825474709,9.58446267113724,11.0408839774224,13.1305198421278,14.5992504408499
60,10.1410156989263,11.4980384627699,12.7975719121168,14.6767943925003,15.9285088679025
57.5,12.2451012690405,13.4386487587731,14.7660759278264,16.6079011617941,17.7997098525669
55,13.6542141083568,14.5860387834904,16.0351687885445,17.9552202535136,19.0418183780499
52.5,14.7589763801149,15.6871455377282,17.2014850005963,19.0801595396359,20.1544794902273
50,16.0737796054206,16.9853931515937,18.4991314484673,20.2828777195301,21.2650623326537
47.5,17.6858037709919,18.5387016371609,20.124857489107,21.9151247019051,22.8619950489891
45,18.9359316004935,19.6757212294829,21.1977084973768,22.9859107856523,23.8234306907823
42.5,20.1091242526164,20.6870856502642,22.2358589302202,24.0315355530696,24.9503360727439
40,21.0166474029469,21.8095148272755,23.3729351391076,25.2434169532884,26.184204957181
37.5,23.4781860457174,24.1295016170024,25.4249255919249,26.8743431089324,27.8184762630048
35,24.6808747529292,25.3403943793306,26.6482419513149,28.0461939165475,28.9108814771438
32.5,25.7793548552954,26.4805289671855,27.8905910065964,29.2312167603155,30.0919161321171
30,26.307256424844,27.1041911365863,28.5549186192499,29.9764733192841,30.7244904505824
27.5,28.1572875660783,28.7314644918183,30.0614460257679,31.108154213706,31.7328983825323
25,28.1812583012472,28.86659729611,30.4004008334814,31.8831384957294,32.5641338652472
22.5,27.9063412729267,28.7146939712537,30.5253115490478,32.3892310690023,33.2699648435291
20,28.1614584881913,28.9647920448877,30.8939749060393,32.8605076959969,33.7532505923971
17.5,28.9371868847901,29.5858811559062,31.4242886334325,33.3824312284695,34.2204011583759
15,30.9094305674059,31.6303432870298,32.9243268268964,34.9261125849358,35.4731639892989
12.5,31.8929694976609,32.6831628412463,34.017703053613,36.0428652907089,36.6257898058702
10,32.3032372315453,33.0804467396358,34.443085088347,36.4563352204963,37.0029771394215
7.5,31.8330638643841,32.4067273966903,34.105480738872,36.1152856522077,36.8588478883708
5,32.074422849904,32.6585801371538,34.2265667063784,36.1792261623223,36.8850053345346
2.5,32.3115657584518,32.9901537507192,34.3326607081796,36.4018908392285,37.0022899026272
0,32.4076982868816,33.1314713541251,34.4370947787213,36.5861623457325,37.2256606831217
-2.5,32.9741833865966,33.6809150820947,34.9322649744167,37.0634408744848,37.6946019914736
-5,32.7432910742065,33.3876124408747,34.6025459058501,36.6389294815349,37.2697053518212
-7.5,32.5982370087877,33.2384792442028,34.4436092178852,36.4441723893516,37.0384632152845
-10,32.1109855798443,32.7140629834868,33.9172634599441,35.7116235973907,36.258927255268
-12.5,31.7696473948974,32.3653864511389,33.5677993471078,35.2535085566167,35.7714667606121
-15,30.9774855639122,31.5222279825332,32.811213897128,34.4231684488661,35.0021778389111
-17.5,30.5596726441822,31.0989205390894,32.3988555801382,33.9217648575897,34.5140217305878
-20,30.4967903575304,31.131723326779,32.2554311626967,33.6596880799823,34.1734879619385
-22.5,29.8079871734317,30.4123368910361,31.6394476270128,32.9532372348014,33.5422845087427
-25,29.1785963291434,29.7884240684768,30.9604093716004,32.2293825362395,32.8223092472014
