Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-15.5761768342729,-9.80948907241366,-4.6800079509016,-0.0512559634236495,2.80109978319041
87.5,-15.5761767433926,-9.80948838721791,-4.68001390487914,-0.0512553303022528,2.80109769008801
85,-14.8619068967424,-9.53226904126295,-4.52589569306181,0.0917924696270388,2.84456129595824
82.5,-13.397252917748,-8.40553018519517,-3.46434918126503,1.15667448966229,3.94044655422028
80,-11.7124590946308,-7.63949684683689,-2.69533838327806,1.65092314007894,4.42896058048811
77.5,-10.4312674564212,-6.61690857495679,-1.6203606247027,2.71427282767031,5.45330896396195
75,-9.18214626220248,-5.37424417669963,-0.425400015652144,3.95448465998642,6.59059068336781
72.5,-7.6274510580737,-3.11659662366038,2.07303212678583,6.76346905722367,9.40533187296456
70,-5.5105497555757,-1.51835167179163,3.46700554570481,8.1453778364943,10.875187440069
67.5,-4.46514565758259,-0.669493310831978,4.17960483792234,8.68545558461414,11.3996215935415
65,-3.37078796911816,0.656267646056124,5.4979468551177,9.87111826670261,12.54685093144
62.5,-2.09885891130594,2.20332854837949,6.93154153585273,11.1845126942569,13.7964987629012
60,-0.284541957541181,3.9857417363523,8.63607769631527,12.6604610821855,15.2033561828886
57.5,1.78564373161723,5.74821301980885,10.3196566636984,14.0202332601873,16.4504696882279
55,3.63498684260374,7.57443624399885,11.9255350050141,15.5996171207328,17.9736410602564
52.5,6.13523211565501,9.60051765437717,13.6634726070337,17.124515951944,19.3760195285102
50,8.78596956442195,11.8666655268094,15.5508636172226,18.9875762180406,21.082923080034
47.5,11.1943884789711,13.485457755107,17.0324938643334,20.3876454685526,22.3446529126065
45,13.7230210236839,15.2632641262533,18.6156734420243,21.6378937341421,23.5345641109444
42.5,15.2560901694461,16.5878606706716,19.7939039540191,22.7019119666844,24.4966953504084
40,15.5691772676502,17.15758496035,20.5864774174861,23.6672696054664,25.4989885613424
37.5,16.9450245869094,18.8009315655227,22.306558306976,25.4680417373093,27.3447961039028
