Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-2.25993268606388,-0.787278392510655,1.66437852585983,4.52870137666359,6.14912676389158
87.5,-2.25993608788653,-0.787247390674034,1.66443173668716,4.52872719659237,6.14920284945729
85,-1.71671273346444,-0.547132154204965,1.90698259549576,4.61900518957445,6.02591478540172
82.5,-1.56668908468676,-0.312817106270719,1.87339443484805,4.4745353548592,5.68397089456983
80,-1.49253083022003,-0.179561944105375,1.8321521467302,4.2526425850835,5.19333133833225
77.5,-0.997631466344974,0.378988477151551,2.37882069942342,4.66216949214956,5.52200941924312
75,0.678691842237175,2.10512373234205,3.92369415718011,6.06869561392618,6.9611366437814
72.5,2.26049951025048,3.75876650203133,5.46504138131756,7.41561813153113,8.27370618844788
70,3.21704493144731,4.68398209091358,6.4781418737198,8.64800161558582,9.50286026741051
67.5,4.40292503150078,5.82019577297642,7.64359632510262,10.0980007548501,11.0453966888214
65,5.98372480115341,7.19999212981653,8.89490587048725,11.1996609343317,12.035459662572
62.5,7.6464674296077,8.80421886328753,10.3397539058,12.4280513614724,13.1636686906829
60,10.1270704900357,11.023259364695,12.3650233500568,14.139079508432,14.7018050124237
57.5,11.7210965453749,12.5556624203347,13.8192056296607,15.6087122610639,16.227944856876
55,13.0966779059778,13.8740619318776,15.1852004830625,16.8768085072457,17.4194319565743
52.5,14.2285205329917,14.9812443501025,16.3070079607331,18.0234312567112,18.5707002404742
50,15.2526945590528,15.8201600299688,17.2622869134728,18.930554350061,19.5167903896719
47.5,15.9204521026419,16.6213775374343,18.4750836381102,20.1940825655617,20.7910794077132
45,16.3234543178804,17.2950653512246,19.7898486391696,21.5674731161692,22.1750377257578
42.5,17.0902418029072,18.0367320289214,20.6144081181474,22.4481012769621,23.0480807011316
40,18.0992882553376,19.1304328082819,22.1586069678229,24.0211380420092,24.6965244603744
37.5,18.4382548996635,19.6483665699551,22.7808650671164,24.8339346184064,25.54794927345
35,17.9179241865483,19.5513064931579,23.499884155333,26.0152998865896,26.7615664016063
32.5,19.3114679427701,20.9777309560924,24.5379892481259,26.964309203844,27.7150365134932
30,20.5543753702727,22.0465459883342,25.5389521820651,27.8173776155319,28.557510352399
27.5,22.2635762090904,23.6238915044129,26.6909089615938,28.6101310527264,29.3540242990792
25,24.308098741531,25.2227310052328,27.688369123459,29.3448394954394,30.1709363420366
22.5,27.1093151023717,27.543792644624,29.551081816559,30.9359661137645,31.5544093410091
20,28.1782127381743,28.6138036438506,30.541544600096,32.2752335375138,32.8158763462053
17.5,28.9695231042046,29.5182548602524,31.4621028090033,33.0997032046552,33.6717000856035
15,29.6304625591413,30.2257260554432,32.2093959419782,33.7930364085339,34.4315986790118
12.5,30.1368920716448,30.7613874043546,32.5657126526223,34.1639176888113,34.7339635797318
10,30.1453409855407,30.847229950573,32.9271838549926,34.5897922548597,35.1977617347403
7.5,29.8198829581505,30.4892673624723,32.8708193562503,34.6353425823323,35.3432147847493
5,30.0620034250487,30.8449889736055,33.2372172682723,35.0522896661112,35.6597006838708
2.5,30.1331484394675,30.8489735527317,33.3664913286831,35.2267826688108,35.8349276813141
0,30.2023239301447,31.003927507624,33.45141464731,35.3880803429327,36.0273183831698
-2.5,30.29956519093,31.0848164347473,33.6067290951041,35.5439895511802,36.2037642998855
-5,30.3639053144072,31.1185977686511,33.6973109544098,35.6015108365175,36.2892118504425
-7.5,30.0887779106969,30.8549236190167,33.1863238869376,34.9349630290852,35.5819085607633
-10,29.5048467339401,30.2353201885137,32.5257266903894,34.1763961300655,34.8485885259346
-12.5,29.0926883148255,29.7716782476365,31.9279523728768,33.5598033135182,34.1779926604522
-15,28.8394179495082,29.5419042860972,31.3171318242059,32.7913774922979,33.3822035481593
-17.5,28.145302098817,28.7933121335917,30.9470023989131,32.4934007692068,33.1329186585591
-20,27.696814268867,28.2979754403137,30.196365137523,31.6977423254942,32.2485003252059
-22.5,27.2478433141719,27.8364798537836,29.6297289233344,31.0962212964948,31.6256058027456
-25,26.4224478441523,27.0099370031856,29.0452471570846,30.5834479402707,31.1652879525596
-27.5,25.5332594748055,26.100898479205,28.1081425925249,29.6203733028296,30.1847290101464
-30,24.8771091669042,25.4502540538796,27.2857292403057,28.7230394640188,29.2914955482535
-32.5,23.8170152240178,24.3454352159087,26.099471520992,27.5211272714877,28.0985913482579
-35,22.9210803245181,23.4240429622088,24.9315640684036,26.2197713761149,26.7418566617556
-37.5,21.8440652256181,22.3830065174409,23.6334029520412,24.7568903818785,25.2556588378929
-40,20.3189590752207,20.9194045294018,22.0342683592757,23.1096880136267,23.6058875327052
-42.5,18.6999636139934,19.2930219014199,20.2119137406038,21.3385876262377,21.8246751181618
-45,17.1262305037401,17.6941636632419,18.5192142851825,19.6750241837077,20.084225150239
-47.5,15.638237381071,16.1477410603083,16.9944327582603,18.283104048484,18.6129800294802
-50,14.2433280063648,14.7439149716112,15.6250096715704,16.975246838732,17.4115686536587
-52.5,12.8444159611156,13.326851123858,14.3034392478689,15.8322278682088,16.3995306291326
-55,11.6363623141084,12.174914664968,13.257057926238,14.7161141554868,15.3916387757379
-57.5,10.5748838772226,11.2280423129643,12.4242346922006,13.9273831594949,14.9717771073243
-60,9.35466633101856,10.1658876809322,11.41072901192,13.2345145990629,14.7713859836061
-62.5,7.97188090301651,9.01495607190126,10.7610574105409,13.7030616826568,16.2115612866527
-65,6.13204031565526,7.48726799425659,9.98664094255024,13.8490836764566,17.6389331446661
-67.5,2.73839741493425,4.20862078940675,6.51497037407445,9.71049599250077,12.2062104715655
-70,-0.891512511758869,0.587555495582679,3.10061405638117,6.35907335087343,9.44040810243118
-72.5,-3.76706587773508,-2.12324579574681,0.508260283666802,3.73839245535009,6.70522241800001
-75,-6.69685974531326,-4.77949218604366,-1.76312476581442,2.42488771737544,5.96517403433373
-77.5,-10.0834338599836,-8.05190678365325,-5.31261201053767,-1.65264163850506,0.954951423773854
-80,-13.3241694138667,-11.1036139246178,-8.68123046741703,-4.51832172519272,-2.69755960536871
-82.5,-18.8231714204615,-17.9297615426768,-16.768357712344,-15.6384602247625,-14.307294620741
-85,-22.6948587372281,-21.5510345897961,-19.513355493187,-17.2764530329344,-15.8145928957307
-87.5,-32.2171297848118,-31.087412123998,-27.1407218627706,-23.7533391068411,-22.4319242696459
-90,-32.2171184755801,-31.0874029026793,-27.1407128341475,-23.7533134027297,-22.4318980840711
