Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-11.7111745244667,-7.58798708685435,3.83208065071838,12.7866407625876,17.1047592576946
87.5,-11.7111804282426,-7.58798440450892,3.83208343642926,12.7866506599664,17.1047529100464
85,-11.0256195178479,-6.9245886957396,3.91798574285119,12.5247943037295,16.7867982846536
82.5,-10.055011427216,-5.96249896378355,4.17366483779953,12.3523610250607,16.5836671516124
80,-8.9602305260386,-4.91394258865739,4.55363046615136,12.3004805159813,16.4626246913641
77.5,-7.5730884951044,-3.70176044398808,4.98929703088493,12.203862845264,16.235302343406
75,-6.04017561117958,-2.4627533188849,5.56227546018069,12.2443538784964,16.0606006113432
72.5,-4.41072091218024,-1.20292919369765,6.18362765109126,12.3975855794114,15.9597428208157
70,-2.77547806532008,0.153905908946479,6.86746697542509,12.6556837386036,15.9714899261024
67.5,-1.10645755389776,1.57333812603027,7.61551891895315,13.0137323746779,16.0079940050679
65,0.57181589528486,2.94730733709246,8.38071891101128,13.3714565669157,15.9877136392246
62.5,2.2104460017455,4.30208911720979,9.13702520981161,13.6264152672879,15.8943114623921
60,3.81249113135588,5.65318614261446,9.97336235853548,13.9547852439238,15.9894918418369
57.5,5.25914155958203,6.91818685419844,10.8320779844588,14.4329890367083,16.3280191570865
55,6.54284710370887,8.11805081022563,11.731009090751,15.0605449613648,16.8517937454214
52.5,7.74694246254699,9.25855751500504,12.5737476610594,15.6716201150302,17.3256598655476
50,8.8381329683704,10.3458282099382,13.2850436706322,16.2283597093939,17.7497371150473
47.5,9.84986011806128,11.2421080764602,13.9763812466861,16.7006990320238,18.0890196129901
45,11.622372243136,12.8578727541605,15.3230050000117,17.843689263389,19.0720550990805
42.5,13.4478234299184,14.578664707766,16.8453649247633,19.1547446226387,20.2686952150428
40,15.3639135559449,16.3788503464499,18.4872158337505,20.6324583221927,21.6702150207581
37.5,17.0566950273838,17.9927890949035,19.9554007655066,21.9956617758824,22.943606335508
35,18.9118175226869,19.7988331991207,21.5478409008166,23.4209963113887,24.2622361133168
32.5,20.5856284135815,21.3588761075951,22.881182219347,24.554942755984,25.2941887149263
30,22.053533506962,22.7381783848741,24.0139844784666,25.5333771654648,26.1622783259898
27.5,23.3987396083144,23.984560080582,25.1013985398694,26.4902235740699,27.0715562935723
25,24.5596069851696,25.118552204817,26.1291490567433,27.459195224994,27.9997645190387
22.5,25.4371316853487,25.9766881824854,26.9596262639604,28.2540600111994,28.7720529792593
20,26.1450138499276,26.7484440344949,27.7305850616987,29.1048854499153,29.5819923558941
17.5,26.9061125681039,27.4906631108212,28.5120649521117,29.8786240923372,30.3312873851226
15,27.4319063474414,27.9634666283702,29.0684319803035,30.4633626529651,30.9167162268319
12.5,27.8777238083614,28.3419552741119,29.5297674390245,30.9459067139714,31.3859127185164
10,28.2284333922946,28.7079431099871,29.9158100636805,31.3699611742177,31.8277503103196
7.5,28.3083122641466,28.7914139618919,29.9951412871515,31.4434485600811,31.8800923994238
5,28.062488365723,28.6061284038735,29.7500400303904,31.1882100317507,31.6352973205247
2.5,27.5373085306395,28.0719561707855,29.2645844990716,30.7261735409128,31.196280581605
0,27.1255073588921,27.6283024520783,28.9158683225869,30.4602975077998,30.9613622598185
-2.5,27.5527789907588,28.086034042867,29.3581304332872,30.9192564693192,31.4127370408143
-5,28.0515988542742,28.5635476727346,29.8572586465238,31.4090399053396,31.930864093412
-7.5,28.1462464611787,28.6422603268299,30.0545398784128,31.5764935158746,32.2233109161215
-10,28.139887700584,28.8522570150339,30.271564697073,31.7767087485129,32.5945870109449
-12.5,28.2109450157971,28.8942148316197,30.2568061143007,31.7631844685872,32.4789002360205
-15,27.9022999995604,28.505776863419,29.8000168089963,31.3202657077321,31.9070425814225
-17.5,27.352030819751,27.9682297107718,29.2231764257403,30.7218337987812,31.3068749589455
-20,26.8787327336737,27.5140695011643,28.746978604848,30.2746507614755,30.8582330263597
-22.5,26.288051121189,26.9517910469981,28.2009288840849,29.7564349665289,30.3653534568817
-25,25.6283335626246,26.3452524037033,27.6379506603715,29.2684091688012,29.9048862921602
-27.5,24.8885201525677,25.6512337601564,27.0719917430637,28.740016940133,29.5037350677813
-30,23.8218978227109,24.5549239669989,26.0711562847302,27.8855670118657,28.6225034151492
-32.5,22.7226043905866,23.6316616484834,25.2453118376167,27.2273123621135,28.05749224419
-35,21.7578893839274,22.69438979098,24.4628250720205,26.5664018708015,27.4743158715249
-37.5,20.762349084475,21.8201349085541,23.5229637365494,25.8742437052644,26.6720794919529
-40,19.3528925125588,20.5598686415428,22.4122536730564,24.9415345061693,25.7735978720614
-42.5,17.9585696166301,19.343738213374,21.2377710872583,24.0271561936537,24.8598980798795
-45,16.3499013691762,17.9291320312449,19.9815903772849,23.0812037637374,23.9702956865797
-47.5,14.6770675933196,16.4249869937377,18.8226724500998,22.1906589003689,23.2211745743409
-50,12.9624983001137,14.8226076523914,17.5892964650274,21.1397475905183,22.422296780911
-52.5,10.9331180375354,12.96250906233,15.7921809878262,19.4653897683685,20.8719007088847
-55,8.94410382758868,11.0145821807651,13.899385220654,17.7219631294913,19.1280903463444
-57.5,6.91007284233151,9.02640323978717,11.9603363289805,15.9310655218532,17.3520821977232
-60,4.810854870533,6.98209211585534,10.0506758192876,14.1581972575561,15.6293965192237
-62.5,3.01749277658286,5.28129805211584,8.45815636033802,12.6804581252449,14.2080510128253
-65,1.1533882357521,3.54621038024578,6.88603966589184,11.2538557810825,12.8111024603393
-67.5,-0.724191944687479,1.7271316856886,5.39950824828708,9.80985884345358,11.5332903420326
-70,-2.85518795386882,-0.395568116420523,3.26147777844007,7.70711817257458,9.50665610412961
-72.5,-4.39449664765594,-1.93538036550851,1.49937179439813,6.11859086300482,7.6465672248686
-75,-5.45968473792929,-3.02307138512894,0.376667539944156,5.25990648189024,6.67422720529461
-77.5,-6.46937759025458,-4.03243529060398,-0.777813259870902,4.25156898989874,5.53152565876568
-80,-7.72922323394032,-5.23355718817793,-2.03070599342558,2.97156011446765,4.29702386704818
-82.5,-8.47253802726741,-5.88066782795044,-2.62303338633777,2.48444836758393,3.78292232862268
-85,-8.60564586690503,-5.97667021889086,-2.64312944185316,2.72745566878551,3.96502318253541
-87.5,-9.14548771458776,-6.44015682037304,-3.03092467485304,2.45941737881476,3.73033745642638
-90,-9.14547988886494,-6.44014822078408,-3.03092146577853,2.45942038209523,3.73034059408087
