Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,20.0410232597288,24.2440897279653,30.0208339461642,40.9879171789258,43.5334491516091
87.5,20.0410420702425,24.2440824305927,30.0208382508925,40.9879211156978,43.5334619468522
85,20.0426101341561,23.9716000471559,29.4043863835738,40.0647141142227,43.0988072594251
82.5,19.6436369172086,23.0911454711991,28.5569465692015,38.7518534940625,42.6394551553236
80,18.3947214431468,21.3768132414175,26.6911109353426,36.359114245673,40.6953650782865
77.5,17.5809615437585,20.1044460775186,25.3535023065017,35.014238117334,39.8740057526641
75,17.38357534309,19.7003533016664,24.9019989407476,34.3235349757923,39.327308857506
72.5,17.7172524688076,19.9676527469895,25.0985630591748,35.2945395408289,40.7382437596766
70,18.3661060476264,20.6337761999525,25.476635831598,35.9077194868533,41.661752389495
67.5,19.7218544970776,21.7306486235289,26.6155447428005,36.9799561124292,42.809294933991
65,20.7016834051137,22.4397391287125,27.1996829419449,37.3928154902322,43.34036473181
62.5,21.5274870775349,23.2591479441143,27.6854170975242,37.3713051752372,43.0615288898673
60,22.2945367232331,24.0082406288055,28.0709605555856,37.032336068448,42.0738941863079
57.5,23.3021849216753,24.9915891887989,28.8182679421848,37.0597175481017,41.0291442097944
55,24.4903936428399,26.2483914127182,29.9833018477862,37.6162454156026,40.9176370440797
52.5,25.5641431791613,27.3121664261635,30.9985793634949,38.0775703057486,41.1762536238935
50,26.6598269752879,28.5941245262605,32.3043533200738,38.9926145894831,42.333325337027
47.5,27.6757659124378,30.0221385673619,33.6386423515488,39.755438181876,43.0891767833471
45,28.6332362762655,30.9340616284813,34.5252760960131,40.5400285793796,43.1560737854534
42.5,29.4300209418465,31.6865895274362,35.1180033634644,40.1760531083392,43.1405297874775
40,30.0653997327839,32.2126099635275,35.6789880291357,40.7553368893827,43.1501828349152
37.5,31.1448526973907,33.140298015935,36.5435718903545,41.6645237637417,43.5180148165799
35,31.7167263334214,33.7261764639349,36.8242903395569,41.498189506729,43.4937521275842
32.5,32.0357468379158,33.9880596088636,36.9247248415177,41.5873932105358,43.3803591161756
30,32.3972232971036,34.2662235416948,36.9124546789736,41.6342986409311,43.1451261833609
27.5,32.7241959688411,34.5403376492305,36.9948315484167,41.2060107784244,43.1737713914388
25,33.027528727939,34.8583438071839,37.1679507416057,41.2650247839421,43.4372884707644
22.5,33.2287130756082,35.0374318961489,37.3938497944795,41.4699694794039,43.9321994817652
20,33.6654175244764,35.4183626788621,37.8064316698287,42.0289514305318,44.3275768103266
17.5,34.3139260941406,36.0645414261754,38.5320527612562,42.8831972337608,45.1594171399627
15,35.1032819492134,37.0471266160553,39.7794702978576,44.3633221467189,47.1537669346823
12.5,35.7276141455916,37.4924580817857,40.8499533799643,45.880055126595,47.681312175035
10,35.955595857427,37.9951407167063,41.7935828320542,46.5499104018175,49.2319640675278
7.5,36.4681435513917,38.3850835294469,42.5476840790778,47.7005285995651,50.101812667107
5,36.762049766785,38.7108366069534,42.8947249165032,48.412662299505,50.359851019477
2.5,36.7906275492057,38.7505315796877,43.4788404460858,49.1422845426376,50.874672108523
0,36.6025739489911,38.5128644888532,43.4886428801458,49.5987348689195,51.1080412306707
-2.5,37.1380471372039,39.222029581127,43.9322323329173,49.6919888479732,51.7084768044143
-5,37.3386045561863,39.3025677816685,43.6727871151709,49.4046597231943,51.5782589109924
-7.5,36.9096959407986,38.6687435347978,42.874215021626,48.0905808483151,50.0189131778865
-10,36.7435080421646,38.584169731483,42.5168609006848,47.4814444374609,49.5091030526927
-12.5,36.5596869985279,38.4355968168264,42.1054146299965,47.0280543422497,49.0869320603414
-15,36.4815859001257,38.2721283212082,41.9319043510337,47.1005752410968,48.5000713015427
-17.5,36.3022604364975,38.2089833595944,41.9899398084456,47.0809679825174,48.3991926488105
-20,35.8272716353996,37.683852634051,41.3859648166065,46.6077789900776,47.6643634532909
-22.5,35.2000123895227,37.1018563474221,40.7501753813626,45.7873933938197,47.0179209781089
-25,34.3718267140692,36.2508624638361,39.6338116763165,44.5860054013126,45.8987889589426
-27.5,33.5958281075674,35.4337453484449,38.5664628330149,43.4066762958598,44.9323153919299
-30,32.8377383882421,34.6351811042365,37.5488982565142,42.3719065661991,43.9215323441925
-32.5,32.0562600789111,33.8027513575244,36.4004538805136,41.159964785963,42.9280481244768
-35,31.3469341930608,33.0827293120081,35.5619072038831,40.2947071048927,42.2171231525765
-37.5,30.4436404136117,32.0504525333707,34.4080523474688,39.3666635472878,40.7939430859447
-40,29.4416552012897,30.9669472239941,33.025467041045,37.7390748190953,39.3555286623326
-42.5,28.5409636869404,29.9874074070295,31.7824025219721,36.3488118776085,37.9813390301848
-45,27.3914033869381,28.6065044374256,30.3660195706483,34.9620464591098,36.0307919234007
-47.5,25.8290680023371,27.2539964060921,29.4306073829676,33.9332690338809,34.4488191442904
-50,24.4701296994088,26.236663012996,28.7391074797647,33.0066779172585,33.4623461560131
-52.5,23.6094617015736,25.4600722607113,28.109745417422,32.4927286119611,32.912726440713
-55,23.0981976751548,24.8871530299793,27.6592284442309,32.3661053707648,32.7417227157911
-57.5,22.8984753262527,24.4550509744241,27.2744209301542,32.4722321218906,33.1118481299378
-60,22.4688960756854,24.1180061615658,26.9022272677438,32.5728464835236,33.8136339403306
-62.5,21.5901503708492,23.5143320492941,26.4787122182803,32.6397421223955,34.4164703633404
-65,21.1767845276972,23.2993858838026,26.4091988854222,33.441944183133,35.7722152839156
-67.5,20.8909831733862,23.0142262818341,26.1347444611516,33.6353417645747,36.6937552755458
-70,20.2428180581537,22.4891750997631,25.8055499897697,33.7610061751998,37.6451539327278
-72.5,19.579230200441,22.0525291296047,25.4696210477997,33.6270256076701,38.1161243670509
-75,19.3134404484286,22.0341811957281,25.571760444532,33.8584662564307,37.8043927639428
-77.5,18.5527381225899,21.1082046997405,24.8022547325713,33.4333480061203,36.9881357624218
-80,17.5216730383704,20.0481577971081,23.8964712151806,32.4919004296599,35.505741251356
-82.5,15.1659629761938,17.7132507459917,21.2798641560593,29.2552992824106,33.3306072568095
-85,13.8206766570117,16.2553139670972,19.6860712582315,27.9277280157258,34.8246588636584
-87.5,13.6618957327968,16.015633914785,19.8873714482276,29.1359464614036,34.2189151136411
-90,13.661907127431,16.0156269458701,19.8873776293086,29.135933533687,34.2188977785877
