Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-34.1778033840369,-29.7078986652303,-21.4030916702682,-13.0094215010915,-5.79396807873359
87.5,-34.1778001724369,-29.7078957681739,-21.4030884469155,-13.0094261458667,-5.79396717475642
85,-33.4790331141983,-29.0169371658743,-20.7463875124728,-12.524611382495,-5.70385022996972
82.5,-32.8793809965118,-28.3135812004915,-20.0397888905222,-12.047855979144,-5.71657688387455
80,-32.2514538889033,-27.5429739217436,-19.2728992315466,-11.4950337485864,-5.64168721506226
77.5,-31.1295330770882,-26.4917365713328,-18.1873781323278,-10.6836021131279,-5.41129062253931
75,-29.445140784533,-24.9431408878647,-16.8165857017786,-9.65569983751025,-4.89840856317446
72.5,-27.1201051880636,-22.8631347897388,-15.0880111747335,-8.25087837334262,-4.04612057877388
70,-24.2662829186192,-20.3752064163289,-12.9971363843521,-6.56623899422648,-2.87957699419835
67.5,-21.030148523503,-17.3303604331844,-10.5368797998473,-4.58677534899172,-1.39079456147804
65,-17.3503652428341,-13.9385000568467,-7.87358418420336,-2.45838310532459,0.36092309833382
62.5,-13.6023259484312,-10.4960734624164,-5.12434442451243,-0.30826150259477,2.18287757519468
60,-9.96868703937707,-7.15414069074907,-2.5410997521577,1.85506358073075,4.16941980824639
57.5,-6.92785652260646,-4.36381510606296,-0.330503879898935,3.8546226197577,5.98306890457239
55,-4.61205469198814,-2.31157803422434,1.37478992407104,5.37952463068633,7.44052341969124
52.5,-2.73409887488667,-0.592844443381186,2.72008328848296,6.49994357356552,8.4072365752002
50,-1.6029675676351,0.344785314700413,3.6135464206332,7.02178231934945,8.61039145452432
47.5,0.638345208202032,2.49430233153864,5.60130921021637,8.92453689906715,10.5156148406452
45,2.7719628275638,4.53555563981964,7.53360477789021,10.6272538936437,12.0264592710278
42.5,5.00857600313177,6.65119699348905,9.55026157039612,12.4042035429748,13.6723893485233
40,7.02643112086638,8.56901848202118,11.3364071938965,14.0040697477646,15.1899453746259
37.5,8.92650596554455,10.4766489436434,13.1753725387501,15.6272493828539,16.7969053511201
35,11.2826969382038,12.6978112397927,15.2396126476208,17.4655193155954,18.5734693597894
