Latitude,LTG_05,LTG_16,LTG_50,LTG_84,LTG_95
90,-14.489432809918,-9.55977442737806,-0.638852307172129,6.69874544280313,10.4849418699918
87.5,-14.4894280694775,-9.5597757885835,-0.638851649428646,6.69875389631708,10.4849470508427
85,-13.4687216199767,-8.72116395353746,-0.322806914622389,6.59810938325969,10.1942330575291
82.5,-11.4882708253904,-7.00661531643017,0.649872684186631,6.9213436639249,10.346530991299
80,-8.96605695217876,-4.75331404381232,2.01923880643361,7.56394555064835,10.6316175076124
77.5,-6.58105562654583,-2.7970463289115,3.00046435126115,7.83569933252248,10.7265964678458
75,-4.61248289032777,-1.22268746533617,3.77810856207195,7.90126946910802,10.5024193063805
72.5,-2.88509671929538,0.187400487565362,4.68631832716921,8.24390693878073,10.6300144866924
70,-1.43675820070186,1.55849254204604,5.64595725085747,8.87659876820553,11.1412552007807
67.5,-0.223111231947174,2.82117649791477,6.64136775711158,9.68338327808114,11.7122071767443
65,0.783365829470493,3.94231837792478,7.66532576731269,10.590419638165,12.226620635622
62.5,1.69419174760093,4.84762749726609,8.63045933782881,11.4790182046513,12.9107268342004
60,2.77545910102462,5.75107675593202,9.61662573462269,12.3809089332855,13.708524840142
57.5,4.11150182798042,6.83534060980008,10.6461960336941,13.2524757702553,14.4792698621693
55,5.34334455618675,7.8582665224985,11.5025810095983,13.9601911657611,15.1448806830571
52.5,7.00038885780636,9.25073198839839,12.6967621955173,15.0346713524316,16.1814206437786
50,8.97178456599711,10.8933912754921,13.7615740844504,15.9199189063756,17.058980606621
47.5,10.7361518430707,12.3454123772467,14.6778206476916,16.6595202031485,17.817852172489
45,12.7335322555429,14.0863384667453,16.0189622743073,17.6812769482672,18.8223066325951
42.5,14.3962384332536,15.6183729503213,17.2848568952903,18.8687638274513,20.0016701270127
40,15.5762965661221,16.614397247958,18.3418497160938,20.0954973257615,21.2002442594353
37.5,16.7847535524321,17.8923093706148,19.707324979501,21.7127521892287,22.7775937548085
35,17.759782293947,18.8563898413348,20.766560839967,23.0544079646959,24.2756514098832
32.5,19.0292859647894,20.0396498727591,22.0079878329206,24.4395792089913,25.7200590211463
30,20.0905377084119,21.0611091691903,23.0519797117791,25.8083761403171,27.1052877645533
27.5,21.2172157332412,22.2060458395795,24.1350282025342,27.1871768327889,28.4937006593258
25,22.2973491469477,23.2570213488534,25.1065354939122,28.1595102604544,29.4553286563671
22.5,23.5790852553937,24.431532594927,26.1475391133186,28.8004923264124,30.0077609340062
20,24.5910278177024,25.3561948124532,26.9760350671749,29.2599538067651,30.3952481286892
17.5,25.535649154609,26.2611239905303,27.7332513168225,29.6750085442771,30.7164970904027
15,26.2469230264183,26.950284263506,28.2915644534379,29.8306266910548,30.7435034126433
12.5,26.5754281711084,27.3670274110841,28.6946626195036,30.0133502622539,30.8447225485908
10,26.961693214567,27.8386814608662,29.2790750310084,30.7215523117568,31.6173263822275
7.5,27.21496345235,28.139827170708,29.6520124906117,31.2087350001993,32.1809287807965
5,27.3342700765933,28.2984404453961,29.8309037943877,31.3183490445829,32.277170136785
2.5,27.2959746216543,28.2569336046756,29.8605687487014,31.4695047350693,32.5077375561706
0,26.861958131175,27.8078592003801,29.475853053546,31.1765047635966,32.2754526013038
-2.5,27.3299536120083,28.2533494448474,29.8058042774435,31.4117858976923,32.4632448961558
-5,27.5664534455086,28.4928303297932,30.0351218658728,31.6670473296945,32.6947263238359
-7.5,27.6276716233144,28.5562000196065,30.109062957444,31.7532140426003,32.8016677976709
-10,27.5693459268899,28.4975168221047,30.0195789727946,31.5852113306167,32.5931618801232
-12.5,27.3882437857797,28.2933977123575,29.7771747329283,31.3109672082131,32.288984392436
-15,27.2676545647679,28.1883134818814,29.6618491279315,31.1252185423832,32.0386352359255
-17.5,27.0841122040809,28.0049038423704,29.5048981792986,30.9625269470501,31.8709861981898
-20,26.6402886333732,27.5534041340131,29.0430870106349,30.4739255527157,31.3271945369519
-22.5,26.0471336671129,26.9805445832562,28.5029469805337,29.9621429428885,30.7834000924558
-25,25.1726588709807,26.1620572253007,27.7534505297018,29.2902161288244,30.1367795434732
-27.5,24.4831795412085,25.4337735391416,27.0580737427971,28.6273173868965,29.5030956862298
-30,23.6804311145487,24.6815857516718,26.3353191573407,27.8803945085246,28.7540989243674
-32.5,22.9928093723287,23.9414306094491,25.5370437844707,26.9968249573533,27.801639645876
-35,22.1951865743447,23.1291363342428,24.7290794755559,26.1748145845884,27.0585621923201
-37.5,21.2049662639494,22.3414892111271,23.9465235511127,25.5407797571722,26.4828080885597
-40,19.8790980606803,21.203104332348,23.2427484220621,25.0879845187579,26.2015367685893
-42.5,18.3491878512097,19.845967312871,22.5560148463721,24.7534506003138,25.8992586067168
-45,16.9416251645729,18.5427036847068,21.9574428958266,24.4808532913866,25.6974305567945
-47.5,15.0656522349108,16.9156581320109,21.0154698102556,23.8187840141864,25.1331254170801
-50,12.9034304518593,14.9594178278585,19.958134021298,23.1560692614181,24.5179896875483
-52.5,10.6631474118688,12.9387246592756,19.2155036819288,22.8439747669323,24.3634502677673
-55,8.44682370327033,10.853814421713,18.0838318548492,21.9971959638075,23.8401530179808
-57.5,6.49821929321421,9.07801297431278,16.5422725954551,20.6479184537247,22.6784613744226
-60,4.54246688117899,7.2844521995626,14.9894995594588,19.3600509618946,21.5914716702126
-62.5,2.79293038766474,5.69752842454494,13.5954220857826,18.236081612251,20.6068226105835
-65,1.01104317947975,4.03770371601108,12.193142116087,17.0207985529995,19.4821506038568
-67.5,-0.561154621349,2.54046667057165,11.0316469645573,16.0399166763215,18.5166333239088
-70,-1.82617828417817,1.33485355361246,9.99224905432305,15.1822274276347,17.5739322931186
-72.5,-3.19125520419886,0.0406521224971667,8.81936538140298,14.1980435365185,16.5149712219146
-75,-4.76888326158702,-1.35608039515051,7.54783556826241,13.0939234539436,15.5051783629155
-77.5,-6.75577605842926,-3.27217292349824,6.30070811415547,12.0806563924403,14.6023267449352
-80,-13.2342506864926,-10.03555725981,1.44201712920432,9.0704918104678,13.3063276321314
-82.5,-18.9884412142985,-16.2389218568887,-7.73300990550475,1.79208945462654,6.30206903735948
-85,-21.3455102128356,-18.2576538742132,-7.05409706896605,2.82606833660159,7.65856068025429
-87.5,-26.1413407273635,-22.6885552409129,-11.4322210544334,0.423481927426897,5.90836508198996
-90,-26.1413438234762,-22.688546789927,-11.4322155403439,0.423488263933243,5.9083766999419
